cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L01985	1	-46,2134957	-23,5315855	1990	0,0503	1,1364	3292	2269	1023
L01987	5	-46,2017578	-23,5273784	2497	0,2002	5,6818	4015	2753	1262
L01993	1	-46,2029781	-23,5335337	4629	0,0216	1,1364	7844	5307	2537
L01994	1	-46,1713311	-23,5224846	4041	0,0247	1,1364	6748	4512	2236
L01995	1	-46,1882219	-23,5368569	3796	0,0263	1,1364	6404	4370	2034
L02000	1	-46,2026770	-23,5310151	2024	0,0494	1,1364	3006	2256	750
L02003	1	-46,1984723	-23,5450909	296	0,3378	1,1364	425	344	81
L02007	1	-46,1873670	-23,5323390	2582	0,0387	1,1364	4256	2958	1298
L02011	1	-46,1891176	-23,5299042	1307	0,0765	1,1364	2014	1508	506
L02012	1	-46,1827169	-23,5168343	3637	0,0275	1,1364	5905	4058	1847
L06852	1	-46,2590979	-23,5471710	2271	0,044	1,1364	3808	2660	1148
L06854	2	-46,2171382	-23,5418470	4077	0,0491	2,2727	6327	4832	1495
L06863	1	-46,1962830	-23,5146710	3148	0,0318	1,1364	5388	3678	1710
L06864	1	-46,2134200	-23,5573729	2635	0,038	1,1364	4226	3074	1152
L06865	1	-46,1807627	-23,5543029	1791	0,0558	1,1364	2747	2054	693
L06866	1	-46,2228617	-23,5422120	5518	0,0181	1,1364	9292	6478	2814
L06870	1	-46,2499240	-23,5498220	3749	0,0267	1,1364	6094	4458	1636
L06872	1	-46,2028419	-23,5543180	2831	0,0353	1,1364	4610	3355	1255
L06874	1	-46,2213739	-23,5551863	3122	0,032	1,1364	4997	3696	1301
L06878	1	-46,2089161	-23,5485101	3853	0,026	1,1364	6146	4430	1716
L06881	5	-46,1804098	-23,5614630	934	0,5353	5,6818	1288	1047	241
L06884	1	-46,1805341	-23,5507934	1184	0,0845	1,1364	1752	1380	372
L06890	2	-46,2111657	-23,5541249	1629	0,1228	2,2727	2603	1941	662
L06892	3	-46,1661447	-23,5417243	1582	0,1896	3,4091	2272	1800	472
L06893	2	-46,1821326	-23,5624801	780	0,2564	2,2727	1196	925	271
L06899	1	-46,2335765	-23,5424164	2463	0,0406	1,1364	3864	2934	930
L06905	2	-46,1873394	-23,5143147	1029	0,1944	2,2727	1582	1201	381
L07517	1	-46,1367810	-23,4840010	2028	0,0493	1,1364	3198	2432	766
L07519	1	-46,1448614	-23,5117891	1314	0,0761	1,1364	2347	1560	787
L07522	1	-46,2140414	-23,5041734	801	0,1248	1,1364	1271	961	310
L07531	28	-46,0842351	-23,4805631	1658	1,6888	31,8182	2464	1882	582
L07532	2	-46,1520972	-23,5008683	2148	0,0931	2,2727	3423	2532	891
L07536	3	-46,1569397	-23,5037712	2583	0,1161	3,4091	4158	2994	1164
L07537	1	-46,1432076	-23,5153889	2452	0,0408	1,1364	3935	2877	1058
L07541	2	-46,1455968	-23,5213127	1212	0,165	2,2727	1779	1409	370
L07548	2	-46,2077795	-23,5122450	2130	0,0939	2,2727	3451	2472	979
L07554	2	-46,1830720	-23,4967629	2136	0,0936	2,2727	3370	2490	880
L07557	4	-46,1454960	-23,5129990	2018	0,1982	4,5455	3160	2385	775
