cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	176	-46,7892932	-23,5625432	2412	7,2968	0,6862	3980	2980	1000
L04882	460	-46,7622355	-23,5407896	6797	6,7677	1,7934	12245	8193	4052
L04884	215	-46,7768615	-23,5345527	2645	8,1285	0,8382	5017	3196	1821
L04885	69	-46,7826750	-23,5381983	1219	5,6604	0,269	2314	1440	874
L04886	133	-46,7895335	-23,5468438	2507	5,3051	0,5185	4289	2958	1331
L04887	134	-46,7865759	-23,5588349	2035	6,5848	0,5224	3402	2432	970
L04888	189	-46,7837257	-23,5381392	2818	6,7069	0,7369	5115	3417	1698
L04889	211	-46,7839709	-23,5497050	3389	6,226	0,8226	5847	4096	1751
L04890	149	-46,7857062	-23,5441159	2052	7,2612	0,5809	3496	2466	1030
L04891	221	-46,7852595	-23,5539242	3189	6,9301	0,8616	5266	3868	1398
L04892	182	-46,7859235	-23,5409986	2712	6,7109	0,7096	4642	3272	1370
L04893	186	-46,7881419	-23,5569339	2610	7,1264	0,7252	4514	3206	1308
L04894	36	-46,7828380	-23,5422279	646	5,5728	0,1404	1169	764	405
L04895	201	-46,7827060	-23,5359812	3524	5,7037	0,7837	6120	4150	1970
L04896	100	-46,7721490	-23,5258249	1713	5,8377	0,3899	2865	2061	804
L04897	135	-46,7778650	-23,5250979	1918	7,0386	0,5263	3439	2316	1123
L06550	123	-46,7796148	-23,5151948	1662	7,4007	0,4796	2844	2008	836
L06551	240	-46,7771000	-23,5075800	3830	6,2663	0,9357	6029	4477	1552
L06552	54	-46,7581060	-23,5188940	668	8,0838	0,2105	1042	811	231
L06553	243	-46,7539385	-23,5200652	2885	8,4229	0,9474	5085	3706	1379
L06554	242	-46,7658296	-23,5088622	2722	8,8905	0,9435	4561	3301	1260
L06555	143	-46,7658329	-23,5121198	1536	9,3099	0,5575	2667	1924	743
L06556	332	-46,7704264	-23,4988969	4202	7,901	1,2944	7141	5178	1963
L06557	249	-46,7811232	-23,5182373	3594	6,9282	0,9708	6245	4323	1922
L06558	319	-46,7642982	-23,5079997	4072	7,834	1,2437	7137	5022	2115
L06559	230	-46,7704809	-23,5182739	2453	9,3763	0,8967	4360	3068	1292
L06560	171	-46,7844325	-23,4788556	1650	10,3636	0,6667	2762	2038	724
L06561	166	-46,7669489	-23,4991193	2036	8,1532	0,6472	3361	2508	853
L06562	280	-46,7576204	-23,5177314	3283	8,5288	1,0917	5988	4164	1824
L06563	319	-46,7693024	-23,5083289	3980	8,0151	1,2437	6724	4877	1847
L06564	207	-46,7839760	-23,5153403	3366	6,1497	0,807	5256	3981	1275
L06565	307	-46,7626679	-23,5013616	3716	8,2616	1,1969	5982	4520	1462
L06566	272	-46,7796161	-23,5152503	4168	6,5259	1,0605	6748	4939	1809
L06567	43	-46,7760817	-23,4874637	733	5,8663	0,1676	1142	879	263
L06568	221	-46,7675537	-23,5157132	2979	7,4186	0,8616	5134	3660	1474
L06569	9	-46,7678202	-23,5030127	141	6,383	0,0351	214	163	51
L06570	149	-46,7680894	-23,4974164	1515	9,835	0,5809	2619	1951	668
L06571	68	-46,8093049	-23,5413420	997	6,8205	0,2651	1622	1240	382
L06572	163	-46,8111106	-23,5339293	2337	6,9748	0,6355	3877	2809	1068
L06573	292	-46,8012880	-23,5434880	3433	8,5057	1,1384	6134	4184	1950
L06574	274	-46,7947410	-23,5279590	3268	8,3843	1,0683	5696	4003	1693
L06575	330	-46,8072777	-23,5372033	4473	7,3776	1,2866	7422	5403	2019
