cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	4	-46,7892932	-23,5625432	2469	0,162	1,4599	3980	2980	1000
L04882	4	-46,7622355	-23,5407896	6968	0,0574	1,4599	12245	8193	4052
L04884	5	-46,7768615	-23,5345527	2704	0,1849	1,8248	5017	3196	1821
L04885	1	-46,7826750	-23,5381983	1260	0,0794	0,365	2314	1440	874
L04886	1	-46,7895335	-23,5468438	2582	0,0387	0,365	4289	2958	1331
L04887	4	-46,7865759	-23,5588349	2116	0,189	1,4599	3402	2432	970
L04888	3	-46,7837257	-23,5381392	2948	0,1018	1,0949	5115	3417	1698
L04889	3	-46,7839709	-23,5497050	3504	0,0856	1,0949	5847	4096	1751
L04890	4	-46,7857062	-23,5441159	2078	0,1925	1,4599	3496	2466	1030
L04891	4	-46,7852595	-23,5539242	3236	0,1236	1,4599	5266	3868	1398
L04892	3	-46,7859235	-23,5409986	2804	0,107	1,0949	4642	3272	1370
L04893	7	-46,7881419	-23,5569339	2713	0,258	2,5547	4514	3206	1308
L04895	6	-46,7827060	-23,5359812	3620	0,1657	2,1898	6120	4150	1970
L04897	1	-46,7778650	-23,5250979	1974	0,0507	0,365	3439	2316	1123
L06557	1	-46,7811232	-23,5182373	3682	0,0272	0,365	6245	4323	1922
L06558	2	-46,7642982	-23,5079997	4194	0,0477	0,7299	7137	5022	2115
L06560	1	-46,7844325	-23,4788556	1748	0,0572	0,365	2762	2038	724
L06561	1	-46,7669489	-23,4991193	2073	0,0482	0,365	3361	2508	853
L06563	1	-46,7693024	-23,5083289	4136	0,0242	0,365	6724	4877	1847
L06565	4	-46,7626679	-23,5013616	3815	0,1048	1,4599	5982	4520	1462
L06566	4	-46,7796161	-23,5152503	4300	0,093	1,4599	6748	4939	1809
L06568	2	-46,7675537	-23,5157132	3118	0,0641	0,7299	5134	3660	1474
L06571	1	-46,8093049	-23,5413420	1024	0,0977	0,365	1622	1240	382
L06574	2	-46,7947410	-23,5279590	3306	0,0605	0,7299	5696	4003	1693
L06575	2	-46,8072777	-23,5372033	4450	0,0449	0,7299	7422	5403	2019
L06577	5	-46,7928300	-23,5455236	3855	0,1297	1,8248	6576	4519	2057
L06578	2	-46,8050626	-23,5249271	2586	0,0773	0,7299	4649	3140	1509
L06582	1	-46,8034785	-23,5476532	1341	0,0746	0,365	2100	1625	475
L06583	1	-46,7956280	-23,5419549	2295	0,0436	0,365	3822	2680	1142
L06584	2	-46,8001696	-23,5314568	4154	0,0481	0,7299	7178	4916	2262
L06586	2	-46,7973540	-23,5310870	1532	0,1305	0,7299	2464	1836	628
L06587	1	-46,8114200	-23,5253090	1047	0,0955	0,365	1738	1306	432
L06588	3	-46,7908090	-23,5375427	4445	0,0675	1,0949	7782	5226	2556
L06589	1	-46,7888751	-23,5377480	678	0,1475	0,365	1132	839	293
