cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04882	3	-46,7622355	-23,5407896	6968	0,0431	1,4151	12245	8193	4052
L04887	3	-46,7865759	-23,5588349	2116	0,1418	1,4151	3402	2432	970
L04891	1	-46,7852595	-23,5539242	3236	0,0309	0,4717	5266	3868	1398
L04892	1	-46,7859235	-23,5409986	2804	0,0357	0,4717	4642	3272	1370
L04893	2	-46,7881419	-23,5569339	2713	0,0737	0,9434	4514	3206	1308
L06550	1	-46,7796148	-23,5151948	1688	0,0592	0,4717	2844	2008	836
L06554	1	-46,7658296	-23,5088622	2748	0,0364	0,4717	4561	3301	1260
L06555	1	-46,7658329	-23,5121198	1569	0,0637	0,4717	2667	1924	743
L06558	3	-46,7642982	-23,5079997	4194	0,0715	1,4151	7137	5022	2115
L06560	2	-46,7844325	-23,4788556	1748	0,1144	0,9434	2762	2038	724
L06572	4	-46,8111106	-23,5339293	2376	0,1684	1,8868	3877	2809	1068
L06575	2	-46,8072777	-23,5372033	4450	0,0449	0,9434	7422	5403	2019
L06578	1	-46,8050626	-23,5249271	2586	0,0387	0,4717	4649	3140	1509
L06580	1	-46,8029684	-23,5393826	2261	0,0442	0,4717	3504	2670	834
L06581	1	-46,8093862	-23,5238239	2043	0,0489	0,4717	3432	2437	995
L07432	3	-46,8000137	-23,5574530	3744	0,0801	1,4151	6710	4617	2093
L07434	1	-46,8046895	-23,5635769	3466	0,0289	0,4717	5784	4032	1752
L07436	2	-46,8142376	-23,5662204	3601	0,0555	0,9434	5822	4351	1471
L07437	1	-46,8098001	-23,5479703	4556	0,0219	0,4717	7463	5384	2079
L07438	1	-46,8129426	-23,5836958	1196	0,0836	0,4717	2209	1464	745
L07440	1	-46,7989466	-23,5580852	3631	0,0275	0,4717	6493	4311	2182
L07441	1	-46,8025359	-23,5663449	4033	0,0248	0,4717	6892	4856	2036
L07442	9	-46,7942690	-23,5647234	2687	0,3349	4,2453	4513	3137	1376
L07443	6	-46,7940196	-23,5554093	2652	0,2262	2,8302	4449	3212	1237
L07445	6	-46,8056808	-23,5689788	2565	0,2339	2,8302	4332	3114	1218
L07448	2	-46,8095111	-23,5664779	3142	0,0637	0,9434	5082	3816	1266
L07449	4	-46,8091078	-23,5742689	3555	0,1125	1,8868	5532	4202	1330
L07451	2	-46,7954755	-23,5600688	2085	0,0959	0,9434	3712	2450	1262
L07453	9	-46,8025739	-23,5795935	5067	0,1776	4,2453	7504	5891	1613
L07457	2	-46,7988490	-23,5557136	2400	0,0833	0,9434	4110	2844	1266
L07839	1	-46,7921985	-23,5195042	3354	0,0298	0,4717	5945	3971	1974
L07846	1	-46,7905729	-23,5134541	3873	0,0258	0,4717	6091	4508	1583
L07849	2	-46,7861467	-23,5074938	2324	0,0861	0,9434	3344	2656	688
L07850	1	-46,7904382	-23,4990201	3604	0,0277	0,4717	5697	4305	1392
L07858	1	-46,7777073	-23,5532095	625	0,16	0,4717	1034	753	281
L07862	6	-46,7911598	-23,5737050	1927	0,3114	2,8302	3210	2351	859
L07863	3	-46,7820433	-23,5601685	2999	0,1	1,4151	5047	3550	1497
L07864	15	-46,7882770	-23,5671015	3609	0,4156	7,0755	5785	4274	1511
L07865	21	-46,7961581	-23,5710313	4054	0,518	9,9057	6732	4816	1916
L07866	2	-46,7598272	-23,5497723	2756	0,0726	0,9434	4697	3183	1514
L07867	1	-46,7718083	-23,5424754	3256	0,0307	0,4717	5702	3834	1868
L07868	1	-46,7775150	-23,5690329	3517	0,0284	0,4717	5943	4105	1838
L07869	28	-46,7946320	-23,5758979	3066	0,9132	13,2075	4950	3732	1218
L07872	31	-46,7943390	-23,5707970	3084	1,0052	14,6226	5148	3623	1525
L07875	18	-46,7953784	-23,5709567	1397	1,2885	8,4906	2327	1737	590
L07876	2	-46,7974297	-23,5787302	2011	0,0995	0,9434	3189	2432	757
L07877	1	-46,7668646	-23,5424120	3878	0,0258	0,4717	6707	4662	2045
