cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	2	-46,7892932	-23,5625432	2469	0,081	1,6	3980	2980	1000
L04884	1	-46,7768615	-23,5345527	2704	0,037	0,8	5017	3196	1821
L04885	3	-46,7826750	-23,5381983	1260	0,2381	2,4	2314	1440	874
L04887	2	-46,7865759	-23,5588349	2116	0,0945	1,6	3402	2432	970
L04888	4	-46,7837257	-23,5381392	2948	0,1357	3,2	5115	3417	1698
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,8	5847	4096	1751
L04890	1	-46,7857062	-23,5441159	2078	0,0481	0,8	3496	2466	1030
L04893	2	-46,7881419	-23,5569339	2713	0,0737	1,6	4514	3206	1308
L04895	3	-46,7827060	-23,5359812	3620	0,0829	2,4	6120	4150	1970
L06551	1	-46,7771000	-23,5075800	3869	0,0258	0,8	6029	4477	1552
L06557	2	-46,7811232	-23,5182373	3682	0,0543	1,6	6245	4323	1922
L06564	1	-46,7839760	-23,5153403	3428	0,0292	0,8	5256	3981	1275
L06568	2	-46,7675537	-23,5157132	3118	0,0641	1,6	5134	3660	1474
L06570	1	-46,7680894	-23,4974164	1584	0,0631	0,8	2619	1951	668
L06571	5	-46,8093049	-23,5413420	1024	0,4883	4,0	1622	1240	382
L06572	18	-46,8111106	-23,5339293	2376	0,7576	14,4	3877	2809	1068
L06574	1	-46,7947410	-23,5279590	3306	0,0302	0,8	5696	4003	1693
L06575	13	-46,8072777	-23,5372033	4450	0,2921	10,4	7422	5403	2019
L06576	4	-46,7930553	-23,5359633	2635	0,1518	3,2	4766	3064	1702
L06577	1	-46,7928300	-23,5455236	3855	0,0259	0,8	6576	4519	2057
L06578	3	-46,8050626	-23,5249271	2586	0,116	2,4	4649	3140	1509
L06579	5	-46,8051389	-23,5396170	1810	0,2762	4,0	2905	2193	712
L06580	2	-46,8029684	-23,5393826	2261	0,0885	1,6	3504	2670	834
L06581	2	-46,8093862	-23,5238239	2043	0,0979	1,6	3432	2437	995
L06584	12	-46,8001696	-23,5314568	4154	0,2889	9,6	7178	4916	2262
L06586	1	-46,7973540	-23,5310870	1532	0,0653	0,8	2464	1836	628
L06588	5	-46,7908090	-23,5375427	4445	0,1125	4,0	7782	5226	2556
L07434	1	-46,8046895	-23,5635769	3466	0,0289	0,8	5784	4032	1752
L07447	2	-46,8135551	-23,5433840	2325	0,086	1,6	3657	2769	888
L07456	1	-46,8142480	-23,5849302	2689	0,0372	0,8	4238	3197	1041
L07834	1	-46,7878300	-23,5101801	4845	0,0206	0,8	7468	5673	1795
L07836	2	-46,7878300	-23,5101801	4065	0,0492	1,6	6277	4645	1632
L07838	1	-46,7862870	-23,4967528	4339	0,023	0,8	7137	5077	2060
L07839	1	-46,7921985	-23,5195042	3354	0,0298	0,8	5945	3971	1974
L07845	1	-46,7878300	-23,5101801	2603	0,0384	0,8	4010	2972	1038
L07849	1	-46,7861467	-23,5074938	2324	0,043	0,8	3344	2656	688
L07858	1	-46,7777073	-23,5532095	625	0,16	0,8	1034	753	281
L07865	1	-46,7961581	-23,5710313	4054	0,0247	0,8	6732	4816	1916
L07866	2	-46,7598272	-23,5497723	2756	0,0726	1,6	4697	3183	1514
L07867	4	-46,7718083	-23,5424754	3256	0,1229	3,2	5702	3834	1868
L07870	5	-46,7680678	-23,5499418	2762	0,181	4,0	4668	3273	1395
L07877	3	-46,7668646	-23,5424120	3878	0,0774	2,4	6707	4662	2045
