cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	2	-46,7892932	-23,5625432	2469	0,081	1,0695	3980	2980	1000
L04882	4	-46,7622355	-23,5407896	6968	0,0574	2,139	12245	8193	4052
L04884	2	-46,7768615	-23,5345527	2704	0,074	1,0695	5017	3196	1821
L04885	1	-46,7826750	-23,5381983	1260	0,0794	0,5348	2314	1440	874
L04886	2	-46,7895335	-23,5468438	2582	0,0775	1,0695	4289	2958	1331
L04887	4	-46,7865759	-23,5588349	2116	0,189	2,139	3402	2432	970
L04888	3	-46,7837257	-23,5381392	2948	0,1018	1,6043	5115	3417	1698
L04889	2	-46,7839709	-23,5497050	3504	0,0571	1,0695	5847	4096	1751
L04891	4	-46,7852595	-23,5539242	3236	0,1236	2,139	5266	3868	1398
L04892	3	-46,7859235	-23,5409986	2804	0,107	1,6043	4642	3272	1370
L04893	1	-46,7881419	-23,5569339	2713	0,0369	0,5348	4514	3206	1308
L04894	1	-46,7828380	-23,5422279	677	0,1477	0,5348	1169	764	405
L04895	3	-46,7827060	-23,5359812	3620	0,0829	1,6043	6120	4150	1970
L06558	1	-46,7642982	-23,5079997	4194	0,0238	0,5348	7137	5022	2115
L06565	1	-46,7626679	-23,5013616	3815	0,0262	0,5348	5982	4520	1462
L06571	1	-46,8093049	-23,5413420	1024	0,0977	0,5348	1622	1240	382
L06572	1	-46,8111106	-23,5339293	2376	0,0421	0,5348	3877	2809	1068
L06573	5	-46,8012880	-23,5434880	3573	0,1399	2,6738	6134	4184	1950
L06574	3	-46,7947410	-23,5279590	3306	0,0907	1,6043	5696	4003	1693
L06575	5	-46,8072777	-23,5372033	4450	0,1124	2,6738	7422	5403	2019
L06577	1	-46,7928300	-23,5455236	3855	0,0259	0,5348	6576	4519	2057
L06578	7	-46,8050626	-23,5249271	2586	0,2707	3,7433	4649	3140	1509
L06579	3	-46,8051389	-23,5396170	1810	0,1657	1,6043	2905	2193	712
L06580	1	-46,8029684	-23,5393826	2261	0,0442	0,5348	3504	2670	834
L06581	2	-46,8093862	-23,5238239	2043	0,0979	1,0695	3432	2437	995
L06583	5	-46,7956280	-23,5419549	2295	0,2179	2,6738	3822	2680	1142
L06584	14	-46,8001696	-23,5314568	4154	0,337	7,4866	7178	4916	2262
L06585	3	-46,7963450	-23,5492691	1998	0,1502	1,6043	3103	2350	753
L06586	3	-46,7973540	-23,5310870	1532	0,1958	1,6043	2464	1836	628
L06587	5	-46,8114200	-23,5253090	1047	0,4776	2,6738	1738	1306	432
