cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04882	1	-46,7622355	-23,5407896	6968	0,0144	0,5682	12245	8193	4052
L04884	1	-46,7768615	-23,5345527	2704	0,037	0,5682	5017	3196	1821
L04888	1	-46,7837257	-23,5381392	2948	0,0339	0,5682	5115	3417	1698
L04891	1	-46,7852595	-23,5539242	3236	0,0309	0,5682	5266	3868	1398
L06550	3	-46,7796148	-23,5151948	1688	0,1777	1,7045	2844	2008	836
L06551	16	-46,7771000	-23,5075800	3869	0,4135	9,0909	6029	4477	1552
L06554	12	-46,7658296	-23,5088622	2748	0,4367	6,8182	4561	3301	1260
L06555	8	-46,7658329	-23,5121198	1569	0,5099	4,5455	2667	1924	743
L06556	4	-46,7704264	-23,4988969	4393	0,0911	2,2727	7141	5178	1963
L06558	16	-46,7642982	-23,5079997	4194	0,3815	9,0909	7137	5022	2115
L06559	3	-46,7704809	-23,5182739	2558	0,1173	1,7045	4360	3068	1292
L06560	3	-46,7844325	-23,4788556	1748	0,1716	1,7045	2762	2038	724
L06561	2	-46,7669489	-23,4991193	2073	0,0965	1,1364	3361	2508	853
L06562	3	-46,7576204	-23,5177314	3456	0,0868	1,7045	5988	4164	1824
L06563	33	-46,7693024	-23,5083289	4136	0,7979	18,75	6724	4877	1847
L06564	6	-46,7839760	-23,5153403	3428	0,175	3,4091	5256	3981	1275
L06565	2	-46,7626679	-23,5013616	3815	0,0524	1,1364	5982	4520	1462
L06566	9	-46,7796161	-23,5152503	4300	0,2093	5,1136	6748	4939	1809
L06568	6	-46,7675537	-23,5157132	3118	0,1924	3,4091	5134	3660	1474
L06569	1	-46,7678202	-23,5030127	146	0,6849	0,5682	214	163	51
L06570	2	-46,7680894	-23,4974164	1584	0,1263	1,1364	2619	1951	668
L06575	1	-46,8072777	-23,5372033	4450	0,0225	0,5682	7422	5403	2019
L06583	1	-46,7956280	-23,5419549	2295	0,0436	0,5682	3822	2680	1142
L06588	1	-46,7908090	-23,5375427	4445	0,0225	0,5682	7782	5226	2556
L07435	2	-46,8135816	-23,5618315	2034	0,0983	1,1364	3380	2461	919
L07436	1	-46,8142376	-23,5662204	3601	0,0278	0,5682	5822	4351	1471
L07439	1	-46,8094021	-23,5477993	4549	0,022	0,5682	7867	5319	2548
L07446	1	-46,8088929	-23,5558779	3840	0,026	0,5682	6249	4594	1655
L07448	1	-46,8095111	-23,5664779	3142	0,0318	0,5682	5082	3816	1266
L07451	1	-46,7954755	-23,5600688	2085	0,048	0,5682	3712	2450	1262
L07456	1	-46,8142480	-23,5849302	2689	0,0372	0,5682	4238	3197	1041
L07834	4	-46,7878300	-23,5101801	4845	0,0826	2,2727	7468	5673	1795
L07836	3	-46,7878300	-23,5101801	4065	0,0738	1,7045	6277	4645	1632
L07837	1	-46,8064489	-23,5051642	4194	0,0238	0,5682	6586	4946	1640
L07841	1	-46,7948640	-23,5032982	4104	0,0244	0,5682	6963	4856	2107
L07845	4	-46,7878300	-23,5101801	2603	0,1537	2,2727	4010	2972	1038
L07846	3	-46,7905729	-23,5134541	3873	0,0775	1,7045	6091	4508	1583
L07849	1	-46,7861467	-23,5074938	2324	0,043	0,5682	3344	2656	688
L07850	3	-46,7904382	-23,4990201	3604	0,0832	1,7045	5697	4305	1392
L07852	2	-46,7901692	-23,4894744	4862	0,0411	1,1364	7255	5664	1591
L07855	2	-46,8006874	-23,5164197	2388	0,0838	1,1364	3633	2744	889
L07856	2	-46,7854306	-23,4977596	1632	0,1225	1,1364	2436	1898	538
L07857	1	-46,8046246	-23,4964528	2443	0,0409	0,5682	3797	2853	944
L07864	2	-46,7882770	-23,5671015	3609	0,0554	1,1364	5785	4274	1511
L07869	1	-46,7946320	-23,5758979	3066	0,0326	0,5682	4950	3732	1218
L07870	1	-46,7680678	-23,5499418	2762	0,0362	0,5682	4668	3273	1395
L07877	1	-46,7668646	-23,5424120	3878	0,0258	0,5682	6707	4662	2045
