cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	1	-46,7892932	-23,5625432	2469	0,0405	0,6135	3980	2980	1000
L04882	5	-46,7622355	-23,5407896	6968	0,0718	3,0675	12245	8193	4052
L04887	1	-46,7865759	-23,5588349	2116	0,0473	0,6135	3402	2432	970
L04888	1	-46,7837257	-23,5381392	2948	0,0339	0,6135	5115	3417	1698
L04891	2	-46,7852595	-23,5539242	3236	0,0618	1,227	5266	3868	1398
L04893	2	-46,7881419	-23,5569339	2713	0,0737	1,227	4514	3206	1308
L04895	4	-46,7827060	-23,5359812	3620	0,1105	2,454	6120	4150	1970
L04897	1	-46,7778650	-23,5250979	1974	0,0507	0,6135	3439	2316	1123
L06551	1	-46,7771000	-23,5075800	3869	0,0258	0,6135	6029	4477	1552
L06553	2	-46,7539385	-23,5200652	2994	0,0668	1,227	5085	3706	1379
L06554	2	-46,7658296	-23,5088622	2748	0,0728	1,227	4561	3301	1260
L06556	1	-46,7704264	-23,4988969	4393	0,0228	0,6135	7141	5178	1963
L06557	1	-46,7811232	-23,5182373	3682	0,0272	0,6135	6245	4323	1922
L06558	5	-46,7642982	-23,5079997	4194	0,1192	3,0675	7137	5022	2115
L06561	1	-46,7669489	-23,4991193	2073	0,0482	0,6135	3361	2508	853
L06562	4	-46,7576204	-23,5177314	3456	0,1157	2,454	5988	4164	1824
L06563	23	-46,7693024	-23,5083289	4136	0,5561	14,1104	6724	4877	1847
L06564	1	-46,7839760	-23,5153403	3428	0,0292	0,6135	5256	3981	1275
L06565	1	-46,7626679	-23,5013616	3815	0,0262	0,6135	5982	4520	1462
L06566	1	-46,7796161	-23,5152503	4300	0,0233	0,6135	6748	4939	1809
L06573	2	-46,8012880	-23,5434880	3573	0,056	1,227	6134	4184	1950
L06575	1	-46,8072777	-23,5372033	4450	0,0225	0,6135	7422	5403	2019
L06578	1	-46,8050626	-23,5249271	2586	0,0387	0,6135	4649	3140	1509
L06579	1	-46,8051389	-23,5396170	1810	0,0552	0,6135	2905	2193	712
L06584	2	-46,8001696	-23,5314568	4154	0,0481	1,227	7178	4916	2262
L06585	4	-46,7963450	-23,5492691	1998	0,2002	2,454	3103	2350	753
L06588	2	-46,7908090	-23,5375427	4445	0,045	1,227	7782	5226	2556
L07431	1	-46,8092805	-23,5456077	1482	0,0675	0,6135	2426	1747	679
L07434	1	-46,8046895	-23,5635769	3466	0,0289	0,6135	5784	4032	1752
L07436	18	-46,8142376	-23,5662204	3601	0,4999	11,0429	5822	4351	1471
L07439	1	-46,8094021	-23,5477993	4549	0,022	0,6135	7867	5319	2548
L07440	1	-46,7989466	-23,5580852	3631	0,0275	0,6135	6493	4311	2182
L07442	2	-46,7942690	-23,5647234	2687	0,0744	1,227	4513	3137	1376
L07444	1	-46,8115760	-23,5569126	3694	0,0271	0,6135	6331	4349	1982
L07446	1	-46,8088929	-23,5558779	3840	0,026	0,6135	6249	4594	1655
L07448	15	-46,8095111	-23,5664779	3142	0,4774	9,2025	5082	3816	1266
L07449	1	-46,8091078	-23,5742689	3555	0,0281	0,6135	5532	4202	1330
L07453	5	-46,8025739	-23,5795935	5067	0,0987	3,0675	7504	5891	1613
L07458	2	-46,8144108	-23,5768893	2289	0,0874	1,227	3731	2825	906
L07834	1	-46,7878300	-23,5101801	4845	0,0206	0,6135	7468	5673	1795
L07838	4	-46,7862870	-23,4967528	4339	0,0922	2,454	7137	5077	2060
L07839	2	-46,7921985	-23,5195042	3354	0,0596	1,227	5945	3971	1974
L07840	1	-46,7986325	-23,4938631	4355	0,023	0,6135	6709	4997	1712
L07841	3	-46,7948640	-23,5032982	4104	0,0731	1,8405	6963	4856	2107
L07843	1	-46,7876769	-23,5006730	3674	0,0272	0,6135	6325	4386	1939
L07846	1	-46,7905729	-23,5134541	3873	0,0258	0,6135	6091	4508	1583
L07847	1	-46,7922239	-23,4929084	1905	0,0525	0,6135	3092	2230	862
L07849	1	-46,7861467	-23,5074938	2324	0,043	0,6135	3344	2656	688
L07850	1	-46,7904382	-23,4990201	3604	0,0277	0,6135	5697	4305	1392
L07851	1	-46,7909369	-23,5050777	2125	0,0471	0,6135	3364	2539	825
L07852	1	-46,7901692	-23,4894744	4862	0,0206	0,6135	7255	5664	1591
L07863	1	-46,7820433	-23,5601685	2999	0,0333	0,6135	5047	3550	1497
L07864	2	-46,7882770	-23,5671015	3609	0,0554	1,227	5785	4274	1511
L07865	1	-46,7961581	-23,5710313	4054	0,0247	0,6135	6732	4816	1916
L07866	3	-46,7598272	-23,5497723	2756	0,1089	1,8405	4697	3183	1514
L07868	3	-46,7775150	-23,5690329	3517	0,0853	1,8405	5943	4105	1838
L07870	3	-46,7680678	-23,5499418	2762	0,1086	1,8405	4668	3273	1395
L07871	3	-46,7765432	-23,5589265	3239	0,0926	1,8405	5118	3778	1340
L07874	4	-46,7789564	-23,5580312	554	0,722	2,454	965	699	266
L07877	3	-46,7668646	-23,5424120	3878	0,0774	1,8405	6707	4662	2045
