cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	2	-46,7892932	-23,5625432	2469	0,081	1,0101	3980	2980	1000
L04889	1	-46,7839709	-23,5497050	3504	0,0285	0,5051	5847	4096	1751
L06550	1	-46,7796148	-23,5151948	1688	0,0592	0,5051	2844	2008	836
L06551	3	-46,7771000	-23,5075800	3869	0,0775	1,5152	6029	4477	1552
L06555	3	-46,7658329	-23,5121198	1569	0,1912	1,5152	2667	1924	743
L06558	3	-46,7642982	-23,5079997	4194	0,0715	1,5152	7137	5022	2115
L06559	1	-46,7704809	-23,5182739	2558	0,0391	0,5051	4360	3068	1292
L06564	3	-46,7839760	-23,5153403	3428	0,0875	1,5152	5256	3981	1275
L06565	2	-46,7626679	-23,5013616	3815	0,0524	1,0101	5982	4520	1462
L06566	4	-46,7796161	-23,5152503	4300	0,093	2,0202	6748	4939	1809
L06573	1	-46,8012880	-23,5434880	3573	0,028	0,5051	6134	4184	1950
L06579	1	-46,8051389	-23,5396170	1810	0,0552	0,5051	2905	2193	712
L06580	1	-46,8029684	-23,5393826	2261	0,0442	0,5051	3504	2670	834
L07448	1	-46,8095111	-23,5664779	3142	0,0318	0,5051	5082	3816	1266
L07834	3	-46,7878300	-23,5101801	4845	0,0619	1,5152	7468	5673	1795
L07836	2	-46,7878300	-23,5101801	4065	0,0492	1,0101	6277	4645	1632
L07838	24	-46,7862870	-23,4967528	4339	0,5531	12,1212	7137	5077	2060
L07840	7	-46,7986325	-23,4938631	4355	0,1607	3,5354	6709	4997	1712
L07841	17	-46,7948640	-23,5032982	4104	0,4142	8,5859	6963	4856	2107
L07842	3	-46,8047641	-23,4972846	4158	0,0722	1,5152	6856	4887	1969
L07843	31	-46,7876769	-23,5006730	3674	0,8438	15,6566	6325	4386	1939
L07844	2	-46,8001115	-23,5019602	1223	0,1635	1,0101	2075	1476	599
L07846	3	-46,7905729	-23,5134541	3873	0,0775	1,5152	6091	4508	1583
L07847	12	-46,7922239	-23,4929084	1905	0,6299	6,0606	3092	2230	862
L07848	8	-46,7989836	-23,4948638	3640	0,2198	4,0404	5479	4274	1205
L07849	4	-46,7861467	-23,5074938	2324	0,1721	2,0202	3344	2656	688
L07850	21	-46,7904382	-23,4990201	3604	0,5827	10,6061	5697	4305	1392
L07851	7	-46,7909369	-23,5050777	2125	0,3294	3,5354	3364	2539	825
L07852	6	-46,7901692	-23,4894744	4862	0,1234	3,0303	7255	5664	1591
L07853	3	-46,8028593	-23,5003978	2574	0,1166	1,5152	3878	2968	910
L07854	2	-46,8083282	-23,4992123	3252	0,0615	1,0101	5182	3809	1373
L07855	1	-46,8006874	-23,5164197	2388	0,0419	0,5051	3633	2744	889
L07856	5	-46,7854306	-23,4977596	1632	0,3064	2,5253	2436	1898	538
L07857	4	-46,8046246	-23,4964528	2443	0,1637	2,0202	3797	2853	944
L07867	2	-46,7718083	-23,5424754	3256	0,0614	1,0101	5702	3834	1868
L07871	1	-46,7765432	-23,5589265	3239	0,0309	0,5051	5118	3778	1340
L07872	2	-46,7943390	-23,5707970	3084	0,0649	1,0101	5148	3623	1525
L07875	1	-46,7953784	-23,5709567	1397	0,0716	0,5051	2327	1737	590
