cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L06554	1	-46,7658296	-23,5088622	2748	0,0364	1,0989	4561	3301	1260
L06557	1	-46,7811232	-23,5182373	3682	0,0272	1,0989	6245	4323	1922
L06575	1	-46,8072777	-23,5372033	4450	0,0225	1,0989	7422	5403	2019
L07834	1	-46,7878300	-23,5101801	4845	0,0206	1,0989	7468	5673	1795
L07835	2	-46,7999039	-23,5019036	540	0,3704	2,1978	853	612	241
L07836	1	-46,7878300	-23,5101801	4065	0,0246	1,0989	6277	4645	1632
L07837	12	-46,8064489	-23,5051642	4194	0,2861	13,1868	6586	4946	1640
L07839	1	-46,7921985	-23,5195042	3354	0,0298	1,0989	5945	3971	1974
L07840	1	-46,7986325	-23,4938631	4355	0,023	1,0989	6709	4997	1712
L07841	4	-46,7948640	-23,5032982	4104	0,0975	4,3956	6963	4856	2107
L07842	10	-46,8047641	-23,4972846	4158	0,2405	10,989	6856	4887	1969
L07843	4	-46,7876769	-23,5006730	3674	0,1089	4,3956	6325	4386	1939
L07844	11	-46,8001115	-23,5019602	1223	0,8994	12,0879	2075	1476	599
L07846	1	-46,7905729	-23,5134541	3873	0,0258	1,0989	6091	4508	1583
L07848	3	-46,7989836	-23,4948638	3640	0,0824	3,2967	5479	4274	1205
L07850	1	-46,7904382	-23,4990201	3604	0,0277	1,0989	5697	4305	1392
L07852	1	-46,7901692	-23,4894744	4862	0,0206	1,0989	7255	5664	1591
L07853	26	-46,8028593	-23,5003978	2574	1,0101	28,5714	3878	2968	910
L07854	3	-46,8083282	-23,4992123	3252	0,0923	3,2967	5182	3809	1373
L07855	1	-46,8006874	-23,5164197	2388	0,0419	1,0989	3633	2744	889
L07857	5	-46,8046246	-23,4964528	2443	0,2047	5,4945	3797	2853	944
