cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	1	-46,7892932	-23,5625432	2469	0,0405	0,1642	3980	2980	1000
L04882	1	-46,7622355	-23,5407896	6968	0,0144	0,1642	12245	8193	4052
L04884	1	-46,7768615	-23,5345527	2704	0,037	0,1642	5017	3196	1821
L04891	1	-46,7852595	-23,5539242	3236	0,0309	0,1642	5266	3868	1398
L04893	3	-46,7881419	-23,5569339	2713	0,1106	0,4926	4514	3206	1308
L04897	2	-46,7778650	-23,5250979	1974	0,1013	0,3284	3439	2316	1123
L06550	4	-46,7796148	-23,5151948	1688	0,237	0,6568	2844	2008	836
L06553	3	-46,7539385	-23,5200652	2994	0,1002	0,4926	5085	3706	1379
L06554	12	-46,7658296	-23,5088622	2748	0,4367	1,9704	4561	3301	1260
L06555	2	-46,7658329	-23,5121198	1569	0,1275	0,3284	2667	1924	743
L06556	139	-46,7704264	-23,4988969	4393	3,1641	22,8243	7141	5178	1963
L06557	3	-46,7811232	-23,5182373	3682	0,0815	0,4926	6245	4323	1922
L06558	44	-46,7642982	-23,5079997	4194	1,0491	7,225	7137	5022	2115
L06559	5	-46,7704809	-23,5182739	2558	0,1955	0,821	4360	3068	1292
L06560	144	-46,7844325	-23,4788556	1748	8,238	23,6453	2762	2038	724
L06561	39	-46,7669489	-23,4991193	2073	1,8813	6,4039	3361	2508	853
L06562	7	-46,7576204	-23,5177314	3456	0,2025	1,1494	5988	4164	1824
L06563	41	-46,7693024	-23,5083289	4136	0,9913	6,7323	6724	4877	1847
L06564	5	-46,7839760	-23,5153403	3428	0,1459	0,821	5256	3981	1275
L06565	34	-46,7626679	-23,5013616	3815	0,8912	5,5829	5982	4520	1462
L06566	6	-46,7796161	-23,5152503	4300	0,1395	0,9852	6748	4939	1809
L06567	15	-46,7760817	-23,4874637	762	1,9685	2,4631	1142	879	263
L06568	4	-46,7675537	-23,5157132	3118	0,1283	0,6568	5134	3660	1474
L06569	1	-46,7678202	-23,5030127	146	0,6849	0,1642	214	163	51
L06570	24	-46,7680894	-23,4974164	1584	1,5152	3,9409	2619	1951	668
L06574	2	-46,7947410	-23,5279590	3306	0,0605	0,3284	5696	4003	1693
L06576	2	-46,7930553	-23,5359633	2635	0,0759	0,3284	4766	3064	1702
L06583	2	-46,7956280	-23,5419549	2295	0,0871	0,3284	3822	2680	1142
L06585	1	-46,7963450	-23,5492691	1998	0,0501	0,1642	3103	2350	753
L07435	2	-46,8135816	-23,5618315	2034	0,0983	0,3284	3380	2461	919
L07437	1	-46,8098001	-23,5479703	4556	0,0219	0,1642	7463	5384	2079
L07440	2	-46,7989466	-23,5580852	3631	0,0551	0,3284	6493	4311	2182
L07441	1	-46,8025359	-23,5663449	4033	0,0248	0,1642	6892	4856	2036
L07445	1	-46,8056808	-23,5689788	2565	0,039	0,1642	4332	3114	1218
L07447	2	-46,8135551	-23,5433840	2325	0,086	0,3284	3657	2769	888
L07448	1	-46,8095111	-23,5664779	3142	0,0318	0,1642	5082	3816	1266
L07834	2	-46,7878300	-23,5101801	4845	0,0413	0,3284	7468	5673	1795
L07836	1	-46,7878300	-23,5101801	4065	0,0246	0,1642	6277	4645	1632
L07838	1	-46,7862870	-23,4967528	4339	0,023	0,1642	7137	5077	2060
L07839	1	-46,7921985	-23,5195042	3354	0,0298	0,1642	5945	3971	1974
L07840	3	-46,7986325	-23,4938631	4355	0,0689	0,4926	6709	4997	1712
L07841	4	-46,7948640	-23,5032982	4104	0,0975	0,6568	6963	4856	2107
L07842	1	-46,8047641	-23,4972846	4158	0,0241	0,1642	6856	4887	1969
L07843	5	-46,7876769	-23,5006730	3674	0,1361	0,821	6325	4386	1939
L07846	2	-46,7905729	-23,5134541	3873	0,0516	0,3284	6091	4508	1583
L07848	3	-46,7989836	-23,4948638	3640	0,0824	0,4926	5479	4274	1205
L07851	14	-46,7909369	-23,5050777	2125	0,6588	2,2989	3364	2539	825
L07852	4	-46,7901692	-23,4894744	4862	0,0823	0,6568	7255	5664	1591
L07855	1	-46,8006874	-23,5164197	2388	0,0419	0,1642	3633	2744	889
L07856	2	-46,7854306	-23,4977596	1632	0,1225	0,3284	2436	1898	538
L07859	1	-46,7967711	-23,5722048	112	0,8929	0,1642	206	132	74
L07862	1	-46,7911598	-23,5737050	1927	0,0519	0,1642	3210	2351	859
L07863	1	-46,7820433	-23,5601685	2999	0,0333	0,1642	5047	3550	1497
L07867	1	-46,7718083	-23,5424754	3256	0,0307	0,1642	5702	3834	1868
L07869	1	-46,7946320	-23,5758979	3066	0,0326	0,1642	4950	3732	1218
L07871	2	-46,7765432	-23,5589265	3239	0,0617	0,3284	5118	3778	1340
