cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04881	2	-46,7892932	-23,5625432	2469	0,081	2,439	3980	2980	1000
L04882	1	-46,7622355	-23,5407896	6968	0,0144	1,2195	12245	8193	4052
L04887	1	-46,7865759	-23,5588349	2116	0,0473	1,2195	3402	2432	970
L04888	1	-46,7837257	-23,5381392	2948	0,0339	1,2195	5115	3417	1698
L06554	1	-46,7658296	-23,5088622	2748	0,0364	1,2195	4561	3301	1260
L06556	1	-46,7704264	-23,4988969	4393	0,0228	1,2195	7141	5178	1963
L06558	2	-46,7642982	-23,5079997	4194	0,0477	2,439	7137	5022	2115
L06559	1	-46,7704809	-23,5182739	2558	0,0391	1,2195	4360	3068	1292
L06563	2	-46,7693024	-23,5083289	4136	0,0484	2,439	6724	4877	1847
L06565	1	-46,7626679	-23,5013616	3815	0,0262	1,2195	5982	4520	1462
L06571	1	-46,8093049	-23,5413420	1024	0,0977	1,2195	1622	1240	382
L06574	5	-46,7947410	-23,5279590	3306	0,1512	6,0976	5696	4003	1693
L06578	1	-46,8050626	-23,5249271	2586	0,0387	1,2195	4649	3140	1509
L06579	1	-46,8051389	-23,5396170	1810	0,0552	1,2195	2905	2193	712
L06581	1	-46,8093862	-23,5238239	2043	0,0489	1,2195	3432	2437	995
L06588	1	-46,7908090	-23,5375427	4445	0,0225	1,2195	7782	5226	2556
L07450	2	-46,8135180	-23,5604126	2995	0,0668	2,439	5195	3710	1485
L07452	1	-46,8167708	-23,5510924	2027	0,0493	1,2195	3154	2462	692
L07836	1	-46,7878300	-23,5101801	4065	0,0246	1,2195	6277	4645	1632
L07837	6	-46,8064489	-23,5051642	4194	0,1431	7,3171	6586	4946	1640
L07838	5	-46,7862870	-23,4967528	4339	0,1152	6,0976	7137	5077	2060
L07839	1	-46,7921985	-23,5195042	3354	0,0298	1,2195	5945	3971	1974
L07840	2	-46,7986325	-23,4938631	4355	0,0459	2,439	6709	4997	1712
L07841	1	-46,7948640	-23,5032982	4104	0,0244	1,2195	6963	4856	2107
L07842	1	-46,8047641	-23,4972846	4158	0,0241	1,2195	6856	4887	1969
L07843	11	-46,7876769	-23,5006730	3674	0,2994	13,4146	6325	4386	1939
L07845	5	-46,7878300	-23,5101801	2603	0,1921	6,0976	4010	2972	1038
L07846	1	-46,7905729	-23,5134541	3873	0,0258	1,2195	6091	4508	1583
L07847	1	-46,7922239	-23,4929084	1905	0,0525	1,2195	3092	2230	862
L07848	4	-46,7989836	-23,4948638	3640	0,1099	4,878	5479	4274	1205
L07850	3	-46,7904382	-23,4990201	3604	0,0832	3,6585	5697	4305	1392
L07851	1	-46,7909369	-23,5050777	2125	0,0471	1,2195	3364	2539	825
L07852	1	-46,7901692	-23,4894744	4862	0,0206	1,2195	7255	5664	1591
L07853	1	-46,8028593	-23,5003978	2574	0,0389	1,2195	3878	2968	910
L07854	3	-46,8083282	-23,4992123	3252	0,0923	3,6585	5182	3809	1373
L07856	7	-46,7854306	-23,4977596	1632	0,4289	8,5366	2436	1898	538
L07867	1	-46,7718083	-23,5424754	3256	0,0307	1,2195	5702	3834	1868
