cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04897	1	-46,7778650	-23,5250979	1974	0,0507	0,9804	3439	2316	1123
L06551	1	-46,7771000	-23,5075800	3869	0,0258	0,9804	6029	4477	1552
L06555	1	-46,7658329	-23,5121198	1569	0,0637	0,9804	2667	1924	743
L06560	1	-46,7844325	-23,4788556	1748	0,0572	0,9804	2762	2038	724
L06563	1	-46,7693024	-23,5083289	4136	0,0242	0,9804	6724	4877	1847
L06566	2	-46,7796161	-23,5152503	4300	0,0465	1,9608	6748	4939	1809
L06567	4	-46,7760817	-23,4874637	762	0,5249	3,9216	1142	879	263
L06570	1	-46,7680894	-23,4974164	1584	0,0631	0,9804	2619	1951	668
L07435	1	-46,8135816	-23,5618315	2034	0,0492	0,9804	3380	2461	919
L07442	1	-46,7942690	-23,5647234	2687	0,0372	0,9804	4513	3137	1376
L07444	2	-46,8115760	-23,5569126	3694	0,0541	1,9608	6331	4349	1982
L07447	1	-46,8135551	-23,5433840	2325	0,043	0,9804	3657	2769	888
L07449	1	-46,8091078	-23,5742689	3555	0,0281	0,9804	5532	4202	1330
L07456	1	-46,8142480	-23,5849302	2689	0,0372	0,9804	4238	3197	1041
L07457	2	-46,7988490	-23,5557136	2400	0,0833	1,9608	4110	2844	1266
L07458	2	-46,8144108	-23,5768893	2289	0,0874	1,9608	3731	2825	906
L07834	6	-46,7878300	-23,5101801	4845	0,1238	5,8824	7468	5673	1795
L07836	16	-46,7878300	-23,5101801	4065	0,3936	15,6863	6277	4645	1632
L07838	4	-46,7862870	-23,4967528	4339	0,0922	3,9216	7137	5077	2060
L07839	2	-46,7921985	-23,5195042	3354	0,0596	1,9608	5945	3971	1974
L07840	1	-46,7986325	-23,4938631	4355	0,023	0,9804	6709	4997	1712
L07842	1	-46,8047641	-23,4972846	4158	0,0241	0,9804	6856	4887	1969
L07843	5	-46,7876769	-23,5006730	3674	0,1361	4,902	6325	4386	1939
L07844	1	-46,8001115	-23,5019602	1223	0,0818	0,9804	2075	1476	599
L07845	4	-46,7878300	-23,5101801	2603	0,1537	3,9216	4010	2972	1038
L07846	3	-46,7905729	-23,5134541	3873	0,0775	2,9412	6091	4508	1583
L07849	18	-46,7861467	-23,5074938	2324	0,7745	17,6471	3344	2656	688
L07850	1	-46,7904382	-23,4990201	3604	0,0277	0,9804	5697	4305	1392
L07851	1	-46,7909369	-23,5050777	2125	0,0471	0,9804	3364	2539	825
L07853	2	-46,8028593	-23,5003978	2574	0,0777	1,9608	3878	2968	910
L07855	5	-46,8006874	-23,5164197	2388	0,2094	4,902	3633	2744	889
L07856	1	-46,7854306	-23,4977596	1632	0,0613	0,9804	2436	1898	538
L07857	1	-46,8046246	-23,4964528	2443	0,0409	0,9804	3797	2853	944
L07862	1	-46,7911598	-23,5737050	1927	0,0519	0,9804	3210	2351	859
L07864	3	-46,7882770	-23,5671015	3609	0,0831	2,9412	5785	4274	1511
L07869	1	-46,7946320	-23,5758979	3066	0,0326	0,9804	4950	3732	1218
L07872	1	-46,7943390	-23,5707970	3084	0,0324	0,9804	5148	3623	1525
L07875	1	-46,7953784	-23,5709567	1397	0,0716	0,9804	2327	1737	590
