cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04882	1	-46,7622355	-23,5407896	6968	0,0144	2,0408	12245	8193	4052
L04884	1	-46,7768615	-23,5345527	2704	0,037	2,0408	5017	3196	1821
L04889	1	-46,7839709	-23,5497050	3504	0,0285	2,0408	5847	4096	1751
L04890	1	-46,7857062	-23,5441159	2078	0,0481	2,0408	3496	2466	1030
L04892	1	-46,7859235	-23,5409986	2804	0,0357	2,0408	4642	3272	1370
L04897	1	-46,7778650	-23,5250979	1974	0,0507	2,0408	3439	2316	1123
L06553	1	-46,7539385	-23,5200652	2994	0,0334	2,0408	5085	3706	1379
L06559	1	-46,7704809	-23,5182739	2558	0,0391	2,0408	4360	3068	1292
L06561	1	-46,7669489	-23,4991193	2073	0,0482	2,0408	3361	2508	853
L06563	1	-46,7693024	-23,5083289	4136	0,0242	2,0408	6724	4877	1847
L06568	1	-46,7675537	-23,5157132	3118	0,0321	2,0408	5134	3660	1474
L06572	1	-46,8111106	-23,5339293	2376	0,0421	2,0408	3877	2809	1068
L06576	2	-46,7930553	-23,5359633	2635	0,0759	4,0816	4766	3064	1702
L06584	1	-46,8001696	-23,5314568	4154	0,0241	2,0408	7178	4916	2262
L06586	1	-46,7973540	-23,5310870	1532	0,0653	2,0408	2464	1836	628
L06588	1	-46,7908090	-23,5375427	4445	0,0225	2,0408	7782	5226	2556
L07434	1	-46,8046895	-23,5635769	3466	0,0289	2,0408	5784	4032	1752
L07439	1	-46,8094021	-23,5477993	4549	0,022	2,0408	7867	5319	2548
L07834	4	-46,7878300	-23,5101801	4845	0,0826	8,1633	7468	5673	1795
L07839	2	-46,7921985	-23,5195042	3354	0,0596	4,0816	5945	3971	1974
L07845	2	-46,7878300	-23,5101801	2603	0,0768	4,0816	4010	2972	1038
L07846	11	-46,7905729	-23,5134541	3873	0,284	22,449	6091	4508	1583
L07849	2	-46,7861467	-23,5074938	2324	0,0861	4,0816	3344	2656	688
L07863	1	-46,7820433	-23,5601685	2999	0,0333	2,0408	5047	3550	1497
L07866	1	-46,7598272	-23,5497723	2756	0,0363	2,0408	4697	3183	1514
L07867	2	-46,7718083	-23,5424754	3256	0,0614	4,0816	5702	3834	1868
L07871	1	-46,7765432	-23,5589265	3239	0,0309	2,0408	5118	3778	1340
L07875	1	-46,7953784	-23,5709567	1397	0,0716	2,0408	2327	1737	590
L07877	3	-46,7668646	-23,5424120	3878	0,0774	6,1224	6707	4662	2045
