cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05004	1	-46,3398858	-23,5239224	1919	0,0521	2,0	3284	2177	1107
L05005	2	-46,3374620	-23,5315400	2770	0,0722	4,0	3887	3073	814
L05006	6	-46,3429659	-23,5171323	4423	0,1357	12,0	7166	4960	2206
L05007	2	-46,3657302	-23,5183636	1819	0,11	4,0	2562	2069	493
L05009	12	-46,3438689	-23,5311039	3097	0,3875	24,0	5266	3500	1766
L05010	1	-46,3548599	-23,5079119	2516	0,0397	2,0	3712	2891	821
L05014	2	-46,3413652	-23,5201693	4103	0,0487	4,0	6165	4558	1607
L05015	5	-46,3578871	-23,5206354	3354	0,1491	10,0	4775	3812	963
L05016	3	-46,3426396	-23,5419679	2593	0,1157	6,0	3712	2877	835
L05017	2	-46,3521940	-23,5473900	2118	0,0944	4,0	3004	2369	635
L05018	2	-46,3340150	-23,5331037	1069	0,1871	4,0	1434	1162	272
L05019	1	-46,3380376	-23,5311420	966	0,1035	2,0	1349	1085	264
L05020	1	-46,3439856	-23,5296432	1328	0,0753	2,0	2160	1485	675
L05023	4	-46,3597600	-23,5182320	1168	0,3425	8,0	1546	1282	264
L05027	1	-46,3337364	-23,5187973	1615	0,0619	2,0	2332	1806	526
L05031	1	-46,3388400	-23,5346484	2639	0,0379	2,0	3697	2911	786
L05033	4	-46,3621137	-23,5149420	3295	0,1214	8,0	4835	3684	1151
