cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05004	23	-46,3398858	-23,5239224	1919	1,1985	2,6744	3284	2177	1107
L05005	44	-46,3374620	-23,5315400	2770	1,5884	5,1163	3887	3073	814
L05006	94	-46,3429659	-23,5171323	4423	2,1253	10,9302	7166	4960	2206
L05007	7	-46,3657302	-23,5183636	1819	0,3848	0,814	2562	2069	493
L05008	20	-46,3480012	-23,5194955	1452	1,3774	2,3256	2162	1648	514
L05009	54	-46,3438689	-23,5311039	3097	1,7436	6,2791	5266	3500	1766
L05010	35	-46,3548599	-23,5079119	2516	1,3911	4,0698	3712	2891	821
L05011	46	-46,3355387	-23,5095882	2259	2,0363	5,3488	3230	2499	731
L05012	26	-46,3478159	-23,5347259	3804	0,6835	3,0233	5686	4285	1401
L05013	18	-46,3523801	-23,5361385	2487	0,7238	2,093	3666	2799	867
L05014	74	-46,3413652	-23,5201693	4103	1,8036	8,6047	6165	4558	1607
L05015	52	-46,3578871	-23,5206354	3354	1,5504	6,0465	4775	3812	963
L05016	18	-46,3426396	-23,5419679	2593	0,6942	2,093	3712	2877	835
L05017	7	-46,3521940	-23,5473900	2118	0,3305	0,814	3004	2369	635
L05018	14	-46,3340150	-23,5331037	1069	1,3096	1,6279	1434	1162	272
L05019	18	-46,3380376	-23,5311420	966	1,8634	2,093	1349	1085	264
L05020	17	-46,3439856	-23,5296432	1328	1,2801	1,9767	2160	1485	675
L05021	30	-46,3410776	-23,5373743	1468	2,0436	3,4884	2132	1696	436
L05022	11	-46,3516373	-23,5462355	1530	0,719	1,2791	2141	1686	455
L05023	12	-46,3597600	-23,5182320	1168	1,0274	1,3953	1546	1282	264
L05024	15	-46,3421440	-23,5199230	722	2,0776	1,7442	1083	794	289
L05025	26	-46,3456720	-23,5280468	1546	1,6818	3,0233	2612	1734	878
L05026	57	-46,3518949	-23,5262154	2014	2,8302	6,6279	2939	2281	658
L05027	23	-46,3337364	-23,5187973	1615	1,4241	2,6744	2332	1806	526
L05028	15	-46,3458377	-23,5532285	1414	1,0608	1,7442	2064	1576	488
L05029	25	-46,3465347	-23,5526892	2807	0,8906	2,907	4129	3176	953
L05031	42	-46,3388400	-23,5346484	2639	1,5915	4,8837	3697	2911	786
L05032	13	-46,3459069	-23,5530722	756	1,7196	1,5116	1123	861	262
L05033	24	-46,3621137	-23,5149420	3295	0,7284	2,7907	4835	3684	1151
