cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04187	1	-46,4133491	-23,7109861	1336	0,0749	0,4525	2112	1500	612
L04188	10	-46,4315564	-23,6947299	2619	0,3818	4,5249	3820	3001	819
L04189	11	-46,4253910	-23,7034609	1090	1,0092	4,9774	1508	1219	289
L04191	6	-46,4042130	-23,7107790	2528	0,2373	2,7149	4177	2799	1378
L04192	7	-46,4077570	-23,6996264	1318	0,5311	3,1674	1979	1470	509
L04193	3	-46,3922839	-23,6967820	1829	0,164	1,3575	2560	2035	525
L04194	18	-46,3893940	-23,7115049	1843	0,9767	8,1448	2622	2066	556
L04196	1	-46,3974190	-23,7075510	2194	0,0456	0,4525	3394	2445	949
L04197	3	-46,3898385	-23,6912630	4055	0,074	1,3575	5826	4531	1295
L04198	10	-46,3692090	-23,6589453	1917	0,5216	4,5249	2704	2135	569
L04199	3	-46,3608767	-23,7080268	926	0,324	1,3575	1291	1035	256
L04200	65	-46,4166922	-23,6842644	2149	3,0247	29,4118	3300	2549	751
L04201	3	-46,3601464	-23,6848485	1952	0,1537	1,3575	2853	2172	681
L04202	1	-46,3695608	-23,6523401	2609	0,0383	0,4525	3748	2868	880
L04203	7	-46,4372270	-23,6916086	2824	0,2479	3,1674	4135	3230	905
L04204	11	-46,3704210	-23,6836850	3245	0,339	4,9774	4887	3590	1297
L04206	1	-46,3948722	-23,6796626	1069	0,0935	0,4525	1544	1208	336
L04207	3	-46,4045549	-23,6999970	1004	0,2988	1,3575	1388	1119	269
L04209	3	-46,4164611	-23,7063938	983	0,3052	1,3575	1540	1093	447
L04210	1	-46,4164611	-23,7063938	882	0,1134	0,4525	1333	990	343
L04211	1	-46,3891285	-23,7184961	1588	0,063	0,4525	2171	1750	421
L04214	1	-46,3475630	-23,6719567	919	0,1088	0,4525	1341	1037	304
L04215	4	-46,4139228	-23,7040963	1613	0,248	1,81	2552	1785	767
L04216	3	-46,4089211	-23,7079720	537	0,5587	1,3575	913	601	312
L09380	2	-46,4103340	-23,7198310	651	0,3072	0,905	952	735	217
L09381	3	-46,4248765	-23,7184978	1507	0,1991	1,3575	2236	1713	523
L09386	11	-46,4212925	-23,7163444	1693	0,6497	4,9774	2810	1893	917
L09387	6	-46,4459091	-23,7498986	1354	0,4431	2,7149	1935	1527	408
L09388	7	-46,4149600	-23,7212222	1955	0,3581	3,1674	3204	2191	1013
L09390	6	-46,4400229	-23,7505292	1997	0,3005	2,7149	2753	2209	544
L09394	3	-46,4169012	-23,7135811	996	0,3012	1,3575	1770	1107	663
L09397	2	-46,4225190	-23,7320150	2034	0,0983	0,905	2987	2278	709
L09404	4	-46,4168270	-23,7138590	1425	0,2807	1,81	2604	1584	1020
