cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09382	2	-46,3978504	-23,7316049	824	0,2427	0,8097	1109	929	180
L09384	37	-46,3599715	-23,7376488	933	3,9657	14,9798	1246	1021	225
L09385	22	-46,3983739	-23,7476369	3741	0,5881	8,9069	5469	4110	1359
L09389	9	-46,4021633	-23,7515751	2888	0,3116	3,6437	4245	3145	1100
L09391	61	-46,3917014	-23,7291310	2194	2,7803	24,6964	3174	2430	744
L09392	20	-46,4120451	-23,7609867	2870	0,6969	8,0972	4014	3186	828
L09393	12	-46,3747547	-23,7411306	1629	0,7366	4,8583	2413	1787	626
L09395	3	-46,3829100	-23,7446887	2204	0,1361	1,2146	2992	2406	586
L09396	27	-46,3643978	-23,7474190	1079	2,5023	10,9312	1495	1175	320
L09398	5	-46,3792847	-23,7446815	711	0,7032	2,0243	949	799	150
L09399	43	-46,3917014	-23,7291310	1359	3,1641	17,4089	1950	1527	423
L09400	2	-46,4014529	-23,7459064	357	0,5602	0,8097	554	416	138
L09403	4	-46,3961847	-23,7471437	1125	0,3556	1,6194	1691	1241	450
