cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09382	1	-46,3978504	-23,7316049	824	0,1214	1,4286	1109	929	180
L09383	2	-46,3942279	-23,7530891	789	0,2535	2,8571	1076	903	173
L09385	11	-46,3983739	-23,7476369	3741	0,294	15,7143	5469	4110	1359
L09389	14	-46,4021633	-23,7515751	2888	0,4848	20,0	4245	3145	1100
L09392	24	-46,4120451	-23,7609867	2870	0,8362	34,2857	4014	3186	828
L09393	1	-46,3747547	-23,7411306	1629	0,0614	1,4286	2413	1787	626
L09396	3	-46,3643978	-23,7474190	1079	0,278	4,2857	1495	1175	320
L09399	2	-46,3917014	-23,7291310	1359	0,1472	2,8571	1950	1527	423
L09400	1	-46,4014529	-23,7459064	357	0,2801	1,4286	554	416	138
L09401	2	-46,3972670	-23,7550590	664	0,3012	2,8571	934	758	176
L09402	5	-46,4017070	-23,7530634	1034	0,4836	7,1429	1503	1175	328
L09403	1	-46,3961847	-23,7471437	1125	0,0889	1,4286	1691	1241	450
L09405	3	-46,3992124	-23,7258731	430	0,6977	4,2857	570	473	97
