cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09384	8	-46,3599715	-23,7376488	933	0,8574	8,2474	1246	1021	225
L09385	4	-46,3983739	-23,7476369	3741	0,1069	4,1237	5469	4110	1359
L09389	8	-46,4021633	-23,7515751	2888	0,277	8,2474	4245	3145	1100
L09391	1	-46,3917014	-23,7291310	2194	0,0456	1,0309	3174	2430	744
L09392	4	-46,4120451	-23,7609867	2870	0,1394	4,1237	4014	3186	828
L09393	6	-46,3747547	-23,7411306	1629	0,3683	6,1856	2413	1787	626
L09395	5	-46,3829100	-23,7446887	2204	0,2269	5,1546	2992	2406	586
L09396	51	-46,3643978	-23,7474190	1079	4,7266	52,5773	1495	1175	320
L09398	4	-46,3792847	-23,7446815	711	0,5626	4,1237	949	799	150
L09401	2	-46,3972670	-23,7550590	664	0,3012	2,0619	934	758	176
L09402	3	-46,4017070	-23,7530634	1034	0,2901	3,0928	1503	1175	328
L09403	1	-46,3961847	-23,7471437	1125	0,0889	1,0309	1691	1241	450
