cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09382	5	-46,3978504	-23,7316049	824	0,6068	1,9084	1109	929	180
L09383	12	-46,3942279	-23,7530891	789	1,5209	4,5802	1076	903	173
L09384	9	-46,3599715	-23,7376488	933	0,9646	3,4351	1246	1021	225
L09385	54	-46,3983739	-23,7476369	3741	1,4435	20,6107	5469	4110	1359
L09389	34	-46,4021633	-23,7515751	2888	1,1773	12,9771	4245	3145	1100
L09391	23	-46,3917014	-23,7291310	2194	1,0483	8,7786	3174	2430	744
L09392	21	-46,4120451	-23,7609867	2870	0,7317	8,0153	4014	3186	828
L09393	24	-46,3747547	-23,7411306	1629	1,4733	9,1603	2413	1787	626
L09395	23	-46,3829100	-23,7446887	2204	1,0436	8,7786	2992	2406	586
L09396	9	-46,3643978	-23,7474190	1079	0,8341	3,4351	1495	1175	320
L09398	2	-46,3792847	-23,7446815	711	0,2813	0,7634	949	799	150
L09399	15	-46,3917014	-23,7291310	1359	1,1038	5,7252	1950	1527	423
L09400	4	-46,4014529	-23,7459064	357	1,1204	1,5267	554	416	138
L09401	5	-46,3972670	-23,7550590	664	0,753	1,9084	934	758	176
L09402	6	-46,4017070	-23,7530634	1034	0,5803	2,2901	1503	1175	328
L09403	14	-46,3961847	-23,7471437	1125	1,2444	5,3435	1691	1241	450
L09405	2	-46,3992124	-23,7258731	430	0,4651	0,7634	570	473	97
