cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L02759	6	-46,2266205	-23,3098224	850	0,7059	3,3708	1251	939	312
L02761	7	-46,2141716	-23,3285823	1339	0,5228	3,9326	1979	1548	431
L02762	10	-46,2190937	-23,3137689	2399	0,4168	5,618	3683	2649	1034
L02763	12	-46,2314288	-23,3235797	1647	0,7286	6,7416	2602	1830	772
L02765	16	-46,2298002	-23,3203479	2483	0,6444	8,9888	3752	2708	1044
L02766	30	-46,2311470	-23,3108209	1367	2,1946	16,8539	1904	1519	385
L02767	23	-46,2304522	-23,3251491	2986	0,7703	12,9213	4467	3311	1156
L02768	3	-46,2299752	-23,3384336	1690	0,1775	1,6854	2302	1892	410
L02769	4	-46,2289310	-23,3190810	1107	0,3613	2,2472	1633	1257	376
L02770	3	-46,2169677	-23,3028955	1749	0,1715	1,6854	2646	2020	626
L02771	18	-46,2334449	-23,3163963	1370	1,3139	10,1124	1946	1516	430
L02772	6	-46,2289178	-23,3105002	2052	0,2924	3,3708	2897	2275	622
L02773	13	-46,2337303	-23,3260627	2003	0,649	7,3034	3140	2285	855
L02775	3	-46,2060042	-23,3144801	885	0,339	1,6854	1330	969	361
L02776	2	-46,2190937	-23,3137689	1348	0,1484	1,1236	1950	1498	452
L02778	17	-46,2195564	-23,3054865	1352	1,2574	9,5506	1981	1521	460
L02779	5	-46,2300165	-23,3206619	1015	0,4926	2,809	1670	1126	544
