cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L02759	20	-46,2266205	-23,3098224	850	2,3529	6,3898	1251	939	312
L02761	4	-46,2141716	-23,3285823	1339	0,2987	1,278	1979	1548	431
L02762	27	-46,2190937	-23,3137689	2399	1,1255	8,6262	3683	2649	1034
L02763	13	-46,2314288	-23,3235797	1647	0,7893	4,1534	2602	1830	772
L02764	12	-46,2154641	-23,3066696	1006	1,1928	3,8339	1480	1179	301
L02765	34	-46,2298002	-23,3203479	2483	1,3693	10,8626	3752	2708	1044
L02766	12	-46,2311470	-23,3108209	1367	0,8778	3,8339	1904	1519	385
L02767	33	-46,2304522	-23,3251491	2986	1,1052	10,5431	4467	3311	1156
L02768	12	-46,2299752	-23,3384336	1690	0,7101	3,8339	2302	1892	410
L02769	11	-46,2289310	-23,3190810	1107	0,9937	3,5144	1633	1257	376
L02770	9	-46,2169677	-23,3028955	1749	0,5146	2,8754	2646	2020	626
L02771	9	-46,2334449	-23,3163963	1370	0,6569	2,8754	1946	1516	430
L02772	26	-46,2289178	-23,3105002	2052	1,2671	8,3067	2897	2275	622
L02773	29	-46,2337303	-23,3260627	2003	1,4478	9,2652	3140	2285	855
L02775	12	-46,2060042	-23,3144801	885	1,3559	3,8339	1330	969	361
L02776	18	-46,2190937	-23,3137689	1348	1,3353	5,7508	1950	1498	452
L02778	13	-46,2195564	-23,3054865	1352	0,9615	4,1534	1981	1521	460
L02779	19	-46,2300165	-23,3206619	1015	1,8719	6,0703	1670	1126	544
