cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09509	1	-46,8787049	-23,4084473	1069	0,0935	0,4785	1461	1189	272
L09512	1	-46,9951450	-23,4866146	833	0,12	0,4785	1213	924	289
L09513	1	-46,8909525	-23,4831776	2522	0,0397	0,4785	3489	2743	746
L09514	3	-46,9419254	-23,4531973	443	0,6772	1,4354	598	490	108
L09516	2	-46,9015637	-23,4689829	873	0,2291	0,9569	1213	943	270
L09517	157	-46,9747768	-23,4870915	1236	12,7023	75,1196	1904	1420	484
L09518	1	-46,9581552	-23,4173194	1316	0,076	0,4785	1692	1405	287
L09522	12	-46,8941866	-23,4760655	5158	0,2326	5,7416	6943	5588	1355
L09523	1	-46,8949833	-23,4059415	4462	0,0224	0,4785	5803	4774	1029
L09524	1	-46,8908320	-23,4088358	2699	0,0371	0,4785	3567	2949	618
L09525	3	-46,9238528	-23,4416483	1954	0,1535	1,4354	2661	2093	568
L09527	1	-46,8892924	-23,4057990	2438	0,041	0,4785	3374	2585	789
L09529	4	-46,9268093	-23,4440000	3289	0,1216	1,9139	4354	3498	856
L09531	2	-46,9135403	-23,4456821	2823	0,0708	0,9569	4031	2988	1043
L09532	3	-46,8653047	-23,4660182	2477	0,1211	1,4354	3994	2918	1076
L09533	1	-46,8230108	-23,4274247	1741	0,0574	0,4785	2397	1936	461
L09569	15	-46,8692655	-23,4677193	6481	0,2314	7,177	11975	7690	4285
