cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09509	1	-46,8787049	-23,4084473	1069	0,0935	1,7544	1461	1189	272
L09510	1	-46,8765849	-23,4806466	1353	0,0739	1,7544	2409	1545	864
L09511	2	-46,8818690	-23,4104207	3552	0,0563	3,5088	4750	3850	900
L09515	2	-46,8589229	-23,4289764	2988	0,0669	3,5088	3966	3268	698
L09519	1	-46,8276545	-23,4319422	3246	0,0308	1,7544	4373	3521	852
L09520	3	-46,8596456	-23,4231816	1832	0,1638	5,2632	2368	1960	408
L09522	2	-46,8941866	-23,4760655	5158	0,0388	3,5088	6943	5588	1355
L09523	5	-46,8949833	-23,4059415	4462	0,1121	8,7719	5803	4774	1029
L09524	4	-46,8908320	-23,4088358	2699	0,1482	7,0175	3567	2949	618
L09525	1	-46,9238528	-23,4416483	1954	0,0512	1,7544	2661	2093	568
L09526	5	-46,8525275	-23,4223560	3550	0,1408	8,7719	4773	3892	881
L09530	17	-46,8750886	-23,4187938	1587	1,0712	29,8246	2118	1757	361
L09531	3	-46,9135403	-23,4456821	2823	0,1063	5,2632	4031	2988	1043
L09565	4	-46,8769870	-23,4072540	2359	0,1696	7,0175	3177	2591	586
L09566	1	-46,9177368	-23,4474160	1047	0,0955	1,7544	1624	1129	495
L09569	5	-46,8692655	-23,4677193	6481	0,0771	8,7719	11975	7690	4285
