cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09509	11	-46,8787049	-23,4084473	1069	1,029	1,7081	1461	1189	272
L09510	2	-46,8765849	-23,4806466	1353	0,1478	0,3106	2409	1545	864
L09511	51	-46,8818690	-23,4104207	3552	1,4358	7,9193	4750	3850	900
L09512	10	-46,9951450	-23,4866146	833	1,2005	1,5528	1213	924	289
L09513	2	-46,8909525	-23,4831776	2522	0,0793	0,3106	3489	2743	746
L09514	2	-46,9419254	-23,4531973	443	0,4515	0,3106	598	490	108
L09515	15	-46,8589229	-23,4289764	2988	0,502	2,3292	3966	3268	698
L09516	3	-46,9015637	-23,4689829	873	0,3436	0,4658	1213	943	270
L09517	5	-46,9747768	-23,4870915	1236	0,4045	0,7764	1904	1420	484
L09518	2	-46,9581552	-23,4173194	1316	0,152	0,3106	1692	1405	287
L09519	143	-46,8276545	-23,4319422	3246	4,4054	22,205	4373	3521	852
L09520	14	-46,8596456	-23,4231816	1832	0,7642	2,1739	2368	1960	408
L09521	15	-46,9007553	-23,4053607	1534	0,9778	2,3292	2024	1668	356
L09522	17	-46,8941866	-23,4760655	5158	0,3296	2,6398	6943	5588	1355
L09523	14	-46,8949833	-23,4059415	4462	0,3138	2,1739	5803	4774	1029
L09524	43	-46,8908320	-23,4088358	2699	1,5932	6,677	3567	2949	618
L09525	29	-46,9238528	-23,4416483	1954	1,4841	4,5031	2661	2093	568
L09526	22	-46,8525275	-23,4223560	3550	0,6197	3,4161	4773	3892	881
L09527	40	-46,8892924	-23,4057990	2438	1,6407	6,2112	3374	2585	789
L09529	30	-46,9268093	-23,4440000	3289	0,9121	4,6584	4354	3498	856
L09530	1	-46,8750886	-23,4187938	1587	0,063	0,1553	2118	1757	361
L09531	42	-46,9135403	-23,4456821	2823	1,4878	6,5217	4031	2988	1043
L09532	13	-46,8653047	-23,4660182	2477	0,5248	2,0186	3994	2918	1076
L09533	37	-46,8230108	-23,4274247	1741	2,1252	5,7453	2397	1936	461
L09565	29	-46,8769870	-23,4072540	2359	1,2293	4,5031	3177	2591	586
L09566	12	-46,9177368	-23,4474160	1047	1,1461	1,8634	1624	1129	495
L09569	40	-46,8692655	-23,4677193	6481	0,6172	6,2112	11975	7690	4285
