cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L09509	20	-46,8787049	-23,4084473	1069	1,8709	1,8182	1461	1189	272
L09510	1	-46,8765849	-23,4806466	1353	0,0739	0,0909	2409	1545	864
L09511	84	-46,8818690	-23,4104207	3552	2,3649	7,6364	4750	3850	900
L09512	4	-46,9951450	-23,4866146	833	0,4802	0,3636	1213	924	289
L09513	3	-46,8909525	-23,4831776	2522	0,119	0,2727	3489	2743	746
L09514	5	-46,9419254	-23,4531973	443	1,1287	0,4545	598	490	108
L09515	30	-46,8589229	-23,4289764	2988	1,004	2,7273	3966	3268	698
L09516	1	-46,9015637	-23,4689829	873	0,1145	0,0909	1213	943	270
L09517	6	-46,9747768	-23,4870915	1236	0,4854	0,5455	1904	1420	484
L09518	6	-46,9581552	-23,4173194	1316	0,4559	0,5455	1692	1405	287
L09519	8	-46,8276545	-23,4319422	3246	0,2465	0,7273	4373	3521	852
L09520	5	-46,8596456	-23,4231816	1832	0,2729	0,4545	2368	1960	408
L09521	116	-46,9007553	-23,4053607	1534	7,5619	10,5455	2024	1668	356
L09522	19	-46,8941866	-23,4760655	5158	0,3684	1,7273	6943	5588	1355
L09523	401	-46,8949833	-23,4059415	4462	8,987	36,4545	5803	4774	1029
L09524	67	-46,8908320	-23,4088358	2699	2,4824	6,0909	3567	2949	618
L09525	28	-46,9238528	-23,4416483	1954	1,433	2,5455	2661	2093	568
L09526	13	-46,8525275	-23,4223560	3550	0,3662	1,1818	4773	3892	881
L09527	93	-46,8892924	-23,4057990	2438	3,8146	8,4545	3374	2585	789
L09529	23	-46,9268093	-23,4440000	3289	0,6993	2,0909	4354	3498	856
L09530	33	-46,8750886	-23,4187938	1587	2,0794	3,0	2118	1757	361
L09531	23	-46,9135403	-23,4456821	2823	0,8147	2,0909	4031	2988	1043
L09532	7	-46,8653047	-23,4660182	2477	0,2826	0,6364	3994	2918	1076
L09533	7	-46,8230108	-23,4274247	1741	0,4021	0,6364	2397	1936	461
L09565	71	-46,8769870	-23,4072540	2359	3,0097	6,4545	3177	2591	586
L09566	8	-46,9177368	-23,4474160	1047	0,7641	0,7273	1624	1129	495
L09569	18	-46,8692655	-23,4677193	6481	0,2777	1,6364	11975	7690	4285
