cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	2	-46,5472926	-23,6613284	2642	0,0757	0,5848	4663	3132	1531
L03688	1	-46,5308269	-23,6555940	2368	0,0422	0,2924	4436	2691	1745
L03690	1	-46,5349000	-23,6759000	2800	0,0357	0,2924	4922	3416	1506
L03691	3	-46,5232962	-23,6903498	4751	0,0631	0,8772	8306	5804	2502
L03694	1	-46,5264000	-23,6911000	2284	0,0438	0,2924	4037	2750	1287
L03710	1	-46,5193267	-23,6763585	1242	0,0805	0,2924	2023	1502	521
L06087	1	-46,4945307	-23,6267546	1193	0,0838	0,2924	1933	1521	412
L06088	1	-46,4942573	-23,6473472	1798	0,0556	0,2924	2822	2226	596
L06089	13	-46,4987173	-23,6329472	1945	0,6684	3,8012	3145	2384	761
L06090	3	-46,4918726	-23,6400932	1163	0,258	0,8772	1836	1430	406
L06092	4	-46,5111599	-23,6266900	1389	0,288	1,1696	2360	1740	620
L06093	10	-46,4972330	-23,6346420	2642	0,3785	2,924	4659	3233	1426
L06094	2	-46,4922158	-23,6441023	3465	0,0577	0,5848	5423	4272	1151
L06095	2	-46,5015367	-23,6309869	2533	0,079	0,5848	4558	3042	1516
L06096	2	-46,5184840	-23,6394570	2221	0,09	0,5848	4161	2678	1483
L06099	3	-46,5013000	-23,6437000	2932	0,1023	0,8772	5134	3515	1619
L06100	1	-46,5073552	-23,6341587	2046	0,0489	0,2924	3860	2480	1380
L06101	3	-46,5080459	-23,6460779	2412	0,1244	0,8772	4120	2805	1315
L06102	5	-46,4923889	-23,6391620	2968	0,1685	1,462	5079	3554	1525
L06104	2	-46,5014410	-23,6424999	2350	0,0851	0,5848	3801	2799	1002
L06105	2	-46,4917749	-23,6345261	2306	0,0867	0,5848	4035	2812	1223
L06106	1	-46,4968579	-23,6495890	902	0,1109	0,2924	1373	1093	280
L06107	2	-46,5037973	-23,6515281	2089	0,0957	0,5848	3096	2430	666
L06108	5	-46,5064691	-23,6341241	2727	0,1834	1,462	4421	3304	1117
L06109	1	-46,4972026	-23,6435472	2098	0,0477	0,2924	3350	2576	774
L06111	1	-46,5165549	-23,6443203	2435	0,0411	0,2924	4294	2858	1436
L06112	2	-46,4919707	-23,6340482	1459	0,1371	0,5848	2370	1828	542
L06113	2	-46,5199072	-23,6443238	2466	0,0811	0,5848	3916	2946	970
L06115	5	-46,5227420	-23,6388599	2450	0,2041	1,462	4038	2916	1122
L06117	3	-46,5148760	-23,6247890	1401	0,2141	0,8772	2380	1735	645
L06118	6	-46,5366400	-23,6365360	1259	0,4766	1,7544	2598	1505	1093
L06119	22	-46,5238040	-23,6164609	1658	1,3269	6,4327	2860	2020	840
L06120	6	-46,5287000	-23,6418000	2220	0,2703	1,7544	3930	2663	1267
L06121	9	-46,5368700	-23,6241300	4773	0,1886	2,6316	8252	5753	2499
L06122	25	-46,5294649	-23,6215610	3291	0,7596	7,3099	5646	4021	1625
L06123	24	-46,5288114	-23,6203323	4008	0,5988	7,0175	7114	4935	2179
