cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	2	-46,5472926	-23,6613284	2642	0,0757	0,7812	4663	3132	1531
L03686	1	-46,5240382	-23,6623668	1796	0,0557	0,3906	2962	2115	847
L03687	4	-46,5245513	-23,6976196	1290	0,3101	1,5625	2113	1632	481
L03689	3	-46,5269000	-23,6727000	4721	0,0635	1,1719	8875	5641	3234
L03690	3	-46,5349000	-23,6759000	2800	0,1071	1,1719	4922	3416	1506
L03691	6	-46,5232962	-23,6903498	4751	0,1263	2,3438	8306	5804	2502
L03692	1	-46,5166000	-23,6822000	3427	0,0292	0,3906	6183	4059	2124
L03693	1	-46,5251174	-23,6862552	2200	0,0455	0,3906	3900	2615	1285
L03696	4	-46,5383930	-23,6678199	2770	0,1444	1,5625	4696	3280	1416
L03697	7	-46,5192583	-23,6775461	2074	0,3375	2,7344	3538	2436	1102
L03698	3	-46,5188129	-23,6615529	1958	0,1532	1,1719	3804	2310	1494
L03699	1	-46,5165000	-23,6898000	2367	0,0422	0,3906	4273	2849	1424
L03702	1	-46,5364163	-23,6615619	4065	0,0246	0,3906	6875	4735	2140
L03704	1	-46,5170856	-23,6916018	722	0,1385	0,3906	1178	873	305
L03705	3	-46,5141937	-23,6853234	198	1,5152	1,1719	326	249	77
L03708	1	-46,5241598	-23,6974643	1097	0,0912	0,3906	1758	1396	362
L03711	3	-46,5308067	-23,6974851	1132	0,265	1,1719	1777	1452	325
L03712	3	-46,5305110	-23,6599040	1797	0,1669	1,1719	3401	2072	1329
L06087	1	-46,4945307	-23,6267546	1193	0,0838	0,3906	1933	1521	412
L06088	1	-46,4942573	-23,6473472	1798	0,0556	0,3906	2822	2226	596
L06089	3	-46,4987173	-23,6329472	1945	0,1542	1,1719	3145	2384	761
L06090	1	-46,4918726	-23,6400932	1163	0,086	0,3906	1836	1430	406
L06092	4	-46,5111599	-23,6266900	1389	0,288	1,5625	2360	1740	620
L06093	3	-46,4972330	-23,6346420	2642	0,1136	1,1719	4659	3233	1426
L06094	1	-46,4922158	-23,6441023	3465	0,0289	0,3906	5423	4272	1151
L06095	1	-46,5015367	-23,6309869	2533	0,0395	0,3906	4558	3042	1516
L06099	3	-46,5013000	-23,6437000	2932	0,1023	1,1719	5134	3515	1619
L06100	1	-46,5073552	-23,6341587	2046	0,0489	0,3906	3860	2480	1380
