cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03684	1	-46,5472926	-23,6613284	2642	0,0379	5,5556	4663	3132	1531
L03688	1	-46,5308269	-23,6555940	2368	0,0422	5,5556	4436	2691	1745
L03696	2	-46,5383930	-23,6678199	2770	0,0722	11,1111	4696	3280	1416
L06090	3	-46,4918726	-23,6400932	1163	0,258	16,6667	1836	1430	406
L06093	1	-46,4972330	-23,6346420	2642	0,0379	5,5556	4659	3233	1426
L06102	3	-46,4923889	-23,6391620	2968	0,1011	16,6667	5079	3554	1525
L07311	1	-46,5446951	-23,6406770	4302	0,0232	5,5556	7489	5213	2276
L07321	1	-46,5462836	-23,6406202	3346	0,0299	5,5556	6048	4040	2008
L07322	1	-46,5530360	-23,6482590	1960	0,051	5,5556	3490	2398	1092
L07323	1	-46,5563889	-23,6524699	2149	0,0465	5,5556	3610	2622	988
L07325	1	-46,5497200	-23,6764379	1703	0,0587	5,5556	3020	2077	943
L07348	1	-46,5095749	-23,6900581	1109	0,0902	5,5556	1821	1358	463
L09416	1	-46,5010249	-23,7061886	2916	0,0343	5,5556	5036	3500	1536
