cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L06089	1	-46,4987173	-23,6329472	1945	0,0514	2,0833	3145	2384	761
L06100	1	-46,5073552	-23,6341587	2046	0,0489	2,0833	3860	2480	1380
L07318	18	-46,5615766	-23,6519061	3063	0,5877	37,5	5693	3801	1892
L07322	1	-46,5530360	-23,6482590	1960	0,051	2,0833	3490	2398	1092
L07326	4	-46,5576078	-23,6563468	1738	0,2301	8,3333	2744	2019	725
L07327	16	-46,5575920	-23,6489274	1982	0,8073	33,3333	3346	2383	963
L07329	2	-46,5540119	-23,6613705	4886	0,0409	4,1667	8401	5789	2612
L09407	2	-46,5002559	-23,7125334	1201	0,1665	4,1667	1959	1446	513
L09413	1	-46,4941589	-23,6933187	4226	0,0237	2,0833	6822	5002	1820
L09430	1	-46,4955600	-23,6916613	1875	0,0533	2,0833	2904	2199	705
L09435	1	-46,2987760	-23,7789300	446	0,2242	2,0833	829	544	285
