cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04129	11	-46,3091568	-23,5571754	1957	0,5621	8,5938	3094	2264	830
L04132	5	-46,3117067	-23,5500152	4216	0,1186	3,9062	6614	4774	1840
L04133	3	-46,3152694	-23,6420695	3164	0,0948	2,3438	4621	3566	1055
L04138	10	-46,2968453	-23,5156554	3019	0,3312	7,8125	4571	3465	1106
L04140	10	-46,3106329	-23,5850537	1653	0,605	7,8125	2549	1831	718
L04141	1	-46,3112319	-23,5448570	1408	0,071	0,7812	2350	1567	783
L04142	22	-46,3034010	-23,5859659	3346	0,6575	17,1875	4735	3775	960
L04144	2	-46,3108750	-23,5448837	1507	0,1327	1,5625	2581	1720	861
L04145	5	-46,2915923	-23,5601470	3474	0,1439	3,9062	4950	3924	1026
L04146	1	-46,2879270	-23,5096825	2617	0,0382	0,7812	4018	2961	1057
L04147	1	-46,2939310	-23,5382590	1643	0,0609	0,7812	2513	1864	649
L04148	6	-46,2963348	-23,5017492	3794	0,1581	4,6875	6119	4544	1575
L04150	6	-46,2955967	-23,6222771	1873	0,3203	4,6875	2867	2106	761
L04151	1	-46,3005562	-23,5474194	2832	0,0353	0,7812	4265	3237	1028
L04154	7	-46,3077450	-23,6018350	1040	0,6731	5,4688	1377	1206	171
L04158	1	-46,2964165	-23,5491266	2014	0,0497	0,7812	2897	2329	568
L04159	1	-46,3028730	-23,5933680	804	0,1244	0,7812	1101	922	179
L04163	2	-46,2944994	-23,5160188	1001	0,1998	1,5625	1463	1138	325
L04164	1	-46,3047552	-23,6292353	158	0,6329	0,7812	201	171	30
L04165	4	-46,3204744	-23,6437523	772	0,5181	3,125	1079	880	199
L04166	5	-46,2875639	-23,5607649	749	0,6676	3,9062	1011	840	171
L04175	3	-46,3136639	-23,5567900	581	0,5164	2,3438	787	673	114
L04176	1	-46,3114638	-23,5443102	2154	0,0464	0,7812	3282	2422	860
L10545	1	-46,3054836	-23,5250879	2310	0,0433	0,7812	3544	2634	910
L10546	2	-46,3175100	-23,5411730	3079	0,065	1,5625	4770	3564	1206
L10547	4	-46,3259981	-23,6499285	2172	0,1842	3,125	3255	2425	830
L10548	1	-46,3187486	-23,4956455	4035	0,0248	0,7812	5886	4584	1302
L10549	1	-46,3107670	-23,5095680	1338	0,0747	0,7812	1938	1503	435
L10551	1	-46,3178740	-23,5578133	3312	0,0302	0,7812	5088	3760	1328
L10559	4	-46,3153510	-23,5344139	3197	0,1251	3,125	5150	3592	1558
L10564	2	-46,3355307	-23,5642295	2934	0,0682	1,5625	4364	3287	1077
L10566	3	-46,3129335	-23,5453758	3767	0,0796	2,3438	5983	4222	1761
