cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04130	3	-46,3161640	-23,6243193	1319	0,2274	2,0548	1931	1507	424
L04132	1	-46,3117067	-23,5500152	4216	0,0237	0,6849	6614	4774	1840
L04133	1	-46,3152694	-23,6420695	3164	0,0316	0,6849	4621	3566	1055
L04134	1	-46,3013357	-23,5401480	3587	0,0279	0,6849	5567	4013	1554
L04136	1	-46,2850343	-23,4919334	2434	0,0411	0,6849	3841	2894	947
L04138	1	-46,2968453	-23,5156554	3019	0,0331	0,6849	4571	3465	1106
L04143	1	-46,2933830	-23,5539549	2718	0,0368	0,6849	4079	3126	953
L04144	4	-46,3108750	-23,5448837	1507	0,2654	2,7397	2581	1720	861
L04145	1	-46,2915923	-23,5601470	3474	0,0288	0,6849	4950	3924	1026
L04146	3	-46,2879270	-23,5096825	2617	0,1146	2,0548	4018	2961	1057
L04149	1	-46,2914290	-23,5123440	3556	0,0281	0,6849	5253	4084	1169
L04151	1	-46,3005562	-23,5474194	2832	0,0353	0,6849	4265	3237	1028
L04158	1	-46,2964165	-23,5491266	2014	0,0497	0,6849	2897	2329	568
L04171	3	-46,2924510	-23,5058280	1278	0,2347	2,0548	1894	1485	409
L04176	1	-46,3114638	-23,5443102	2154	0,0464	0,6849	3282	2422	860
L10544	1	-46,3141865	-23,5216173	93	1,0753	0,6849	157	118	39
L10546	1	-46,3175100	-23,5411730	3079	0,0325	0,6849	4770	3564	1206
L10548	21	-46,3187486	-23,4956455	4035	0,5204	14,3836	5886	4584	1302
L10549	3	-46,3107670	-23,5095680	1338	0,2242	2,0548	1938	1503	435
L10551	3	-46,3178740	-23,5578133	3312	0,0906	2,0548	5088	3760	1328
L10553	1	-46,3125577	-23,5306375	3014	0,0332	0,6849	4689	3437	1252
L10554	1	-46,3049699	-23,5032817	2981	0,0335	0,6849	4610	3565	1045
L10555	1	-46,3005843	-23,4991611	724	0,1381	0,6849	1179	909	270
L10557	1	-46,3046586	-23,5028176	2165	0,0462	0,6849	3291	2604	687
L10559	2	-46,3153510	-23,5344139	3197	0,0626	1,3699	5150	3592	1558
L10562	1	-46,3049750	-23,5227690	1353	0,0739	0,6849	2042	1528	514
L10563	4	-46,3142398	-23,4989458	1067	0,3749	2,7397	1628	1272	356
L10565	9	-46,3144790	-23,4989110	2810	0,3203	6,1644	4113	3198	915
L10566	1	-46,3129335	-23,5453758	3767	0,0265	0,6849	5983	4222	1761
L10567	50	-46,3199281	-23,5008806	2917	1,7141	34,2466	4295	3366	929
L10568	1	-46,3052385	-23,5227589	928	0,1078	0,6849	1407	1098	309
L10570	4	-46,3125749	-23,4982300	1435	0,2787	2,7397	2071	1702	369
L10576	1	-46,3053889	-23,5076949	865	0,1156	0,6849	1340	1034	306
L10577	16	-46,3206365	-23,4998412	768	2,0833	10,9589	1160	889	271
