cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L04124	5	-46,2977269	-23,5421139	538	0,9294	2,6738	788	624	164
L04127	2	-46,3326411	-23,6602549	1138	0,1757	1,0695	1606	1327	279
L04129	3	-46,3091568	-23,5571754	1957	0,1533	1,6043	3094	2264	830
L04130	2	-46,3161640	-23,6243193	1319	0,1516	1,0695	1931	1507	424
L04131	1	-46,2941819	-23,5408900	2692	0,0371	0,5348	4141	3094	1047
L04132	11	-46,3117067	-23,5500152	4216	0,2609	5,8824	6614	4774	1840
L04133	1	-46,3152694	-23,6420695	3164	0,0316	0,5348	4621	3566	1055
L04134	7	-46,3013357	-23,5401480	3587	0,1951	3,7433	5567	4013	1554
L04135	1	-46,3032478	-23,6852651	719	0,1391	0,5348	1164	827	337
L04136	3	-46,2850343	-23,4919334	2434	0,1233	1,6043	3841	2894	947
L04138	1	-46,2968453	-23,5156554	3019	0,0331	0,5348	4571	3465	1106
L04140	2	-46,3106329	-23,5850537	1653	0,121	1,0695	2549	1831	718
L04142	1	-46,3034010	-23,5859659	3346	0,0299	0,5348	4735	3775	960
L04143	2	-46,2933830	-23,5539549	2718	0,0736	1,0695	4079	3126	953
L04144	3	-46,3108750	-23,5448837	1507	0,1991	1,6043	2581	1720	861
L04145	4	-46,2915923	-23,5601470	3474	0,1151	2,139	4950	3924	1026
L04146	1	-46,2879270	-23,5096825	2617	0,0382	0,5348	4018	2961	1057
L04148	2	-46,2963348	-23,5017492	3794	0,0527	1,0695	6119	4544	1575
L04149	2	-46,2914290	-23,5123440	3556	0,0562	1,0695	5253	4084	1169
L04151	8	-46,3005562	-23,5474194	2832	0,2825	4,2781	4265	3237	1028
L04153	1	-46,2877817	-23,5407707	1331	0,0751	0,5348	1890	1517	373
L04158	8	-46,2964165	-23,5491266	2014	0,3972	4,2781	2897	2329	568
L04160	3	-46,2787505	-23,4978456	2106	0,1425	1,6043	3068	2433	635
L04162	2	-46,3031317	-23,5440960	659	0,3035	1,0695	989	763	226
L04168	2	-46,3031981	-23,5539692	889	0,225	1,0695	1298	1033	265
L04173	1	-46,2959592	-23,5518309	1314	0,0761	0,5348	1972	1546	426
L04175	1	-46,3136639	-23,5567900	581	0,1721	0,5348	787	673	114
L04176	6	-46,3114638	-23,5443102	2154	0,2786	3,2086	3282	2422	860
L10543	2	-46,3245881	-23,5290611	2068	0,0967	1,0695	3117	2381	736
L10546	19	-46,3175100	-23,5411730	3079	0,6171	10,1604	4770	3564	1206
L10547	1	-46,3259981	-23,6499285	2172	0,046	0,5348	3255	2425	830
L10548	1	-46,3187486	-23,4956455	4035	0,0248	0,5348	5886	4584	1302
L10549	3	-46,3107670	-23,5095680	1338	0,2242	1,6043	1938	1503	435
L10551	7	-46,3178740	-23,5578133	3312	0,2114	3,7433	5088	3760	1328
L10552	4	-46,3373224	-23,5696480	3525	0,1135	2,139	5269	4050	1219
L10553	6	-46,3125577	-23,5306375	3014	0,1991	3,2086	4689	3437	1252
L10554	3	-46,3049699	-23,5032817	2981	0,1006	1,6043	4610	3565	1045
L10556	4	-46,3287546	-23,5427534	1819	0,2199	2,139	2547	2053	494
L10557	3	-46,3046586	-23,5028176	2165	0,1386	1,6043	3291	2604	687
L10558	2	-46,3311689	-23,5703609	461	0,4338	1,0695	637	532	105
L10559	7	-46,3153510	-23,5344139	3197	0,219	3,7433	5150	3592	1558
L10560	5	-46,3268062	-23,5531106	2109	0,2371	2,6738	3186	2462	724
L10561	2	-46,3235350	-23,5272529	1353	0,1478	1,0695	2065	1547	518
L10562	2	-46,3049750	-23,5227690	1353	0,1478	1,0695	2042	1528	514
L10564	4	-46,3355307	-23,5642295	2934	0,1363	2,139	4364	3287	1077
L10565	2	-46,3144790	-23,4989110	2810	0,0712	1,0695	4113	3198	915
L10566	10	-46,3129335	-23,5453758	3767	0,2655	5,3476	5983	4222	1761
L10567	2	-46,3199281	-23,5008806	2917	0,0686	1,0695	4295	3366	929
L10568	1	-46,3052385	-23,5227589	928	0,1078	0,5348	1407	1098	309
L10569	1	-46,3380520	-23,5690285	1411	0,0709	0,5348	2152	1661	491
L10573	4	-46,3215471	-23,5363534	704	0,5682	2,139	995	796	199
L10574	5	-46,3144730	-23,5406123	876	0,5708	2,6738	1324	993	331
L10575	1	-46,3245881	-23,5290611	678	0,1475	0,5348	1033	778	255
