cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03955	2	-46,5479655	-23,7159646	3704	0,054	1,2422	6126	4304	1822
L03959	2	-46,5273920	-23,7411880	2811	0,0711	1,2422	4034	3173	861
L03960	1	-46,5340573	-23,7247585	3267	0,0306	0,6211	4736	3669	1067
L03971	2	-46,5376257	-23,7371831	1611	0,1241	1,2422	2398	1785	613
L03977	1	-46,5361406	-23,7345754	1817	0,055	0,6211	2574	2054	520
L03979	1	-46,5264294	-23,7170860	4315	0,0232	0,6211	6708	4915	1793
L03992	1	-46,5569610	-23,7083270	1295	0,0772	0,6211	1888	1495	393
L06780	2	-46,5852412	-23,6994162	2168	0,0923	1,2422	3391	2466	925
L06784	1	-46,5801575	-23,6989963	2320	0,0431	0,6211	3782	2738	1044
L06787	1	-46,5857821	-23,6687471	3985	0,0251	0,6211	7098	4840	2258
L06789	1	-46,5687518	-23,6525327	2723	0,0367	0,6211	4876	3195	1681
L06790	1	-46,5800360	-23,6669640	2828	0,0354	0,6211	5256	3498	1758
L06793	1	-46,5725179	-23,6552713	4018	0,0249	0,6211	7632	4758	2874
L07082	1	-46,5686640	-23,7226012	3863	0,0259	0,6211	5863	4522	1341
L07083	3	-46,5671770	-23,7246305	3792	0,0791	1,8634	6107	4279	1828
L07084	7	-46,5728440	-23,7385800	4259	0,1644	4,3478	6239	4738	1501
L07085	5	-46,5763830	-23,7413500	3754	0,1332	3,1056	5378	4236	1142
L07086	1	-46,5847430	-23,7228060	2973	0,0336	0,6211	4724	3378	1346
L07087	1	-46,5731743	-23,7229215	2752	0,0363	0,6211	4216	3212	1004
L07088	6	-46,5719400	-23,7418360	3694	0,1624	3,7267	5522	4136	1386
L07089	1	-46,5942676	-23,7150856	3415	0,0293	0,6211	5267	3929	1338
L07091	1	-46,5887880	-23,7158080	3501	0,0286	0,6211	5333	4005	1328
L07093	7	-46,5714110	-23,7317630	2984	0,2346	4,3478	4389	3383	1006
L07094	1	-46,5773288	-23,7251947	3149	0,0318	0,6211	4908	3601	1307
L07095	2	-46,5681980	-23,7215630	3744	0,0534	1,2422	6253	4293	1960
L07096	2	-46,5611610	-23,7212380	2261	0,0885	1,2422	3603	2557	1046
L07097	3	-46,5762215	-23,7400399	595	0,5042	1,8634	895	664	231
L07100	4	-46,5757068	-23,7415408	3689	0,1084	2,4845	5557	4244	1313
L10344	1	-46,5492480	-23,7482930	2752	0,0363	0,6211	4043	3185	858
L10346	2	-46,5543780	-23,7293500	3227	0,062	1,2422	5146	3697	1449
L10347	2	-46,5970620	-23,7702100	2991	0,0669	1,2422	4561	3449	1112
L10349	28	-46,5993840	-23,7504530	3523	0,7948	17,3913	5191	3964	1227
L10350	13	-46,6055310	-23,7555600	2925	0,4444	8,0745	4526	3389	1137
L10352	2	-46,6073310	-23,7448240	4841	0,0413	1,2422	7276	5564	1712
L10354	6	-46,5958220	-23,7411250	2753	0,2179	3,7267	4187	3094	1093
L10357	1	-46,5900996	-23,7353646	2391	0,0418	0,6211	3475	2726	749
L10360	7	-46,6120933	-23,7447783	6857	0,1021	4,3478	10591	7930	2661
L10361	16	-46,6036593	-23,7549526	2572	0,6221	9,9379	3935	3025	910
L10365	1	-46,5992172	-23,7602662	1232	0,0812	0,6211	1760	1426	334
L10367	2	-46,5961019	-23,7447479	1154	0,1733	1,2422	1701	1348	353
L10368	7	-46,5788159	-23,7338980	5018	0,1395	4,3478	7686	5820	1866
L10374	2	-46,5696532	-23,7431300	2807	0,0713	1,2422	4026	3117	909
L10376	1	-46,5989358	-23,7755274	1916	0,0522	0,6211	2813	2210	603
L10378	2	-46,6014671	-23,7521553	338	0,5917	1,2422	491	380	111
L10521	1	-46,5457520	-23,6942020	2792	0,0358	0,6211	4355	3244	1111
L10524	2	-46,5355563	-23,7044171	3127	0,064	1,2422	5066	3586	1480
L10533	1	-46,5603170	-23,7008920	2618	0,0382	0,6211	3934	2886	1048
L10538	2	-46,5268109	-23,7075040	3193	0,0626	1,2422	5028	3738	1290
