cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03951	1	-46,5496940	-23,7063970	2491	0,0401	0,2809	3975	2934	1041
L03955	1	-46,5479655	-23,7159646	3704	0,027	0,2809	6126	4304	1822
L03959	1	-46,5273920	-23,7411880	2811	0,0356	0,2809	4034	3173	861
L03961	1	-46,5301100	-23,7544160	1483	0,0674	0,2809	2089	1676	413
L03963	1	-46,5330960	-23,7239800	2212	0,0452	0,2809	3508	2587	921
L03965	2	-46,5394877	-23,7234957	2748	0,0728	0,5618	4365	3032	1333
L03969	6	-46,5401449	-23,7130179	2329	0,2576	1,6854	3843	2637	1206
L03972	1	-46,5384635	-23,7367389	3177	0,0315	0,2809	4773	3598	1175
L03979	1	-46,5264294	-23,7170860	4315	0,0232	0,2809	6708	4915	1793
L03980	1	-46,5273141	-23,7298404	2356	0,0424	0,2809	3546	2778	768
L03982	1	-46,5433437	-23,7247021	846	0,1182	0,2809	1363	989	374
L03984	1	-46,5424192	-23,7186662	2052	0,0487	0,2809	3298	2324	974
L03985	1	-46,5345083	-23,7238608	1795	0,0557	0,2809	2614	2044	570
L06770	2	-46,5525212	-23,6901319	2732	0,0732	0,5618	4186	3204	982
L06771	47	-46,5674510	-23,6934030	3881	1,211	13,2022	6496	4542	1954
L06773	4	-46,5748460	-23,6838690	3492	0,1145	1,1236	5996	4051	1945
L06774	3	-46,5832730	-23,7016620	2367	0,1267	0,8427	3931	2760	1171
L06775	110	-46,5780242	-23,7026208	4021	2,7356	30,8989	6654	4791	1863
L06776	51	-46,5705760	-23,7003330	2294	2,2232	14,3258	3776	2792	984
L06777	1	-46,5578080	-23,6812590	2740	0,0365	0,2809	4871	3184	1687
L06778	1	-46,5560028	-23,6894088	2428	0,0412	0,2809	4375	2778	1597
L06779	1	-46,5811459	-23,6991489	1442	0,0693	0,2809	2231	1776	455
L06781	31	-46,5702617	-23,6948544	2315	1,3391	8,7079	4248	2749	1499
L06784	5	-46,5801575	-23,6989963	2320	0,2155	1,4045	3782	2738	1044
L06786	29	-46,5711486	-23,7069243	3657	0,793	8,1461	5768	4341	1427
L06789	1	-46,5687518	-23,6525327	2723	0,0367	0,2809	4876	3195	1681
L06793	2	-46,5725179	-23,6552713	4018	0,0498	0,5618	7632	4758	2874
L06794	1	-46,5925299	-23,6659899	3276	0,0305	0,2809	5420	4081	1339
L06799	5	-46,5709372	-23,6527605	2910	0,1718	1,4045	4988	3366	1622
L06803	1	-46,5720030	-23,6577680	1682	0,0595	0,2809	2689	2000	689
L07086	1	-46,5847430	-23,7228060	2973	0,0336	0,2809	4724	3378	1346
L07089	2	-46,5942676	-23,7150856	3415	0,0586	0,5618	5267	3929	1338
L07090	3	-46,5837930	-23,7111350	2839	0,1057	0,8427	4468	3370	1098
L07091	1	-46,5887880	-23,7158080	3501	0,0286	0,2809	5333	4005	1328
L07096	1	-46,5611610	-23,7212380	2261	0,0442	0,2809	3603	2557	1046
L07099	1	-46,5857789	-23,7063229	1693	0,0591	0,2809	2856	1965	891
L07107	1	-46,5951889	-23,7196223	2490	0,0402	0,2809	3729	2866	863
L10344	3	-46,5492480	-23,7482930	2752	0,109	0,8427	4043	3185	858
L10347	1	-46,5970620	-23,7702100	2991	0,0334	0,2809	4561	3449	1112
L10348	1	-46,5766199	-23,7553818	2714	0,0368	0,2809	3794	3023	771
L10349	1	-46,5993840	-23,7504530	3523	0,0284	0,2809	5191	3964	1227
L10358	1	-46,5571470	-23,7345289	2075	0,0482	0,2809	3401	2355	1046
L10359	1	-46,5557359	-23,7401940	2813	0,0355	0,2809	4567	3224	1343
L10361	2	-46,6036593	-23,7549526	2572	0,0778	0,5618	3935	3025	910
L10365	1	-46,5992172	-23,7602662	1232	0,0812	0,2809	1760	1426	334
L10368	1	-46,5788159	-23,7338980	5018	0,0199	0,2809	7686	5820	1866
L10373	1	-46,5904460	-23,7700205	2101	0,0476	0,2809	3138	2422	716
L10377	1	-46,5214577	-23,7753688	1230	0,0813	0,2809	1781	1398	383
L10520	3	-46,5420768	-23,7092800	3962	0,0757	0,8427	6082	4575	1507
L10521	1	-46,5457520	-23,6942020	2792	0,0358	0,2809	4355	3244	1111
L10523	1	-46,5458154	-23,6922331	3407	0,0294	0,2809	5818	4061	1757
L10524	3	-46,5355563	-23,7044171	3127	0,0959	0,8427	5066	3586	1480
L10527	4	-46,5569558	-23,6958244	1672	0,2392	1,1236	3021	1921	1100
L10528	1	-46,5316499	-23,7062854	2075	0,0482	0,2809	3292	2480	812
L10529	1	-46,5210263	-23,7073137	1344	0,0744	0,2809	1988	1558	430
L10532	1	-46,5369300	-23,7009249	2593	0,0386	0,2809	4338	3010	1328
L10537	1	-46,5217845	-23,7079025	1919	0,0521	0,2809	3018	2266	752
L10541	2	-46,5593550	-23,6972650	3833	0,0522	0,5618	5926	4389	1537
