cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	1	-46,5496537	-23,7094670	2719	0,0368	0,1486	4433	3083	1350
L03954	1	-46,5351573	-23,7328634	2096	0,0477	0,1486	3226	2330	896
L03955	2	-46,5479655	-23,7159646	3704	0,054	0,2972	6126	4304	1822
L03957	1	-46,5506560	-23,7109210	1694	0,059	0,1486	2975	1921	1054
L03958	3	-46,5263510	-23,7177830	2715	0,1105	0,4458	4362	3115	1247
L03959	2	-46,5273920	-23,7411880	2811	0,0711	0,2972	4034	3173	861
L03960	1	-46,5340573	-23,7247585	3267	0,0306	0,1486	4736	3669	1067
L03961	2	-46,5301100	-23,7544160	1483	0,1349	0,2972	2089	1676	413
L03962	2	-46,5312069	-23,7383016	3438	0,0582	0,2972	4967	3828	1139
L03963	1	-46,5330960	-23,7239800	2212	0,0452	0,1486	3508	2587	921
L03964	1	-46,5424960	-23,7270120	2712	0,0369	0,1486	4071	2989	1082
L03965	2	-46,5394877	-23,7234957	2748	0,0728	0,2972	4365	3032	1333
L03966	1	-46,5239690	-23,7253840	2604	0,0384	0,1486	3744	2918	826
L03968	2	-46,5306700	-23,7278770	3349	0,0597	0,2972	5325	3948	1377
L03969	1	-46,5401449	-23,7130179	2329	0,0429	0,1486	3843	2637	1206
L03972	2	-46,5384635	-23,7367389	3177	0,063	0,2972	4773	3598	1175
L03973	2	-46,5302901	-23,7552072	2521	0,0793	0,2972	3630	2891	739
L03974	2	-46,5439337	-23,7269223	1479	0,1352	0,2972	2130	1697	433
L03975	3	-46,5280659	-23,7398567	3476	0,0863	0,4458	4976	3933	1043
L03977	2	-46,5361406	-23,7345754	1817	0,1101	0,2972	2574	2054	520
L03978	2	-46,5388049	-23,7229366	1360	0,1471	0,2972	2077	1587	490
L03979	2	-46,5264294	-23,7170860	4315	0,0463	0,2972	6708	4915	1793
L03980	2	-46,5273141	-23,7298404	2356	0,0849	0,2972	3546	2778	768
L03982	1	-46,5433437	-23,7247021	846	0,1182	0,1486	1363	989	374
L03985	1	-46,5345083	-23,7238608	1795	0,0557	0,1486	2614	2044	570
L03987	1	-46,5378519	-23,7282051	2915	0,0343	0,1486	4176	3268	908
L03989	2	-46,5339255	-23,7156101	3243	0,0617	0,2972	4680	3762	918
L03990	1	-46,5272283	-23,7179138	3130	0,0319	0,1486	4842	3583	1259
L03993	1	-46,5479549	-23,7130220	2969	0,0337	0,1486	4673	3394	1279
L06770	1	-46,5525212	-23,6901319	2732	0,0366	0,1486	4186	3204	982
L06773	4	-46,5748460	-23,6838690	3492	0,1145	0,5944	5996	4051	1945
L06774	1	-46,5832730	-23,7016620	2367	0,0422	0,1486	3931	2760	1171
L06775	8	-46,5780242	-23,7026208	4021	0,199	1,1887	6654	4791	1863
L06776	3	-46,5705760	-23,7003330	2294	0,1308	0,4458	3776	2792	984
L06779	1	-46,5811459	-23,6991489	1442	0,0693	0,1486	2231	1776	455
L06783	1	-46,5712670	-23,6858200	2290	0,0437	0,1486	3711	2766	945
L06784	1	-46,5801575	-23,6989963	2320	0,0431	0,1486	3782	2738	1044
L06786	2	-46,5711486	-23,7069243	3657	0,0547	0,2972	5768	4341	1427
L06789	1	-46,5687518	-23,6525327	2723	0,0367	0,1486	4876	3195	1681
L06790	2	-46,5800360	-23,6669640	2828	0,0707	0,2972	5256	3498	1758
