cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	1	-46,5415630	-23,7144040	356	0,2809	0,1393	524	411	113
L03950	4	-46,5496537	-23,7094670	2719	0,1471	0,5571	4433	3083	1350
L03954	2	-46,5351573	-23,7328634	2096	0,0954	0,2786	3226	2330	896
L03955	1	-46,5479655	-23,7159646	3704	0,027	0,1393	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,1393	2513	1740	773
L03959	2	-46,5273920	-23,7411880	2811	0,0711	0,2786	4034	3173	861
L03960	4	-46,5340573	-23,7247585	3267	0,1224	0,5571	4736	3669	1067
L03962	1	-46,5312069	-23,7383016	3438	0,0291	0,1393	4967	3828	1139
L03963	1	-46,5330960	-23,7239800	2212	0,0452	0,1393	3508	2587	921
L03964	1	-46,5424960	-23,7270120	2712	0,0369	0,1393	4071	2989	1082
L03965	1	-46,5394877	-23,7234957	2748	0,0364	0,1393	4365	3032	1333
L03968	1	-46,5306700	-23,7278770	3349	0,0299	0,1393	5325	3948	1377
L03969	2	-46,5401449	-23,7130179	2329	0,0859	0,2786	3843	2637	1206
L03975	2	-46,5280659	-23,7398567	3476	0,0575	0,2786	4976	3933	1043
L03977	1	-46,5361406	-23,7345754	1817	0,055	0,1393	2574	2054	520
L03982	2	-46,5433437	-23,7247021	846	0,2364	0,2786	1363	989	374
L03984	1	-46,5424192	-23,7186662	2052	0,0487	0,1393	3298	2324	974
L03986	1	-46,5377560	-23,7343024	1796	0,0557	0,1393	2583	2026	557
L03987	1	-46,5378519	-23,7282051	2915	0,0343	0,1393	4176	3268	908
L03990	1	-46,5272283	-23,7179138	3130	0,0319	0,1393	4842	3583	1259
L03991	2	-46,5300750	-23,7251281	221	0,905	0,2786	363	272	91
L03992	1	-46,5569610	-23,7083270	1295	0,0772	0,1393	1888	1495	393
L03993	1	-46,5479549	-23,7130220	2969	0,0337	0,1393	4673	3394	1279
L06770	4	-46,5525212	-23,6901319	2732	0,1464	0,5571	4186	3204	982
L06771	4	-46,5674510	-23,6934030	3881	0,1031	0,5571	6496	4542	1954
L06772	4	-46,5618680	-23,6746313	2853	0,1402	0,5571	4554	3404	1150
L06774	1	-46,5832730	-23,7016620	2367	0,0422	0,1393	3931	2760	1171
L06775	9	-46,5780242	-23,7026208	4021	0,2238	1,2535	6654	4791	1863
L06776	1	-46,5705760	-23,7003330	2294	0,0436	0,1393	3776	2792	984
L06777	4	-46,5578080	-23,6812590	2740	0,146	0,5571	4871	3184	1687
L06778	1	-46,5560028	-23,6894088	2428	0,0412	0,1393	4375	2778	1597
L06779	1	-46,5811459	-23,6991489	1442	0,0693	0,1393	2231	1776	455
L06780	1	-46,5852412	-23,6994162	2168	0,0461	0,1393	3391	2466	925
L06781	2	-46,5702617	-23,6948544	2315	0,0864	0,2786	4248	2749	1499
L06782	1	-46,5625426	-23,6854896	2462	0,0406	0,1393	4176	2798	1378
L06784	1	-46,5801575	-23,6989963	2320	0,0431	0,1393	3782	2738	1044
L06786	2	-46,5711486	-23,7069243	3657	0,0547	0,2786	5768	4341	1427
L06789	1	-46,5687518	-23,6525327	2723	0,0367	0,1393	4876	3195	1681
L06791	1	-46,5618751	-23,6641932	4022	0,0249	0,1393	6778	4774	2004
L06796	2	-46,5960661	-23,6699573	1290	0,155	0,2786	2156	1623	533
L06799	3	-46,5709372	-23,6527605	2910	0,1031	0,4178	4988	3366	1622
L06801	2	-46,5644658	-23,6605513	2935	0,0681	0,2786	5176	3395	1781
L06802	1	-46,5678450	-23,6664150	2222	0,045	0,1393	3481	2675	806
L07082	8	-46,5686640	-23,7226012	3863	0,2071	1,1142	5863	4522	1341
L07084	6	-46,5728440	-23,7385800	4259	0,1409	0,8357	6239	4738	1501
L07085	4	-46,5763830	-23,7413500	3754	0,1066	0,5571	5378	4236	1142
L07086	1	-46,5847430	-23,7228060	2973	0,0336	0,1393	4724	3378	1346
L07087	8	-46,5731743	-23,7229215	2752	0,2907	1,1142	4216	3212	1004
L07088	9	-46,5719400	-23,7418360	3694	0,2436	1,2535	5522	4136	1386
L07089	1	-46,5942676	-23,7150856	3415	0,0293	0,1393	5267	3929	1338
L07090	1	-46,5837930	-23,7111350	2839	0,0352	0,1393	4468	3370	1098
L07093	2	-46,5714110	-23,7317630	2984	0,067	0,2786	4389	3383	1006
