cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	1	-46,5415630	-23,7144040	356	0,2809	0,0267	524	411	113
L03950	6	-46,5496537	-23,7094670	2719	0,2207	0,16	4433	3083	1350
L03951	2	-46,5496940	-23,7063970	2491	0,0803	0,0533	3975	2934	1041
L03952	2	-46,5484150	-23,7127260	1407	0,1421	0,0533	2247	1606	641
L03953	3	-46,5500645	-23,7171301	211	1,4218	0,08	314	243	71
L03954	4	-46,5351573	-23,7328634	2096	0,1908	0,1067	3226	2330	896
L03955	7	-46,5479655	-23,7159646	3704	0,189	0,1867	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,0267	2513	1740	773
L03958	12	-46,5263510	-23,7177830	2715	0,442	0,3201	4362	3115	1247
L03959	14	-46,5273920	-23,7411880	2811	0,498	0,3734	4034	3173	861
L03960	7	-46,5340573	-23,7247585	3267	0,2143	0,1867	4736	3669	1067
L03961	3	-46,5301100	-23,7544160	1483	0,2023	0,08	2089	1676	413
L03962	14	-46,5312069	-23,7383016	3438	0,4072	0,3734	4967	3828	1139
L03963	7	-46,5330960	-23,7239800	2212	0,3165	0,1867	3508	2587	921
L03964	8	-46,5424960	-23,7270120	2712	0,295	0,2134	4071	2989	1082
L03965	3	-46,5394877	-23,7234957	2748	0,1092	0,08	4365	3032	1333
L03966	11	-46,5239690	-23,7253840	2604	0,4224	0,2934	3744	2918	826
L03967	1	-46,5362210	-23,7382845	1295	0,0772	0,0267	1805	1457	348
L03968	7	-46,5306700	-23,7278770	3349	0,209	0,1867	5325	3948	1377
L03969	6	-46,5401449	-23,7130179	2329	0,2576	0,16	3843	2637	1206
L03970	6	-46,5591090	-23,7130393	1529	0,3924	0,16	2468	1753	715
L03971	1	-46,5376257	-23,7371831	1611	0,0621	0,0267	2398	1785	613
L03972	6	-46,5384635	-23,7367389	3177	0,1889	0,16	4773	3598	1175
L03973	2	-46,5302901	-23,7552072	2521	0,0793	0,0533	3630	2891	739
L03974	2	-46,5439337	-23,7269223	1479	0,1352	0,0533	2130	1697	433
L03975	17	-46,5280659	-23,7398567	3476	0,4891	0,4535	4976	3933	1043
