cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	1	-46,5415630	-23,7144040	356	0,2809	0,3165	524	411	113
L03950	1	-46,5496537	-23,7094670	2719	0,0368	0,3165	4433	3083	1350
L03952	2	-46,5484150	-23,7127260	1407	0,1421	0,6329	2247	1606	641
L03953	1	-46,5500645	-23,7171301	211	0,4739	0,3165	314	243	71
L03955	7	-46,5479655	-23,7159646	3704	0,189	2,2152	6126	4304	1822
L03956	6	-46,5568820	-23,7075360	1533	0,3914	1,8987	2513	1740	773
L03957	4	-46,5506560	-23,7109210	1694	0,2361	1,2658	2975	1921	1054
L03969	5	-46,5401449	-23,7130179	2329	0,2147	1,5823	3843	2637	1206
L03970	2	-46,5591090	-23,7130393	1529	0,1308	0,6329	2468	1753	715
L03974	1	-46,5439337	-23,7269223	1479	0,0676	0,3165	2130	1697	433
L03979	1	-46,5264294	-23,7170860	4315	0,0232	0,3165	6708	4915	1793
L03984	4	-46,5424192	-23,7186662	2052	0,1949	1,2658	3298	2324	974
L03985	1	-46,5345083	-23,7238608	1795	0,0557	0,3165	2614	2044	570
L03989	2	-46,5339255	-23,7156101	3243	0,0617	0,6329	4680	3762	918
L03992	2	-46,5569610	-23,7083270	1295	0,1544	0,6329	1888	1495	393
L06770	2	-46,5525212	-23,6901319	2732	0,0732	0,6329	4186	3204	982
L06771	4	-46,5674510	-23,6934030	3881	0,1031	1,2658	6496	4542	1954
L06772	3	-46,5618680	-23,6746313	2853	0,1052	0,9494	4554	3404	1150
L06773	3	-46,5748460	-23,6838690	3492	0,0859	0,9494	5996	4051	1945
L06775	3	-46,5780242	-23,7026208	4021	0,0746	0,9494	6654	4791	1863
L06777	4	-46,5578080	-23,6812590	2740	0,146	1,2658	4871	3184	1687
L06778	8	-46,5560028	-23,6894088	2428	0,3295	2,5316	4375	2778	1597
L06779	4	-46,5811459	-23,6991489	1442	0,2774	1,2658	2231	1776	455
L06780	3	-46,5852412	-23,6994162	2168	0,1384	0,9494	3391	2466	925
L06781	4	-46,5702617	-23,6948544	2315	0,1728	1,2658	4248	2749	1499
L06782	2	-46,5625426	-23,6854896	2462	0,0812	0,6329	4176	2798	1378
L06783	4	-46,5712670	-23,6858200	2290	0,1747	1,2658	3711	2766	945
L06784	18	-46,5801575	-23,6989963	2320	0,7759	5,6962	3782	2738	1044
L06785	13	-46,5772394	-23,6793819	2129	0,6106	4,1139	3489	2499	990
L06786	2	-46,5711486	-23,7069243	3657	0,0547	0,6329	5768	4341	1427
L06787	20	-46,5857821	-23,6687471	3985	0,5019	6,3291	7098	4840	2258
L06789	2	-46,5687518	-23,6525327	2723	0,0734	0,6329	4876	3195	1681
L06790	12	-46,5800360	-23,6669640	2828	0,4243	3,7975	5256	3498	1758
L06792	2	-46,6048300	-23,6606410	4869	0,0411	0,6329	8857	5905	2952
L06793	3	-46,5725179	-23,6552713	4018	0,0747	0,9494	7632	4758	2874
L06794	8	-46,5925299	-23,6659899	3276	0,2442	2,5316	5420	4081	1339
L06796	3	-46,5960661	-23,6699573	1290	0,2326	0,9494	2156	1623	533
L06797	1	-46,5983816	-23,6565152	2510	0,0398	0,3165	4078	3127	951
