cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	7	-46,5496537	-23,7094670	2719	0,2574	2,3411	4433	3083	1350
L03951	3	-46,5496940	-23,7063970	2491	0,1204	1,0033	3975	2934	1041
L03953	1	-46,5500645	-23,7171301	211	0,4739	0,3344	314	243	71
L03955	3	-46,5479655	-23,7159646	3704	0,081	1,0033	6126	4304	1822
L03956	3	-46,5568820	-23,7075360	1533	0,1957	1,0033	2513	1740	773
L03959	1	-46,5273920	-23,7411880	2811	0,0356	0,3344	4034	3173	861
L03960	1	-46,5340573	-23,7247585	3267	0,0306	0,3344	4736	3669	1067
L03962	2	-46,5312069	-23,7383016	3438	0,0582	0,6689	4967	3828	1139
L03963	1	-46,5330960	-23,7239800	2212	0,0452	0,3344	3508	2587	921
L03964	3	-46,5424960	-23,7270120	2712	0,1106	1,0033	4071	2989	1082
L03968	2	-46,5306700	-23,7278770	3349	0,0597	0,6689	5325	3948	1377
L03970	1	-46,5591090	-23,7130393	1529	0,0654	0,3344	2468	1753	715
L03978	1	-46,5388049	-23,7229366	1360	0,0735	0,3344	2077	1587	490
L03982	1	-46,5433437	-23,7247021	846	0,1182	0,3344	1363	989	374
L03985	2	-46,5345083	-23,7238608	1795	0,1114	0,6689	2614	2044	570
L03986	2	-46,5377560	-23,7343024	1796	0,1114	0,6689	2583	2026	557
L03987	1	-46,5378519	-23,7282051	2915	0,0343	0,3344	4176	3268	908
L03992	6	-46,5569610	-23,7083270	1295	0,4633	2,0067	1888	1495	393
L03993	1	-46,5479549	-23,7130220	2969	0,0337	0,3344	4673	3394	1279
L06770	8	-46,5525212	-23,6901319	2732	0,2928	2,6756	4186	3204	982
L06771	1	-46,5674510	-23,6934030	3881	0,0258	0,3344	6496	4542	1954
L06772	23	-46,5618680	-23,6746313	2853	0,8062	7,6923	4554	3404	1150
L06773	1	-46,5748460	-23,6838690	3492	0,0286	0,3344	5996	4051	1945
L06774	4	-46,5832730	-23,7016620	2367	0,169	1,3378	3931	2760	1171
L06775	3	-46,5780242	-23,7026208	4021	0,0746	1,0033	6654	4791	1863
L06776	1	-46,5705760	-23,7003330	2294	0,0436	0,3344	3776	2792	984
L06777	17	-46,5578080	-23,6812590	2740	0,6204	5,6856	4871	3184	1687
L06778	16	-46,5560028	-23,6894088	2428	0,659	5,3512	4375	2778	1597
L06780	2	-46,5852412	-23,6994162	2168	0,0923	0,6689	3391	2466	925
L06781	2	-46,5702617	-23,6948544	2315	0,0864	0,6689	4248	2749	1499
L06782	22	-46,5625426	-23,6854896	2462	0,8936	7,3579	4176	2798	1378
L06785	3	-46,5772394	-23,6793819	2129	0,1409	1,0033	3489	2499	990
L06786	5	-46,5711486	-23,7069243	3657	0,1367	1,6722	5768	4341	1427
L06787	2	-46,5857821	-23,6687471	3985	0,0502	0,6689	7098	4840	2258
L06788	1	-46,5966010	-23,6599440	1374	0,0728	0,3344	2362	1824	538
