cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	1	-46,5415630	-23,7144040	356	0,2809	1,2346	524	411	113
L03955	1	-46,5479655	-23,7159646	3704	0,027	1,2346	6126	4304	1822
L03958	3	-46,5263510	-23,7177830	2715	0,1105	3,7037	4362	3115	1247
L03960	3	-46,5340573	-23,7247585	3267	0,0918	3,7037	4736	3669	1067
L03962	2	-46,5312069	-23,7383016	3438	0,0582	2,4691	4967	3828	1139
L03963	2	-46,5330960	-23,7239800	2212	0,0904	2,4691	3508	2587	921
L03966	3	-46,5239690	-23,7253840	2604	0,1152	3,7037	3744	2918	826
L03968	1	-46,5306700	-23,7278770	3349	0,0299	1,2346	5325	3948	1377
L03971	2	-46,5376257	-23,7371831	1611	0,1241	2,4691	2398	1785	613
L03975	1	-46,5280659	-23,7398567	3476	0,0288	1,2346	4976	3933	1043
L03978	1	-46,5388049	-23,7229366	1360	0,0735	1,2346	2077	1587	490
L03979	4	-46,5264294	-23,7170860	4315	0,0927	4,9383	6708	4915	1793
L03980	1	-46,5273141	-23,7298404	2356	0,0424	1,2346	3546	2778	768
L03985	1	-46,5345083	-23,7238608	1795	0,0557	1,2346	2614	2044	570
L03988	1	-46,5384489	-23,7370328	1853	0,054	1,2346	2732	2033	699
L03989	2	-46,5339255	-23,7156101	3243	0,0617	2,4691	4680	3762	918
L03990	6	-46,5272283	-23,7179138	3130	0,1917	7,4074	4842	3583	1259
L06788	1	-46,5966010	-23,6599440	1374	0,0728	1,2346	2362	1824	538
L06791	1	-46,5618751	-23,6641932	4022	0,0249	1,2346	6778	4774	2004
L06794	1	-46,5925299	-23,6659899	3276	0,0305	1,2346	5420	4081	1339
L06801	1	-46,5644658	-23,6605513	2935	0,0341	1,2346	5176	3395	1781
L07088	1	-46,5719400	-23,7418360	3694	0,0271	1,2346	5522	4136	1386
L07091	2	-46,5887880	-23,7158080	3501	0,0571	2,4691	5333	4005	1328
L07100	2	-46,5757068	-23,7415408	3689	0,0542	2,4691	5557	4244	1313
L10347	4	-46,5970620	-23,7702100	2991	0,1337	4,9383	4561	3449	1112
L10352	1	-46,6073310	-23,7448240	4841	0,0207	1,2346	7276	5564	1712
L10358	1	-46,5571470	-23,7345289	2075	0,0482	1,2346	3401	2355	1046
L10365	1	-46,5992172	-23,7602662	1232	0,0812	1,2346	1760	1426	334
L10374	1	-46,5696532	-23,7431300	2807	0,0356	1,2346	4026	3117	909
L10375	1	-46,5847755	-23,7339221	1357	0,0737	1,2346	2060	1617	443
L10520	1	-46,5420768	-23,7092800	3962	0,0252	1,2346	6082	4575	1507
L10522	3	-46,5420990	-23,6924220	3505	0,0856	3,7037	5982	4058	1924
L10523	3	-46,5458154	-23,6922331	3407	0,0881	3,7037	5818	4061	1757
L10524	4	-46,5355563	-23,7044171	3127	0,1279	4,9383	5066	3586	1480
L10526	1	-46,5296551	-23,7104398	2840	0,0352	1,2346	4594	3397	1197
L10532	15	-46,5369300	-23,7009249	2593	0,5785	18,5185	4338	3010	1328
L10534	1	-46,5303661	-23,7028651	690	0,1449	1,2346	1029	812	217
