cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03954	1	-46,5351573	-23,7328634	2096	0,0477	0,8	3226	2330	896
L03956	2	-46,5568820	-23,7075360	1533	0,1305	1,6	2513	1740	773
L03957	1	-46,5506560	-23,7109210	1694	0,059	0,8	2975	1921	1054
L03958	1	-46,5263510	-23,7177830	2715	0,0368	0,8	4362	3115	1247
L03960	1	-46,5340573	-23,7247585	3267	0,0306	0,8	4736	3669	1067
L03962	1	-46,5312069	-23,7383016	3438	0,0291	0,8	4967	3828	1139
L03975	1	-46,5280659	-23,7398567	3476	0,0288	0,8	4976	3933	1043
L03979	4	-46,5264294	-23,7170860	4315	0,0927	3,2	6708	4915	1793
L03989	1	-46,5339255	-23,7156101	3243	0,0308	0,8	4680	3762	918
L03990	1	-46,5272283	-23,7179138	3130	0,0319	0,8	4842	3583	1259
L03992	1	-46,5569610	-23,7083270	1295	0,0772	0,8	1888	1495	393
L06771	1	-46,5674510	-23,6934030	3881	0,0258	0,8	6496	4542	1954
L06772	1	-46,5618680	-23,6746313	2853	0,0351	0,8	4554	3404	1150
L06787	3	-46,5857821	-23,6687471	3985	0,0753	2,4	7098	4840	2258
L06788	1	-46,5966010	-23,6599440	1374	0,0728	0,8	2362	1824	538
L06794	1	-46,5925299	-23,6659899	3276	0,0305	0,8	5420	4081	1339
L06802	2	-46,5678450	-23,6664150	2222	0,09	1,6	3481	2675	806
L07085	1	-46,5763830	-23,7413500	3754	0,0266	0,8	5378	4236	1142
L07088	2	-46,5719400	-23,7418360	3694	0,0541	1,6	5522	4136	1386
L07089	1	-46,5942676	-23,7150856	3415	0,0293	0,8	5267	3929	1338
L07095	1	-46,5681980	-23,7215630	3744	0,0267	0,8	6253	4293	1960
L07096	4	-46,5611610	-23,7212380	2261	0,1769	3,2	3603	2557	1046
L10343	34	-46,5304577	-23,7819645	3566	0,9534	27,2	5636	4031	1605
L10344	3	-46,5492480	-23,7482930	2752	0,109	2,4	4043	3185	858
L10345	1	-46,5854170	-23,7343969	2469	0,0405	0,8	3723	2892	831
L10346	1	-46,5543780	-23,7293500	3227	0,031	0,8	5146	3697	1449
L10349	2	-46,5993840	-23,7504530	3523	0,0568	1,6	5191	3964	1227
L10350	1	-46,6055310	-23,7555600	2925	0,0342	0,8	4526	3389	1137
L10351	3	-46,5603201	-23,8287735	2169	0,1383	2,4	3580	2495	1085
L10354	1	-46,5958220	-23,7411250	2753	0,0363	0,8	4187	3094	1093
L10355	2	-46,5390864	-23,7936901	2995	0,0668	1,6	4525	3415	1110
L10356	2	-46,5366180	-23,7626750	1885	0,1061	1,6	2958	2188	770
L10358	1	-46,5571470	-23,7345289	2075	0,0482	0,8	3401	2355	1046
L10360	2	-46,6120933	-23,7447783	6857	0,0292	1,6	10591	7930	2661
L10363	1	-46,5407753	-23,7859834	816	0,1225	0,8	1250	949	301
L10366	1	-46,5987662	-23,8439439	1998	0,0501	0,8	3175	2290	885
L10368	4	-46,5788159	-23,7338980	5018	0,0797	3,2	7686	5820	1866
L10372	8	-46,5300873	-23,7829370	970	0,8247	6,4	1598	1112	486
L10374	2	-46,5696532	-23,7431300	2807	0,0713	1,6	4026	3117	909
L10375	1	-46,5847755	-23,7339221	1357	0,0737	0,8	2060	1617	443
L10377	21	-46,5214577	-23,7753688	1230	1,7073	16,8	1781	1398	383
L10520	1	-46,5420768	-23,7092800	3962	0,0252	0,8	6082	4575	1507
