cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03954	6	-46,5351573	-23,7328634	2096	0,2863	8,6957	3226	2330	896
L03955	1	-46,5479655	-23,7159646	3704	0,027	1,4493	6126	4304	1822
L03960	2	-46,5340573	-23,7247585	3267	0,0612	2,8986	4736	3669	1067
L03961	1	-46,5301100	-23,7544160	1483	0,0674	1,4493	2089	1676	413
L03962	5	-46,5312069	-23,7383016	3438	0,1454	7,2464	4967	3828	1139
L03964	3	-46,5424960	-23,7270120	2712	0,1106	4,3478	4071	2989	1082
L03971	3	-46,5376257	-23,7371831	1611	0,1862	4,3478	2398	1785	613
L03972	7	-46,5384635	-23,7367389	3177	0,2203	10,1449	4773	3598	1175
L03973	2	-46,5302901	-23,7552072	2521	0,0793	2,8986	3630	2891	739
L03974	1	-46,5439337	-23,7269223	1479	0,0676	1,4493	2130	1697	433
L03975	3	-46,5280659	-23,7398567	3476	0,0863	4,3478	4976	3933	1043
L03977	1	-46,5361406	-23,7345754	1817	0,055	1,4493	2574	2054	520
L03982	1	-46,5433437	-23,7247021	846	0,1182	1,4493	1363	989	374
L03983	3	-46,5413193	-23,7305837	1326	0,2262	4,3478	2005	1540	465
L03985	2	-46,5345083	-23,7238608	1795	0,1114	2,8986	2614	2044	570
L03986	1	-46,5377560	-23,7343024	1796	0,0557	1,4493	2583	2026	557
L03987	2	-46,5378519	-23,7282051	2915	0,0686	2,8986	4176	3268	908
L03988	7	-46,5384489	-23,7370328	1853	0,3778	10,1449	2732	2033	699
L03993	1	-46,5479549	-23,7130220	2969	0,0337	1,4493	4673	3394	1279
L07086	1	-46,5847430	-23,7228060	2973	0,0336	1,4493	4724	3378	1346
L07093	1	-46,5714110	-23,7317630	2984	0,0335	1,4493	4389	3383	1006
L07100	1	-46,5757068	-23,7415408	3689	0,0271	1,4493	5557	4244	1313
L07102	1	-46,5823690	-23,7207720	1435	0,0697	1,4493	2151	1688	463
L10344	2	-46,5492480	-23,7482930	2752	0,0727	2,8986	4043	3185	858
L10347	1	-46,5970620	-23,7702100	2991	0,0334	1,4493	4561	3449	1112
L10348	1	-46,5766199	-23,7553818	2714	0,0368	1,4493	3794	3023	771
L10350	1	-46,6055310	-23,7555600	2925	0,0342	1,4493	4526	3389	1137
L10365	2	-46,5992172	-23,7602662	1232	0,1623	2,8986	1760	1426	334
L10369	1	-46,5492121	-23,7487340	2216	0,0451	1,4493	3255	2547	708
L10374	1	-46,5696532	-23,7431300	2807	0,0356	1,4493	4026	3117	909
L10522	1	-46,5420990	-23,6924220	3505	0,0285	1,4493	5982	4058	1924
L10524	1	-46,5355563	-23,7044171	3127	0,032	1,4493	5066	3586	1480
L10527	2	-46,5569558	-23,6958244	1672	0,1196	2,8986	3021	1921	1100
