cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03950	1	-46,5496537	-23,7094670	2719	0,0368	0,4902	4433	3083	1350
L03951	2	-46,5496940	-23,7063970	2491	0,0803	0,9804	3975	2934	1041
L03954	2	-46,5351573	-23,7328634	2096	0,0954	0,9804	3226	2330	896
L03955	2	-46,5479655	-23,7159646	3704	0,054	0,9804	6126	4304	1822
L03956	1	-46,5568820	-23,7075360	1533	0,0652	0,4902	2513	1740	773
L03959	1	-46,5273920	-23,7411880	2811	0,0356	0,4902	4034	3173	861
L03960	2	-46,5340573	-23,7247585	3267	0,0612	0,9804	4736	3669	1067
L03963	4	-46,5330960	-23,7239800	2212	0,1808	1,9608	3508	2587	921
L03965	1	-46,5394877	-23,7234957	2748	0,0364	0,4902	4365	3032	1333
L03966	3	-46,5239690	-23,7253840	2604	0,1152	1,4706	3744	2918	826
L03968	3	-46,5306700	-23,7278770	3349	0,0896	1,4706	5325	3948	1377
L03969	3	-46,5401449	-23,7130179	2329	0,1288	1,4706	3843	2637	1206
L03971	1	-46,5376257	-23,7371831	1611	0,0621	0,4902	2398	1785	613
L03972	1	-46,5384635	-23,7367389	3177	0,0315	0,4902	4773	3598	1175
L03973	4	-46,5302901	-23,7552072	2521	0,1587	1,9608	3630	2891	739
L03979	4	-46,5264294	-23,7170860	4315	0,0927	1,9608	6708	4915	1793
L03980	1	-46,5273141	-23,7298404	2356	0,0424	0,4902	3546	2778	768
L03982	3	-46,5433437	-23,7247021	846	0,3546	1,4706	1363	989	374
L03983	1	-46,5413193	-23,7305837	1326	0,0754	0,4902	2005	1540	465
L03984	1	-46,5424192	-23,7186662	2052	0,0487	0,4902	3298	2324	974
L03985	2	-46,5345083	-23,7238608	1795	0,1114	0,9804	2614	2044	570
L03986	1	-46,5377560	-23,7343024	1796	0,0557	0,4902	2583	2026	557
L03987	4	-46,5378519	-23,7282051	2915	0,1372	1,9608	4176	3268	908
L03988	1	-46,5384489	-23,7370328	1853	0,054	0,4902	2732	2033	699
L03989	4	-46,5339255	-23,7156101	3243	0,1233	1,9608	4680	3762	918
L03990	1	-46,5272283	-23,7179138	3130	0,0319	0,4902	4842	3583	1259
L06770	2	-46,5525212	-23,6901319	2732	0,0732	0,9804	4186	3204	982
L06778	2	-46,5560028	-23,6894088	2428	0,0824	0,9804	4375	2778	1597
L06781	2	-46,5702617	-23,6948544	2315	0,0864	0,9804	4248	2749	1499
L06786	1	-46,5711486	-23,7069243	3657	0,0273	0,4902	5768	4341	1427
L06788	1	-46,5966010	-23,6599440	1374	0,0728	0,4902	2362	1824	538
L06792	5	-46,6048300	-23,6606410	4869	0,1027	2,451	8857	5905	2952
L06802	1	-46,5678450	-23,6664150	2222	0,045	0,4902	3481	2675	806
L07084	4	-46,5728440	-23,7385800	4259	0,0939	1,9608	6239	4738	1501
L07085	3	-46,5763830	-23,7413500	3754	0,0799	1,4706	5378	4236	1142
L07087	1	-46,5731743	-23,7229215	2752	0,0363	0,4902	4216	3212	1004
L07088	5	-46,5719400	-23,7418360	3694	0,1354	2,451	5522	4136	1386
L07090	1	-46,5837930	-23,7111350	2839	0,0352	0,4902	4468	3370	1098
L07093	1	-46,5714110	-23,7317630	2984	0,0335	0,4902	4389	3383	1006
L07096	2	-46,5611610	-23,7212380	2261	0,0885	0,9804	3603	2557	1046
L07100	5	-46,5757068	-23,7415408	3689	0,1355	2,451	5557	4244	1313
L10348	1	-46,5766199	-23,7553818	2714	0,0368	0,4902	3794	3023	771
L10350	1	-46,6055310	-23,7555600	2925	0,0342	0,4902	4526	3389	1137
L10351	2	-46,5603201	-23,8287735	2169	0,0922	0,9804	3580	2495	1085
L10352	2	-46,6073310	-23,7448240	4841	0,0413	0,9804	7276	5564	1712
L10354	1	-46,5958220	-23,7411250	2753	0,0363	0,4902	4187	3094	1093
L10356	1	-46,5366180	-23,7626750	1885	0,0531	0,4902	2958	2188	770
L10360	2	-46,6120933	-23,7447783	6857	0,0292	0,9804	10591	7930	2661
L10364	2	-46,5776197	-23,7559880	3311	0,0604	0,9804	4933	3777	1156
L10366	2	-46,5987662	-23,8439439	1998	0,1001	0,9804	3175	2290	885
L10367	1	-46,5961019	-23,7447479	1154	0,0867	0,4902	1701	1348	353
L10368	5	-46,5788159	-23,7338980	5018	0,0996	2,451	7686	5820	1866
L10369	1	-46,5492121	-23,7487340	2216	0,0451	0,4902	3255	2547	708
L10371	1	-46,5473716	-23,7962030	1196	0,0836	0,4902	1702	1386	316
L10374	2	-46,5696532	-23,7431300	2807	0,0713	0,9804	4026	3117	909
L10375	5	-46,5847755	-23,7339221	1357	0,3685	2,451	2060	1617	443
L10522	1	-46,5420990	-23,6924220	3505	0,0285	0,4902	5982	4058	1924
L10523	1	-46,5458154	-23,6922331	3407	0,0294	0,4902	5818	4061	1757
L10524	1	-46,5355563	-23,7044171	3127	0,032	0,4902	5066	3586	1480
L10525	2	-46,5421281	-23,7051226	3529	0,0567	0,9804	6224	3976	2248
L10526	16	-46,5296551	-23,7104398	2840	0,5634	7,8431	4594	3397	1197
L10527	5	-46,5569558	-23,6958244	1672	0,299	2,451	3021	1921	1100
L10528	4	-46,5316499	-23,7062854	2075	0,1928	1,9608	3292	2480	812
L10529	9	-46,5210263	-23,7073137	1344	0,6696	4,4118	1988	1558	430
L10533	7	-46,5603170	-23,7008920	2618	0,2674	3,4314	3934	2886	1048
L10535	16	-46,5355464	-23,7067193	3281	0,4877	7,8431	5216	3764	1452
L10537	9	-46,5217845	-23,7079025	1919	0,469	4,4118	3018	2266	752
L10538	6	-46,5268109	-23,7075040	3193	0,1879	2,9412	5028	3738	1290
L10539	1	-46,5417310	-23,7077940	868	0,1152	0,4902	1298	1013	285
L10541	7	-46,5593550	-23,6972650	3833	0,1826	3,4314	5926	4389	1537
