cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03954	1	-46,5351573	-23,7328634	2096	0,0477	1,1111	3226	2330	896
L03965	1	-46,5394877	-23,7234957	2748	0,0364	1,1111	4365	3032	1333
L03990	1	-46,5272283	-23,7179138	3130	0,0319	1,1111	4842	3583	1259
L06792	1	-46,6048300	-23,6606410	4869	0,0205	1,1111	8857	5905	2952
L07082	1	-46,5686640	-23,7226012	3863	0,0259	1,1111	5863	4522	1341
L07084	3	-46,5728440	-23,7385800	4259	0,0704	3,3333	6239	4738	1501
L07087	1	-46,5731743	-23,7229215	2752	0,0363	1,1111	4216	3212	1004
L07089	1	-46,5942676	-23,7150856	3415	0,0293	1,1111	5267	3929	1338
L07091	5	-46,5887880	-23,7158080	3501	0,1428	5,5556	5333	4005	1328
L07094	1	-46,5773288	-23,7251947	3149	0,0318	1,1111	4908	3601	1307
L07098	2	-46,5883300	-23,7165890	1688	0,1185	2,2222	2567	1999	568
L07102	1	-46,5823690	-23,7207720	1435	0,0697	1,1111	2151	1688	463
L07106	1	-46,5763029	-23,7195979	2231	0,0448	1,1111	3695	2552	1143
L07107	1	-46,5951889	-23,7196223	2490	0,0402	1,1111	3729	2866	863
L10346	2	-46,5543780	-23,7293500	3227	0,062	2,2222	5146	3697	1449
L10349	28	-46,5993840	-23,7504530	3523	0,7948	31,1111	5191	3964	1227
L10350	19	-46,6055310	-23,7555600	2925	0,6496	21,1111	4526	3389	1137
L10352	1	-46,6073310	-23,7448240	4841	0,0207	1,1111	7276	5564	1712
L10354	2	-46,5958220	-23,7411250	2753	0,0726	2,2222	4187	3094	1093
L10359	1	-46,5557359	-23,7401940	2813	0,0355	1,1111	4567	3224	1343
L10361	15	-46,6036593	-23,7549526	2572	0,5832	16,6667	3935	3025	910
L10378	1	-46,6014671	-23,7521553	338	0,2959	1,1111	491	380	111
