cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03949	1	-46,5415630	-23,7144040	356	0,2809	0,2915	524	411	113
L03950	1	-46,5496537	-23,7094670	2719	0,0368	0,2915	4433	3083	1350
L03951	4	-46,5496940	-23,7063970	2491	0,1606	1,1662	3975	2934	1041
L03954	2	-46,5351573	-23,7328634	2096	0,0954	0,5831	3226	2330	896
L03955	1	-46,5479655	-23,7159646	3704	0,027	0,2915	6126	4304	1822
L03956	3	-46,5568820	-23,7075360	1533	0,1957	0,8746	2513	1740	773
L03958	4	-46,5263510	-23,7177830	2715	0,1473	1,1662	4362	3115	1247
L03960	3	-46,5340573	-23,7247585	3267	0,0918	0,8746	4736	3669	1067
L03962	6	-46,5312069	-23,7383016	3438	0,1745	1,7493	4967	3828	1139
L03963	1	-46,5330960	-23,7239800	2212	0,0452	0,2915	3508	2587	921
L03965	3	-46,5394877	-23,7234957	2748	0,1092	0,8746	4365	3032	1333
L03966	4	-46,5239690	-23,7253840	2604	0,1536	1,1662	3744	2918	826
L03967	1	-46,5362210	-23,7382845	1295	0,0772	0,2915	1805	1457	348
L03968	4	-46,5306700	-23,7278770	3349	0,1194	1,1662	5325	3948	1377
L03969	2	-46,5401449	-23,7130179	2329	0,0859	0,5831	3843	2637	1206
L03971	4	-46,5376257	-23,7371831	1611	0,2483	1,1662	2398	1785	613
L03972	5	-46,5384635	-23,7367389	3177	0,1574	1,4577	4773	3598	1175
L03975	4	-46,5280659	-23,7398567	3476	0,1151	1,1662	4976	3933	1043
L03977	2	-46,5361406	-23,7345754	1817	0,1101	0,5831	2574	2054	520
L03979	4	-46,5264294	-23,7170860	4315	0,0927	1,1662	6708	4915	1793
L03980	2	-46,5273141	-23,7298404	2356	0,0849	0,5831	3546	2778	768
L03981	1	-46,5661526	-23,7217113	48	2,0833	0,2915	79	58	21
L03983	1	-46,5413193	-23,7305837	1326	0,0754	0,2915	2005	1540	465
L03986	1	-46,5377560	-23,7343024	1796	0,0557	0,2915	2583	2026	557
L03987	2	-46,5378519	-23,7282051	2915	0,0686	0,5831	4176	3268	908
L03988	4	-46,5384489	-23,7370328	1853	0,2159	1,1662	2732	2033	699
L03989	2	-46,5339255	-23,7156101	3243	0,0617	0,5831	4680	3762	918
L03990	5	-46,5272283	-23,7179138	3130	0,1597	1,4577	4842	3583	1259
L03991	1	-46,5300750	-23,7251281	221	0,4525	0,2915	363	272	91
L03993	1	-46,5479549	-23,7130220	2969	0,0337	0,2915	4673	3394	1279
L06770	1	-46,5525212	-23,6901319	2732	0,0366	0,2915	4186	3204	982
L06771	14	-46,5674510	-23,6934030	3881	0,3607	4,0816	6496	4542	1954
L06772	5	-46,5618680	-23,6746313	2853	0,1753	1,4577	4554	3404	1150
