cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03952	1	-46,5484150	-23,7127260	1407	0,0711	1,1628	2247	1606	641
L03955	2	-46,5479655	-23,7159646	3704	0,054	2,3256	6126	4304	1822
L03958	6	-46,5263510	-23,7177830	2715	0,221	6,9767	4362	3115	1247
L03959	2	-46,5273920	-23,7411880	2811	0,0711	2,3256	4034	3173	861
L03963	2	-46,5330960	-23,7239800	2212	0,0904	2,3256	3508	2587	921
L03966	1	-46,5239690	-23,7253840	2604	0,0384	1,1628	3744	2918	826
L03968	2	-46,5306700	-23,7278770	3349	0,0597	2,3256	5325	3948	1377
L03969	2	-46,5401449	-23,7130179	2329	0,0859	2,3256	3843	2637	1206
L03978	1	-46,5388049	-23,7229366	1360	0,0735	1,1628	2077	1587	490
L03979	1	-46,5264294	-23,7170860	4315	0,0232	1,1628	6708	4915	1793
L03990	6	-46,5272283	-23,7179138	3130	0,1917	6,9767	4842	3583	1259
L03992	3	-46,5569610	-23,7083270	1295	0,2317	3,4884	1888	1495	393
L06770	1	-46,5525212	-23,6901319	2732	0,0366	1,1628	4186	3204	982
L06771	6	-46,5674510	-23,6934030	3881	0,1546	6,9767	6496	4542	1954
L06774	1	-46,5832730	-23,7016620	2367	0,0422	1,1628	3931	2760	1171
L06775	1	-46,5780242	-23,7026208	4021	0,0249	1,1628	6654	4791	1863
L06776	2	-46,5705760	-23,7003330	2294	0,0872	2,3256	3776	2792	984
L06785	1	-46,5772394	-23,6793819	2129	0,047	1,1628	3489	2499	990
L06786	1	-46,5711486	-23,7069243	3657	0,0273	1,1628	5768	4341	1427
L06791	2	-46,5618751	-23,6641932	4022	0,0497	2,3256	6778	4774	2004
L06798	1	-46,5727839	-23,6615519	1529	0,0654	1,1628	2554	1828	726
L06802	2	-46,5678450	-23,6664150	2222	0,09	2,3256	3481	2675	806
L07083	1	-46,5671770	-23,7246305	3792	0,0264	1,1628	6107	4279	1828
L07084	1	-46,5728440	-23,7385800	4259	0,0235	1,1628	6239	4738	1501
L07086	1	-46,5847430	-23,7228060	2973	0,0336	1,1628	4724	3378	1346
L07087	2	-46,5731743	-23,7229215	2752	0,0727	2,3256	4216	3212	1004
L07091	1	-46,5887880	-23,7158080	3501	0,0286	1,1628	5333	4005	1328
L07095	1	-46,5681980	-23,7215630	3744	0,0267	1,1628	6253	4293	1960
L07096	1	-46,5611610	-23,7212380	2261	0,0442	1,1628	3603	2557	1046
L07099	1	-46,5857789	-23,7063229	1693	0,0591	1,1628	2856	1965	891
L07100	1	-46,5757068	-23,7415408	3689	0,0271	1,1628	5557	4244	1313
L10359	1	-46,5557359	-23,7401940	2813	0,0355	1,1628	4567	3224	1343
L10360	3	-46,6120933	-23,7447783	6857	0,0438	3,4884	10591	7930	2661
L10364	1	-46,5776197	-23,7559880	3311	0,0302	1,1628	4933	3777	1156
L10368	1	-46,5788159	-23,7338980	5018	0,0199	1,1628	7686	5820	1866
L10522	1	-46,5420990	-23,6924220	3505	0,0285	1,1628	5982	4058	1924
L10523	1	-46,5458154	-23,6922331	3407	0,0294	1,1628	5818	4061	1757
L10524	1	-46,5355563	-23,7044171	3127	0,032	1,1628	5066	3586	1480
L10526	1	-46,5296551	-23,7104398	2840	0,0352	1,1628	4594	3397	1197
L10527	1	-46,5569558	-23,6958244	1672	0,0598	1,1628	3021	1921	1100
L10528	1	-46,5316499	-23,7062854	2075	0,0482	1,1628	3292	2480	812
L10529	2	-46,5210263	-23,7073137	1344	0,1488	2,3256	1988	1558	430
L10533	1	-46,5603170	-23,7008920	2618	0,0382	1,1628	3934	2886	1048
L10535	1	-46,5355464	-23,7067193	3281	0,0305	1,1628	5216	3764	1452
L10537	11	-46,5217845	-23,7079025	1919	0,5732	12,7907	3018	2266	752
L10538	2	-46,5268109	-23,7075040	3193	0,0626	2,3256	5028	3738	1290
