cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	1	-46,5736960	-23,6281079	2756	0,0363	0,5405	3936	3031	905
L03828	8	-46,5775486	-23,6354290	4928	0,1623	4,3243	7113	5376	1737
L03829	2	-46,5748539	-23,6017980	1491	0,1341	1,0811	2280	1646	634
L03830	3	-46,5749545	-23,6437552	2969	0,101	1,6216	4119	3298	821
L03831	3	-46,5695666	-23,6448220	2120	0,1415	1,6216	3238	2331	907
L03833	6	-46,5700307	-23,6362136	3592	0,167	3,2432	5230	3939	1291
L03834	3	-46,5726120	-23,6066308	3267	0,0918	1,6216	4678	3620	1058
L03835	5	-46,5643400	-23,6272959	3646	0,1371	2,7027	5449	4034	1415
L03836	6	-46,5659560	-23,6332439	3644	0,1647	3,2432	5494	3997	1497
L03837	4	-46,5754785	-23,6141958	1032	0,3876	2,1622	1565	1152	413
L03838	1	-46,5763789	-23,6236520	1262	0,0792	0,5405	1776	1415	361
L03840	3	-46,5710495	-23,6231623	4442	0,0675	1,6216	6459	4898	1561
L03841	12	-46,5736010	-23,6093189	4905	0,2446	6,4865	7551	5395	2156
L06294	4	-46,5666428	-23,6154995	3617	0,1106	2,1622	5616	4038	1578
L06295	12	-46,5510457	-23,6209219	4352	0,2757	6,4865	6342	4801	1541
L06296	6	-46,5489418	-23,6072896	1911	0,314	3,2432	2620	2057	563
L06297	21	-46,5643922	-23,6397657	2942	0,7138	11,3514	4325	3277	1048
L06298	1	-46,5568507	-23,6253877	4341	0,023	0,5405	6342	4836	1506
L06299	13	-46,5628521	-23,6408963	3152	0,4124	7,027	4453	3494	959
L06300	1	-46,5634737	-23,6294039	3803	0,0263	0,5405	5478	4184	1294
L06301	6	-46,5638740	-23,6349540	3090	0,1942	3,2432	4317	3380	937
L06302	6	-46,5612820	-23,6181008	3603	0,1665	3,2432	5225	3922	1303
L06303	2	-46,5684560	-23,6423549	3603	0,0555	1,0811	5146	4005	1141
L06304	19	-46,5565462	-23,6338868	5904	0,3218	10,2703	8731	6465	2266
L06305	14	-46,5598285	-23,6426493	3076	0,4551	7,5676	4341	3425	916
L06306	12	-46,5573917	-23,6361303	3829	0,3134	6,4865	5574	4192	1382
L06307	7	-46,5517289	-23,6248440	3655	0,1915	3,7838	5277	4011	1266
L06308	4	-46,5483890	-23,6250380	1973	0,2027	2,1622	2787	2185	602
