cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	51	-46,5736960	-23,6281079	2756	1,8505	5,2308	3936	3031	905
L03828	190	-46,5775486	-23,6354290	4928	3,8555	19,4872	7113	5376	1737
L03829	4	-46,5748539	-23,6017980	1491	0,2683	0,4103	2280	1646	634
L03830	17	-46,5749545	-23,6437552	2969	0,5726	1,7436	4119	3298	821
L03831	27	-46,5695666	-23,6448220	2120	1,2736	2,7692	3238	2331	907
L03832	13	-46,5730347	-23,6211432	1832	0,7096	1,3333	2886	2005	881
L03833	52	-46,5700307	-23,6362136	3592	1,4477	5,3333	5230	3939	1291
L03834	26	-46,5726120	-23,6066308	3267	0,7958	2,6667	4678	3620	1058
L03835	15	-46,5643400	-23,6272959	3646	0,4114	1,5385	5449	4034	1415
L03836	43	-46,5659560	-23,6332439	3644	1,18	4,4103	5494	3997	1497
L03837	8	-46,5754785	-23,6141958	1032	0,7752	0,8205	1565	1152	413
L03838	17	-46,5763789	-23,6236520	1262	1,3471	1,7436	1776	1415	361
L03839	24	-46,5778738	-23,6374845	2854	0,8409	2,4615	4180	3156	1024
L03840	41	-46,5710495	-23,6231623	4442	0,923	4,2051	6459	4898	1561
L03841	29	-46,5736010	-23,6093189	4905	0,5912	2,9744	7551	5395	2156
L06294	27	-46,5666428	-23,6154995	3617	0,7465	2,7692	5616	4038	1578
L06295	41	-46,5510457	-23,6209219	4352	0,9421	4,2051	6342	4801	1541
L06296	19	-46,5489418	-23,6072896	1911	0,9942	1,9487	2620	2057	563
L06297	25	-46,5643922	-23,6397657	2942	0,8498	2,5641	4325	3277	1048
L06298	34	-46,5568507	-23,6253877	4341	0,7832	3,4872	6342	4836	1506
L06299	15	-46,5628521	-23,6408963	3152	0,4759	1,5385	4453	3494	959
L06300	14	-46,5634737	-23,6294039	3803	0,3681	1,4359	5478	4184	1294
L06301	28	-46,5638740	-23,6349540	3090	0,9061	2,8718	4317	3380	937
L06302	41	-46,5612820	-23,6181008	3603	1,1379	4,2051	5225	3922	1303
L06303	43	-46,5684560	-23,6423549	3603	1,1934	4,4103	5146	4005	1141
L06304	26	-46,5565462	-23,6338868	5904	0,4404	2,6667	8731	6465	2266
L06305	18	-46,5598285	-23,6426493	3076	0,5852	1,8462	4341	3425	916
L06306	42	-46,5573917	-23,6361303	3829	1,0969	4,3077	5574	4192	1382
L06307	29	-46,5517289	-23,6248440	3655	0,7934	2,9744	5277	4011	1266
L06308	16	-46,5483890	-23,6250380	1973	0,8109	1,641	2787	2185	602
