cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	48	-46,5736960	-23,6281079	2756	1,7417	2,4987	3936	3031	905
L03828	83	-46,5775486	-23,6354290	4928	1,6843	4,3207	7113	5376	1737
L03829	23	-46,5748539	-23,6017980	1491	1,5426	1,1973	2280	1646	634
L03830	139	-46,5749545	-23,6437552	2969	4,6817	7,2358	4119	3298	821
L03831	67	-46,5695666	-23,6448220	2120	3,1604	3,4878	3238	2331	907
L03832	36	-46,5730347	-23,6211432	1832	1,9651	1,874	2886	2005	881
L03833	44	-46,5700307	-23,6362136	3592	1,2249	2,2905	5230	3939	1291
L03834	42	-46,5726120	-23,6066308	3267	1,2856	2,1864	4678	3620	1058
L03835	52	-46,5643400	-23,6272959	3646	1,4262	2,7069	5449	4034	1415
L03836	77	-46,5659560	-23,6332439	3644	2,1131	4,0083	5494	3997	1497
L03837	15	-46,5754785	-23,6141958	1032	1,4535	0,7808	1565	1152	413
L03838	20	-46,5763789	-23,6236520	1262	1,5848	1,0411	1776	1415	361
L03839	71	-46,5778738	-23,6374845	2854	2,4877	3,696	4180	3156	1024
L03840	74	-46,5710495	-23,6231623	4442	1,6659	3,8522	6459	4898	1561
L03841	62	-46,5736010	-23,6093189	4905	1,264	3,2275	7551	5395	2156
L06294	72	-46,5666428	-23,6154995	3617	1,9906	3,748	5616	4038	1578
L06295	66	-46,5510457	-23,6209219	4352	1,5165	3,4357	6342	4801	1541
L06296	80	-46,5489418	-23,6072896	1911	4,1863	4,1645	2620	2057	563
L06297	61	-46,5643922	-23,6397657	2942	2,0734	3,1754	4325	3277	1048
L06298	95	-46,5568507	-23,6253877	4341	2,1884	4,9453	6342	4836	1506
L06299	63	-46,5628521	-23,6408963	3152	1,9987	3,2795	4453	3494	959
L06300	85	-46,5634737	-23,6294039	3803	2,2351	4,4248	5478	4184	1294
L06301	64	-46,5638740	-23,6349540	3090	2,0712	3,3316	4317	3380	937
L06302	70	-46,5612820	-23,6181008	3603	1,9428	3,6439	5225	3922	1303
L06303	82	-46,5684560	-23,6423549	3603	2,2759	4,2686	5146	4005	1141
L06304	89	-46,5565462	-23,6338868	5904	1,5075	4,633	8731	6465	2266
L06305	65	-46,5598285	-23,6426493	3076	2,1131	3,3837	4341	3425	916
L06306	78	-46,5573917	-23,6361303	3829	2,0371	4,0604	5574	4192	1382
L06307	61	-46,5517289	-23,6248440	3655	1,6689	3,1754	5277	4011	1266
L06308	37	-46,5483890	-23,6250380	1973	1,8753	1,9261	2787	2185	602
