cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	32	-46,5736960	-23,6281079	2756	1,1611	3,5126	3936	3031	905
L03828	40	-46,5775486	-23,6354290	4928	0,8117	4,3908	7113	5376	1737
L03829	12	-46,5748539	-23,6017980	1491	0,8048	1,3172	2280	1646	634
L03830	29	-46,5749545	-23,6437552	2969	0,9768	3,1833	4119	3298	821
L03831	12	-46,5695666	-23,6448220	2120	0,566	1,3172	3238	2331	907
L03832	19	-46,5730347	-23,6211432	1832	1,0371	2,0856	2886	2005	881
L03833	48	-46,5700307	-23,6362136	3592	1,3363	5,2689	5230	3939	1291
L03834	26	-46,5726120	-23,6066308	3267	0,7958	2,854	4678	3620	1058
L03835	58	-46,5643400	-23,6272959	3646	1,5908	6,3666	5449	4034	1415
L03836	47	-46,5659560	-23,6332439	3644	1,2898	5,1592	5494	3997	1497
L03837	10	-46,5754785	-23,6141958	1032	0,969	1,0977	1565	1152	413
L03838	7	-46,5763789	-23,6236520	1262	0,5547	0,7684	1776	1415	361
L03839	23	-46,5778738	-23,6374845	2854	0,8059	2,5247	4180	3156	1024
L03840	69	-46,5710495	-23,6231623	4442	1,5534	7,5741	6459	4898	1561
L03841	51	-46,5736010	-23,6093189	4905	1,0398	5,5982	7551	5395	2156
L06294	34	-46,5666428	-23,6154995	3617	0,94	3,7322	5616	4038	1578
L06295	38	-46,5510457	-23,6209219	4352	0,8732	4,1712	6342	4801	1541
L06296	3	-46,5489418	-23,6072896	1911	0,157	0,3293	2620	2057	563
L06297	15	-46,5643922	-23,6397657	2942	0,5099	1,6465	4325	3277	1048
L06298	41	-46,5568507	-23,6253877	4341	0,9445	4,5005	6342	4836	1506
L06299	23	-46,5628521	-23,6408963	3152	0,7297	2,5247	4453	3494	959
L06300	52	-46,5634737	-23,6294039	3803	1,3673	5,708	5478	4184	1294
L06301	17	-46,5638740	-23,6349540	3090	0,5502	1,8661	4317	3380	937
L06302	33	-46,5612820	-23,6181008	3603	0,9159	3,6224	5225	3922	1303
L06303	32	-46,5684560	-23,6423549	3603	0,8881	3,5126	5146	4005	1141
L06304	38	-46,5565462	-23,6338868	5904	0,6436	4,1712	8731	6465	2266
L06305	22	-46,5598285	-23,6426493	3076	0,7152	2,4149	4341	3425	916
L06306	32	-46,5573917	-23,6361303	3829	0,8357	3,5126	5574	4192	1382
L06307	28	-46,5517289	-23,6248440	3655	0,7661	3,0735	5277	4011	1266
L06308	20	-46,5483890	-23,6250380	1973	1,0137	2,1954	2787	2185	602
