cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L03827	2	-46,5736960	-23,6281079	2756	0,0726	2,9851	3936	3031	905
L03828	1	-46,5775486	-23,6354290	4928	0,0203	1,4925	7113	5376	1737
L03834	1	-46,5726120	-23,6066308	3267	0,0306	1,4925	4678	3620	1058
L03835	3	-46,5643400	-23,6272959	3646	0,0823	4,4776	5449	4034	1415
L03836	4	-46,5659560	-23,6332439	3644	0,1098	5,9701	5494	3997	1497
L03838	1	-46,5763789	-23,6236520	1262	0,0792	1,4925	1776	1415	361
L03839	1	-46,5778738	-23,6374845	2854	0,035	1,4925	4180	3156	1024
L03840	6	-46,5710495	-23,6231623	4442	0,1351	8,9552	6459	4898	1561
L06294	7	-46,5666428	-23,6154995	3617	0,1935	10,4478	5616	4038	1578
L06295	8	-46,5510457	-23,6209219	4352	0,1838	11,9403	6342	4801	1541
L06298	5	-46,5568507	-23,6253877	4341	0,1152	7,4627	6342	4836	1506
L06299	1	-46,5628521	-23,6408963	3152	0,0317	1,4925	4453	3494	959
L06300	5	-46,5634737	-23,6294039	3803	0,1315	7,4627	5478	4184	1294
L06302	13	-46,5612820	-23,6181008	3603	0,3608	19,403	5225	3922	1303
L06303	1	-46,5684560	-23,6423549	3603	0,0278	1,4925	5146	4005	1141
L06304	3	-46,5565462	-23,6338868	5904	0,0508	4,4776	8731	6465	2266
L06305	3	-46,5598285	-23,6426493	3076	0,0975	4,4776	4341	3425	916
L06307	1	-46,5517289	-23,6248440	3655	0,0274	1,4925	5277	4011	1266
L06308	1	-46,5483890	-23,6250380	1973	0,0507	1,4925	2787	2185	602
