cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,1081	6983	4278	2705
L00016	1	-46,6361305	-23,5497845	2669	0,0375	0,1081	5297	3132	2165
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,1081	5259	3125	2134
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,1081	6548	4013	2535
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,1081	3771	2812	959
L00050	1	-46,6531096	-23,5391595	3449	0,029	0,1081	6577	4007	2570
L00074	1	-46,6370866	-23,5384772	2847	0,0351	0,1081	6133	3437	2696
L00085	1	-46,5978907	-23,5552089	4372	0,0229	0,1081	8050	5269	2781
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,1081	4205	2672	1533
L00132	1	-46,6416210	-23,5785510	4598	0,0217	0,1081	7651	5166	2485
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,1081	5565	3493	2072
L00528	2	-46,7937390	-23,6862114	4929	0,0406	0,2162	8528	6298	2230
L00532	3	-46,7878988	-23,6864426	238	1,2605	0,3243	424	297	127
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,1081	5561	4120	1441
L00539	2	-46,7886237	-23,6861459	4146	0,0482	0,2162	7243	5328	1915
L00541	1	-46,7778780	-23,6885051	4697	0,0213	0,1081	8374	5781	2593
L00545	1	-46,7766899	-23,6802567	3771	0,0265	0,1081	6802	4728	2074
L00549	1	-46,7905836	-23,6983913	3552	0,0282	0,1081	6142	4535	1607
L00551	1	-46,7827546	-23,6998617	2755	0,0363	0,1081	4627	3392	1235
L00552	3	-46,7867141	-23,6791697	1483	0,2023	0,3243	2634	1909	725
L00555	3	-46,7999759	-23,6870539	3475	0,0863	0,3243	6174	4460	1714
L00557	1	-46,7925723	-23,6791753	147	0,6803	0,1081	271	200	71
L05531	1	-46,7133162	-23,6344474	2027	0,0493	0,1081	3063	2266	797
L05534	4	-46,6930410	-23,6638790	5787	0,0691	0,4324	9716	6724	2992
L05541	3	-46,7153680	-23,6417200	3773	0,0795	0,3243	6610	4390	2220
L05542	1	-46,7071520	-23,6499060	3093	0,0323	0,1081	5733	3640	2093
L05547	2	-46,7031531	-23,6485078	2502	0,0799	0,2162	4597	2896	1701
L05548	1	-46,6996076	-23,6331312	1978	0,0506	0,1081	3388	2288	1100
L05549	1	-46,7057350	-23,6332760	4550	0,022	0,1081	7718	5073	2645
L05550	3	-46,6945706	-23,6304883	5120	0,0586	0,3243	8978	5840	3138
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,1081	8841	5514	3327
L05591	1	-46,4544144	-23,5410443	3621	0,0276	0,1081	6839	4640	2199
L05639	1	-46,6239120	-23,4891654	1527	0,0655	0,1081	2617	1818	799
L05653	1	-46,7091294	-23,5350839	1807	0,0553	0,1081	3207	2079	1128
L05657	1	-46,6883851	-23,5246954	2280	0,0439	0,1081	3964	2619	1345
L05662	1	-46,7545011	-23,5097174	1694	0,059	0,1081	3337	2259	1078
L05702	1	-46,7020044	-23,5462734	1456	0,0687	0,1081	1995	1533	462
L05710	1	-46,6788148	-23,5592954	3381	0,0296	0,1081	5828	3742	2086
L05863	1	-46,6642085	-23,4767719	3809	0,0263	0,1081	7192	4768	2424
