cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00535	3	-46,7885429	-23,6654381	2164	0,1386	4,1667	3718	2707	1011
L00547	11	-46,7885429	-23,6654381	4193	0,2623	15,2778	7471	5355	2116
L00554	3	-46,7932547	-23,6670602	2548	0,1177	4,1667	4491	3254	1237
L00561	1	-46,7797991	-23,6713610	3438	0,0291	1,3889	6027	4213	1814
L05584	1	-46,4623208	-23,5289299	3239	0,0309	1,3889	5568	4191	1377
L05734	1	-46,5478984	-23,5284411	2172	0,046	1,3889	4014	2746	1268
L07753	2	-46,7766842	-23,6395528	2690	0,0743	2,7778	4737	3519	1218
L07755	1	-46,7557573	-23,6290243	3980	0,0251	1,3889	6741	5172	1569
L07757	4	-46,7705606	-23,6467603	3321	0,1204	5,5556	5877	4308	1569
L07758	1	-46,7701188	-23,6470003	3205	0,0312	1,3889	5536	3955	1581
L07763	2	-46,7776614	-23,6511000	4197	0,0477	2,7778	7100	5325	1775
L07773	1	-46,7538973	-23,6349349	4025	0,0248	1,3889	6657	5039	1618
L08328	1	-46,5218639	-23,6015171	3067	0,0326	1,3889	5474	3871	1603
L08337	1	-46,5124860	-23,5891800	2899	0,0345	1,3889	5040	3740	1300
L08346	1	-46,5159118	-23,5981902	1878	0,0532	1,3889	3155	2401	754
L08397	1	-46,3844165	-23,4797530	3246	0,0308	1,3889	5337	4090	1247
L08896	1	-46,7722560	-23,6977360	3286	0,0304	1,3889	5962	4211	1751
L08920	1	-46,7717602	-23,6885585	3458	0,0289	1,3889	6360	4250	2110
L08926	1	-46,7768923	-23,6963317	2699	0,0371	1,3889	4639	3456	1183
L08943	1	-46,7619149	-23,6635947	1581	0,0633	1,3889	2777	2012	765
L08944	2	-46,7869811	-23,6550768	3281	0,061	2,7778	5927	4213	1714
L08951	5	-46,7886418	-23,6575053	2044	0,2446	6,9444	3413	2611	802
L08953	11	-46,7897522	-23,6576515	2681	0,4103	15,2778	4927	3511	1416
L08957	2	-46,7797422	-23,6633017	2939	0,0681	2,7778	5299	3860	1439
L08961	4	-46,7833170	-23,6591080	3489	0,1146	5,5556	6112	4474	1638
L08964	3	-46,7859043	-23,6612756	2404	0,1248	4,1667	4384	2994	1390
L08988	1	-46,7545127	-23,5689070	2999	0,0333	1,3889	5372	3588	1784
L09083	1	-46,4464970	-23,6396360	2818	0,0355	1,3889	4787	3634	1153
L10323	1	-46,7448452	-23,6511623	3217	0,0311	1,3889	5549	3996	1553
L10329	1	-46,7515285	-23,6467951	3583	0,0279	1,3889	6346	4335	2011
L10635	1	-46,6440127	-23,7047708	4681	0,0214	1,3889	8880	6015	2865
L10656	1	-46,6614438	-23,6833579	2638	0,0379	1,3889	4634	3302	1332
