cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,5556	9838	5921	3917
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,5556	8248	4503	3745
L00006	1	-46,6471893	-23,5496488	4359	0,0229	0,5556	8358	5061	3297
L00011	1	-46,6535747	-23,5498948	3808	0,0263	0,5556	7072	4407	2665
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,5556	6283	3656	2627
L00020	1	-46,6376429	-23,5607300	2293	0,0436	0,5556	5052	2698	2354
L00021	2	-46,6419109	-23,5592168	3437	0,0582	1,1111	6548	4013	2535
L00022	2	-46,6521240	-23,5458002	10350	0,0193	1,1111	18525	11583	6942
L00025	1	-46,6380154	-23,5642161	2151	0,0465	0,5556	3803	2547	1256
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,5556	4562	3313	1249
L00041	2	-46,6798996	-23,5306990	2132	0,0938	1,1111	3296	2395	901
L00046	1	-46,6555734	-23,5283610	2335	0,0428	0,5556	4656	2795	1861
L00053	1	-46,6630845	-23,5450242	5945	0,0168	0,5556	9970	6457	3513
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,5556	6470	3731	2739
L00068	1	-46,6432775	-23,5262231	2815	0,0355	0,5556	5403	3409	1994
L00074	1	-46,6370866	-23,5384772	2847	0,0351	0,5556	6133	3437	2696
L00077	1	-46,6228821	-23,5238878	3089	0,0324	0,5556	5985	3756	2229
L00085	1	-46,5978907	-23,5552089	4372	0,0229	0,5556	8050	5269	2781
L00091	2	-46,5964833	-23,5637925	3169	0,0631	1,1111	6188	3786	2402
L00101	3	-46,5902071	-23,5606910	4284	0,07	1,6667	7988	5172	2816
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,5556	7905	5265	2640
L00108	2	-46,5976041	-23,5519593	6779	0,0295	1,1111	11883	7994	3889
L00109	1	-46,6685837	-23,5678112	2042	0,049	0,5556	3574	2207	1367
L00112	1	-46,6747793	-23,5889660	1465	0,0683	0,5556	2322	1627	695
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,5556	8733	5175	3558
L00116	1	-46,6726051	-23,5816669	2385	0,0419	0,5556	4109	2634	1475
L00117	1	-46,6709040	-23,5923207	3151	0,0317	0,5556	5443	3456	1987
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,5556	4205	2672	1533
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,5556	11459	6999	4460
L00131	1	-46,6442337	-23,5847251	4116	0,0243	0,5556	7035	4617	2418
L00135	1	-46,6431906	-23,5719338	4487	0,0223	0,5556	7477	5015	2462
L00142	2	-46,6119113	-23,5742236	2504	0,0799	1,1111	4454	2944	1510
L00143	1	-46,6414511	-23,5858080	2718	0,0368	0,5556	4786	3093	1693
L00152	1	-46,6459660	-23,5746810	3017	0,0331	0,5556	4888	3361	1527
L00154	1	-46,6235069	-23,5745404	4329	0,0231	0,5556	7193	5134	2059
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,5556	5561	4120	1441
L00541	1	-46,7778780	-23,6885051	4697	0,0213	0,5556	8374	5781	2593
L00543	2	-46,7810676	-23,6817954	3950	0,0506	1,1111	6766	5016	1750
L00545	1	-46,7766899	-23,6802567	3771	0,0265	0,5556	6802	4728	2074
L05532	1	-46,7034029	-23,6447800	2886	0,0347	0,5556	4752	3201	1551
L05554	1	-46,4441795	-23,4982353	3546	0,0282	0,5556	6065	4260	1805
L05590	2	-46,4560761	-23,5496358	3285	0,0609	1,1111	6239	4284	1955
L05595	2	-46,4580805	-23,5512840	2564	0,078	1,1111	4400	3342	1058
L05644	2	-46,7293968	-23,5276493	3559	0,0562	1,1111	5915	4024	1891
L05645	1	-46,7037676	-23,5217140	2362	0,0423	0,5556	4257	2725	1532
L05648	1	-46,7032968	-23,5283085	4170	0,024	0,5556	7531	4847	2684
L05658	1	-46,7052733	-23,5150700	2442	0,041	0,5556	4469	2893	1576
L05692	2	-46,7342495	-23,5279924	4939	0,0405	1,1111	7451	5535	1916
L05695	1	-46,6826600	-23,5737124	2079	0,0481	0,5556	3613	2221	1392
L05729	1	-46,5386362	-23,5224127	3595	0,0278	0,5556	7112	4601	2511
L05748	1	-46,5402474	-23,5261748	1467	0,0682	0,5556	2351	1835	516
L05771	1	-46,5727024	-23,5507422	2617	0,0382	0,5556	4908	3111	1797
L05783	2	-46,5747550	-23,5436990	1751	0,1142	1,1111	2933	2099	834
L05792	1	-46,5620492	-23,5418287	1124	0,089	0,5556	1793	1351	442
L05815	1	-46,5904721	-23,5159874	2393	0,0418	0,5556	4362	2917	1445
L05820	1	-46,5663467	-23,5211065	3363	0,0297	0,5556	6296	4358	1938
L05829	1	-46,5663292	-23,5217030	842	0,1188	0,5556	1438	1097	341
L05849	1	-46,6657859	-23,4885740	3928	0,0255	0,5556	7229	4920	2309
L05850	1	-46,6672729	-23,4955761	2587	0,0387	0,5556	4487	3234	1253
L05851	1	-46,6632938	-23,5087770	4242	0,0236	0,5556	7237	4966	2271
L05884	1	-46,6024410	-23,4546385	2320	0,0431	0,5556	3954	2867	1087
L05888	1	-46,5855959	-23,4389881	3768	0,0265	0,5556	6719	4916	1803
L05891	1	-46,5884421	-23,4440711	2609	0,0383	0,5556	4730	3437	1293
L05897	1	-46,5851276	-23,4502408	3003	0,0333	0,5556	5429	3962	1467
L05900	1	-46,5803132	-23,4357702	2733	0,0366	0,5556	5108	3666	1442
L05915	1	-46,6095277	-23,4493251	985	0,1015	0,5556	1561	1165	396
L05928	1	-46,5582100	-23,5739759	2347	0,0426	0,5556	4461	2967	1494
L05930	1	-46,5620004	-23,5788819	2521	0,0397	0,5556	4889	3094	1795
L05934	1	-46,5733889	-23,5841252	2885	0,0347	0,5556	5165	3545	1620
L05975	1	-46,6709636	-23,6171214	2324	0,043	0,5556	3817	2641	1176
L05977	1	-46,6702545	-23,6470231	3091	0,0324	0,5556	4695	3516	1179
L05982	1	-46,6821455	-23,6155051	5201	0,0192	0,5556	8875	5878	2997
L05985	1	-46,6850791	-23,6183057	3742	0,0267	0,5556	6558	4258	2300
L05996	1	-46,6390563	-23,5354119	3573	0,028	0,5556	6373	4095	2278
L06000	1	-46,6362275	-23,5988254	5755	0,0174	0,5556	9671	6446	3225
L06017	1	-46,6348198	-23,6125399	2346	0,0426	0,5556	4142	2720	1422
L06038	1	-46,6043324	-23,5881805	4423	0,0226	0,5556	7818	5323	2495
L06698	1	-46,7036392	-23,6912906	1005	0,0995	0,5556	1575	1209	366
L07577	1	-46,6419142	-23,6629092	3221	0,031	0,5556	5894	4037	1857
L07583	1	-46,6477955	-23,6558420	3661	0,0273	0,5556	6289	4390	1899
L07585	1	-46,6489412	-23,6630793	4484	0,0223	0,5556	7661	5544	2117
L07594	1	-46,6408225	-23,6457886	2578	0,0388	0,5556	4645	3018	1627
L07598	1	-46,6392154	-23,6408466	3709	0,027	0,5556	6533	4338	2195
L07671	1	-46,7225558	-23,4963064	2986	0,0335	0,5556	5033	3579	1454
L07687	1	-46,4932576	-23,4894062	1193	0,0838	0,5556	2023	1548	475
L07745	1	-46,7009225	-23,4890145	828	0,1208	0,5556	1398	1020	378
L07760	1	-46,7556667	-23,6404221	3739	0,0267	0,5556	6385	4685	1700
L08185	1	-46,7191286	-23,6260213	1988	0,0503	0,5556	3164	2315	849
L08186	2	-46,7043257	-23,6097843	2189	0,0914	1,1111	3576	2546	1030
L08195	1	-46,7277361	-23,6045363	3437	0,0291	0,5556	5923	4007	1916
L08238	1	-46,5056207	-23,5405406	972	0,1029	0,5556	1635	1239	396
L08259	2	-46,5081299	-23,5436866	2539	0,0788	1,1111	4640	3247	1393
L08261	2	-46,5328060	-23,5351986	2423	0,0825	1,1111	4244	2978	1266
L08335	1	-46,5288900	-23,6093393	3208	0,0312	0,5556	5889	4085	1804
L08342	1	-46,5266764	-23,5902384	2424	0,0413	0,5556	4325	3078	1247
L08351	1	-46,5255369	-23,5976545	4099	0,0244	0,5556	7280	5240	2040
L08436	1	-46,4107031	-23,5355506	3955	0,0253	0,5556	7305	5186	2119
L08437	1	-46,3986836	-23,5531127	1923	0,052	0,5556	3328	2531	797
L08456	1	-46,4126165	-23,5416929	2557	0,0391	0,5556	4651	3173	1478
L08850	2	-46,6964318	-23,7396716	3205	0,0624	1,1111	5411	4075	1336
L08869	1	-46,6976128	-23,7478250	3454	0,029	0,5556	5909	4430	1479
L08874	1	-46,6701917	-23,7428868	5030	0,0199	0,5556	8684	6561	2123
L08881	1	-46,7044858	-23,7451062	1853	0,054	0,5556	2879	2295	584
L08891	1	-46,7705221	-23,7208213	4451	0,0225	0,5556	7568	5541	2027
L08900	1	-46,7459944	-23,6760859	3870	0,0258	0,5556	6211	4807	1404
L08931	1	-46,7926628	-23,7318431	4353	0,023	0,5556	7513	5588	1925
L08938	2	-46,7563790	-23,6782580	1306	0,1531	1,1111	2186	1665	521
L08941	1	-46,7584936	-23,6672249	1847	0,0541	0,5556	3218	2371	847
L09007	2	-46,7358487	-23,5809482	3036	0,0659	1,1111	5300	3546	1754
L09030	1	-46,7523220	-23,5457302	936	0,1068	0,5556	1788	1263	525
L09063	1	-46,4785920	-23,6052751	3582	0,0279	0,5556	6447	4604	1843
L09077	1	-46,4645811	-23,6112224	3566	0,028	0,5556	6521	4469	2052
L09111	1	-46,6780978	-23,4504874	2994	0,0334	0,5556	5456	3938	1518
L09118	2	-46,6795279	-23,4641832	7883	0,0254	1,1111	15183	10348	4835
L09144	1	-46,7035177	-23,4614133	1057	0,0946	0,5556	1938	1370	568
L09324	1	-46,6807410	-23,7669661	7735	0,0129	0,5556	13259	9980	3279
L09330	1	-46,7376117	-23,8118259	2470	0,0405	0,5556	4187	3091	1096
L09337	2	-46,7106055	-23,7451522	2081	0,0961	1,1111	3438	2605	833
L09342	1	-46,6978953	-23,8459940	2662	0,0376	0,5556	4306	3337	969
