cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	2	-46,6357754	-23,5454496	744	0,2688	0,0736	1384	845	539
L00002	4	-46,6458082	-23,5644282	2271	0,1761	0,1471	3779	2548	1231
L00003	3	-46,6455650	-23,5547500	3290	0,0912	0,1103	5696	3792	1904
L00004	5	-46,6511260	-23,5652103	5298	0,0944	0,1839	9838	5921	3917
L00005	3	-46,6603762	-23,5406137	4082	0,0735	0,1103	8248	4503	3745
L00006	4	-46,6471893	-23,5496488	4359	0,0918	0,1471	8358	5061	3297
L00007	4	-46,6432717	-23,5529543	1958	0,2043	0,1471	3791	2317	1474
L00008	5	-46,6464095	-23,5560819	3643	0,1372	0,1839	6983	4278	2705
L00009	9	-46,6401698	-23,5538581	823	1,0936	0,331	1409	943	466
L00010	4	-46,6355899	-23,5623979	2996	0,1335	0,1471	5666	3638	2028
L00011	5	-46,6535747	-23,5498948	3808	0,1313	0,1839	7072	4407	2665
L00012	9	-46,6461964	-23,5700830	3252	0,2768	0,331	6283	3656	2627
L00013	9	-46,6421456	-23,5572933	2899	0,3105	0,331	5416	3426	1990
L00014	3	-46,6289218	-23,5548030	2700	0,1111	0,1103	5182	3459	1723
L00015	7	-46,6368132	-23,5574886	3591	0,1949	0,2574	7151	4273	2878
L00016	11	-46,6361305	-23,5497845	2669	0,4121	0,4046	5297	3132	2165
L00018	7	-46,6419109	-23,5592168	3389	0,2066	0,2574	7001	3906	3095
L00019	2	-46,6376429	-23,5607300	2664	0,0751	0,0736	5259	3125	2134
L00020	4	-46,6376429	-23,5607300	2293	0,1744	0,1471	5052	2698	2354
L00021	4	-46,6419109	-23,5592168	3437	0,1164	0,1471	6548	4013	2535
L00022	17	-46,6521240	-23,5458002	10350	0,1643	0,6252	18525	11583	6942
L00023	1	-46,6498912	-23,5493645	2834	0,0353	0,0368	4909	3201	1708
L00024	2	-46,6497533	-23,5485991	1896	0,1055	0,0736	3234	2130	1104
L00025	2	-46,6380154	-23,5642161	2151	0,093	0,0736	3803	2547	1256
L00027	14	-46,6368084	-23,5498480	2635	0,5313	0,5149	5430	3072	2358
L00029	4	-46,6858903	-23,5271427	1846	0,2167	0,1471	2661	2067	594
L00030	4	-46,6716846	-23,5278546	4168	0,096	0,1471	8123	4653	3470
L00031	2	-46,6872489	-23,5323018	3785	0,0528	0,0736	5622	4272	1350
L00032	3	-46,6564979	-23,5376940	1668	0,1799	0,1103	2471	1844	627
L00033	2	-46,6545420	-23,5418060	2940	0,068	0,0736	4562	3313	1249
L00034	5	-46,6605264	-23,5415277	5254	0,0952	0,1839	7993	5767	2226
L00035	1	-46,6800459	-23,5481021	3932	0,0254	0,0368	6405	4313	2092
L00036	3	-46,6671104	-23,5303076	1611	0,1862	0,1103	3037	1845	1192
L00037	4	-46,6566164	-23,5307137	3471	0,1152	0,1471	6463	3952	2511
L00038	9	-46,6844226	-23,5340373	3156	0,2852	0,331	5271	3545	1726
L00039	5	-46,6663954	-23,5361229	5419	0,0923	0,1839	8062	5901	2161
L00040	1	-46,6597606	-23,5452831	1062	0,0942	0,0368	1577	1160	417
L00041	5	-46,6798996	-23,5306990	2132	0,2345	0,1839	3296	2395	901
L00042	4	-46,6513283	-23,5415864	1556	0,2571	0,1471	2631	1843	788
L00043	3	-46,6853794	-23,5386780	2698	0,1112	0,1103	4613	3033	1580
