cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,2415	6470	3731	2739
L00078	1	-46,6212238	-23,5429654	2774	0,036	0,2415	5496	3398	2098
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,2415	8807	6387	2420
L00101	2	-46,5902071	-23,5606910	4284	0,0467	0,4831	7988	5172	2816
L05552	7	-46,4488381	-23,4906612	2090	0,3349	1,6908	3620	2620	1000
L05553	52	-46,4351534	-23,5022679	3506	1,4832	12,5604	6236	4381	1855
L05554	36	-46,4441795	-23,4982353	3546	1,0152	8,6957	6065	4260	1805
L05555	1	-46,4398111	-23,5068607	1270	0,0787	0,2415	2259	1566	693
L05556	16	-46,4403512	-23,4942325	2553	0,6267	3,8647	4433	3067	1366
L05557	25	-46,4452179	-23,4993366	2352	1,0629	6,0386	3986	2897	1089
L05558	5	-46,4234630	-23,5085168	3758	0,133	1,2077	6529	4735	1794
L05559	1	-46,4198222	-23,5098866	1943	0,0515	0,2415	3330	2529	801
L05561	6	-46,4389924	-23,5145862	3097	0,1937	1,4493	5489	4147	1342
L05562	1	-46,4459517	-23,5057536	2705	0,037	0,2415	4642	3367	1275
L05563	6	-46,4331534	-23,4945484	2753	0,2179	1,4493	4924	3393	1531
L05564	8	-46,4259779	-23,5162635	4083	0,1959	1,9324	6687	5009	1678
L05565	3	-46,4195668	-23,5172129	2191	0,1369	0,7246	3749	2826	923
L05566	18	-46,4352447	-23,5020281	2851	0,6314	4,3478	4735	3521	1214
L05567	7	-46,4215117	-23,5013996	3622	0,1933	1,6908	6083	4594	1489
L05568	13	-46,4300003	-23,4998815	2971	0,4376	3,1401	5227	3654	1573
L05569	7	-46,4407439	-23,4944067	1547	0,4525	1,6908	2737	1890	847
L05570	30	-46,4345329	-23,5094734	3688	0,8134	7,2464	6309	4565	1744
L05571	3	-46,4218866	-23,5204965	2679	0,112	0,7246	4440	3324	1116
L05573	8	-46,4192720	-23,4963124	2328	0,3436	1,9324	4347	2982	1365
L05574	13	-46,4424219	-23,4946443	1702	0,7638	3,1401	3011	2169	842
L05576	1	-46,4220218	-23,5011268	1232	0,0812	0,2415	1990	1570	420
L05579	3	-46,4415141	-23,5227656	2072	0,1448	0,7246	3867	2846	1021
L05581	1	-46,4522081	-23,5171617	3935	0,0254	0,2415	6924	5015	1909
L05585	1	-46,4451845	-23,5472188	2365	0,0423	0,2415	4123	3094	1029
L05587	1	-46,4443497	-23,5387667	3161	0,0316	0,2415	5471	4127	1344
L05588	1	-46,4326641	-23,5174330	2595	0,0385	0,2415	4297	3303	994
L05592	1	-46,4528483	-23,5265608	3373	0,0296	0,2415	6254	4448	1806
L05601	1	-46,4359061	-23,5226454	2327	0,043	0,2415	4159	3108	1051
L05602	3	-46,4402958	-23,5148095	3394	0,0884	0,7246	6298	4377	1921
L05737	1	-46,4989941	-23,5275262	2079	0,0481	0,2415	3862	2632	1230
L05739	3	-46,4991515	-23,5296706	3000	0,1	0,7246	5527	3909	1618
L05753	1	-46,5571310	-23,5490160	3586	0,0279	0,2415	6008	4212	1796
L05775	1	-46,5662223	-23,5472777	2792	0,0358	0,2415	5162	3308	1854
L05779	1	-46,5006634	-23,5840738	2450	0,0408	0,2415	4426	3133	1293
L05795	1	-46,5630428	-23,5455348	2537	0,0394	0,2415	4283	2957	1326
L05821	1	-46,5830638	-23,5000382	2451	0,0408	0,2415	4154	2865	1289
L05829	1	-46,5663292	-23,5217030	842	0,1188	0,2415	1438	1097	341
L05991	1	-46,6608489	-23,6330376	3246	0,0308	0,2415	5977	3853	2124
L07584	1	-46,6320328	-23,6429320	2322	0,0431	0,2415	3693	2812	881
L07689	1	-46,4919582	-23,5063549	2108	0,0474	0,2415	3605	2714	891
