cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00016	2	-46,6361305	-23,5497845	2669	0,0749	1,3889	5297	3132	2165
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,6944	7001	3906	3095
L00021	1	-46,6419109	-23,5592168	3437	0,0291	0,6944	6548	4013	2535
L00022	1	-46,6521240	-23,5458002	10350	0,0097	0,6944	18525	11583	6942
L00027	2	-46,6368084	-23,5498480	2635	0,0759	1,3889	5430	3072	2358
L00063	1	-46,6343483	-23,5436627	2624	0,0381	0,6944	5154	3085	2069
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,6944	11459	6999	4460
L00534	3	-46,7872371	-23,6773522	3311	0,0906	2,0833	5703	4173	1530
L00536	1	-46,7920187	-23,6867819	3212	0,0311	0,6944	5561	4120	1441
L00539	1	-46,7886237	-23,6861459	4146	0,0241	0,6944	7243	5328	1915
L00542	2	-46,7901616	-23,6750896	3768	0,0531	1,3889	6810	4643	2167
L00543	1	-46,7810676	-23,6817954	3950	0,0253	0,6944	6766	5016	1750
L00547	5	-46,7885429	-23,6654381	4193	0,1192	3,4722	7471	5355	2116
L00553	4	-46,7839538	-23,6721527	1679	0,2382	2,7778	2758	2071	687
L00561	2	-46,7797991	-23,6713610	3438	0,0582	1,3889	6027	4213	1814
L05697	1	-46,6950038	-23,5603746	3405	0,0294	0,6944	5468	3675	1793
L05728	1	-46,5180445	-23,5238771	2335	0,0428	0,6944	4138	2919	1219
L05784	1	-46,5810636	-23,5390713	1123	0,089	0,6944	1806	1332	474
L05815	2	-46,5904721	-23,5159874	2393	0,0836	1,3889	4362	2917	1445
L05887	1	-46,6220405	-23,4613396	2348	0,0426	0,6944	4444	2795	1649
L05927	1	-46,5596293	-23,5771217	1915	0,0522	0,6944	3103	2398	705
L05930	2	-46,5620004	-23,5788819	2521	0,0793	1,3889	4889	3094	1795
L06668	1	-46,7079679	-23,7294845	5089	0,0197	0,6944	8445	6409	2036
L06670	1	-46,6957864	-23,7324947	2610	0,0383	0,6944	4188	3289	899
L07710	1	-46,4820150	-23,5058752	1072	0,0933	0,6944	1843	1332	511
L07722	1	-46,7100048	-23,4798680	2502	0,04	0,6944	4590	3267	1323
L07751	1	-46,7857380	-23,6492250	2439	0,041	0,6944	4196	3122	1074
L07753	1	-46,7766842	-23,6395528	2690	0,0372	0,6944	4737	3519	1218
L07761	1	-46,7758320	-23,6436922	4304	0,0232	0,6944	7784	5385	2399
L07762	1	-46,7860069	-23,6438270	3683	0,0272	0,6944	6454	4825	1629
L07766	2	-46,7870213	-23,6430817	3412	0,0586	1,3889	6214	4373	1841
L07768	1	-46,7739779	-23,6330684	2361	0,0424	0,6944	4577	2954	1623
L07772	1	-46,7607719	-23,6385695	2910	0,0344	0,6944	5170	3706	1464
L08215	1	-46,7348652	-23,5978430	906	0,1104	0,6944	1570	1117	453
L08379	1	-46,4032172	-23,4985582	2538	0,0394	0,6944	4585	3259	1326
L08846	1	-46,6604530	-23,7438933	5276	0,019	0,6944	8555	6524	2031
L08892	1	-46,7732050	-23,6978420	1070	0,0935	0,6944	1790	1342	448
L08896	1	-46,7722560	-23,6977360	3286	0,0304	0,6944	5962	4211	1751
L08941	1	-46,7584936	-23,6672249	1847	0,0541	0,6944	3218	2371	847
L08942	1	-46,7709966	-23,6560362	1558	0,0642	0,6944	2772	2007	765
L08943	1	-46,7619149	-23,6635947	1581	0,0633	0,6944	2777	2012	765
L08944	22	-46,7869811	-23,6550768	3281	0,6705	15,2778	5927	4213	1714
L08950	1	-46,7904828	-23,6530515	1902	0,0526	0,6944	3059	2375	684
L08951	11	-46,7886418	-23,6575053	2044	0,5382	7,6389	3413	2611	802
L08952	1	-46,7676270	-23,6679840	4298	0,0233	0,6944	7695	5421	2274
L08953	14	-46,7897522	-23,6576515	2681	0,5222	9,7222	4927	3511	1416
L08954	2	-46,7664599	-23,6622186	3884	0,0515	1,3889	7168	4912	2256
L08957	1	-46,7797422	-23,6633017	2939	0,034	0,6944	5299	3860	1439
L08958	1	-46,7594862	-23,6585655	2498	0,04	0,6944	4132	3123	1009
L08961	6	-46,7833170	-23,6591080	3489	0,172	4,1667	6112	4474	1638
L08964	8	-46,7859043	-23,6612756	2404	0,3328	5,5556	4384	2994	1390
L08965	1	-46,7675970	-23,6617050	4014	0,0249	0,6944	7021	5104	1917
L08970	1	-46,7496719	-23,5825103	2692	0,0371	0,6944	4652	3312	1340
L09677	1	-46,7928284	-23,4298912	2395	0,0418	0,6944	3987	2948	1039
L09682	1	-46,7892030	-23,4388604	2519	0,0397	0,6944	4252	3196	1056
L09928	1	-46,4200714	-23,4802190	3350	0,0299	0,6944	5654	4131	1523
L09939	1	-46,4058353	-23,5217846	3328	0,03	0,6944	5634	4378	1256
L09945	1	-46,4180582	-23,4867289	3677	0,0272	0,6944	6336	4651	1685
L09952	1	-46,4147903	-23,4834509	2133	0,0469	0,6944	3499	2769	730
L09955	1	-46,4581061	-23,4953823	1783	0,0561	0,6944	3145	2251	894
L09962	1	-46,4551140	-23,5001057	2153	0,0464	0,6944	3785	2650	1135
L10202	2	-46,4258475	-23,5516624	1476	0,1355	1,3889	2694	1997	697
L10315	1	-46,7329180	-23,6456264	3655	0,0274	0,6944	6542	4487	2055
L10316	1	-46,7406208	-23,6440978	2363	0,0423	0,6944	4428	2886	1542
L10324	2	-46,7404239	-23,6491380	3708	0,0539	1,3889	6560	4602	1958
L10331	1	-46,7579377	-23,6506764	1781	0,0561	0,6944	3012	2171	841
L10644	1	-46,6556236	-23,6824021	2836	0,0353	0,6944	4936	3557	1379
L10666	1	-46,6654170	-23,6770470	2516	0,0397	0,6944	4411	3162	1249
L10756	1	-46,5031776	-23,6019735	4100	0,0244	0,6944	6948	5368	1580
