cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L05553	9	-46,4351534	-23,5022679	3506	0,2567	7,0866	6236	4381	1855
L05554	13	-46,4441795	-23,4982353	3546	0,3666	10,2362	6065	4260	1805
L05555	1	-46,4398111	-23,5068607	1270	0,0787	0,7874	2259	1566	693
L05556	6	-46,4403512	-23,4942325	2553	0,235	4,7244	4433	3067	1366
L05558	1	-46,4234630	-23,5085168	3758	0,0266	0,7874	6529	4735	1794
L05562	2	-46,4459517	-23,5057536	2705	0,0739	1,5748	4642	3367	1275
L05563	5	-46,4331534	-23,4945484	2753	0,1816	3,937	4924	3393	1531
L05566	1	-46,4352447	-23,5020281	2851	0,0351	0,7874	4735	3521	1214
L05567	2	-46,4215117	-23,5013996	3622	0,0552	1,5748	6083	4594	1489
L05568	2	-46,4300003	-23,4998815	2971	0,0673	1,5748	5227	3654	1573
L05569	2	-46,4407439	-23,4944067	1547	0,1293	1,5748	2737	1890	847
L05570	1	-46,4345329	-23,5094734	3688	0,0271	0,7874	6309	4565	1744
L05571	2	-46,4218866	-23,5204965	2679	0,0747	1,5748	4440	3324	1116
L05574	2	-46,4424219	-23,4946443	1702	0,1175	1,5748	3011	2169	842
L05577	2	-46,4390699	-23,4987794	622	0,3215	1,5748	1101	766	335
L05581	1	-46,4522081	-23,5171617	3935	0,0254	0,7874	6924	5015	1909
L05589	1	-46,4544868	-23,5471412	2039	0,049	0,7874	3417	2606	811
L05590	1	-46,4560761	-23,5496358	3285	0,0304	0,7874	6239	4284	1955
L05595	2	-46,4580805	-23,5512840	2564	0,078	1,5748	4400	3342	1058
L05736	1	-46,5179226	-23,5228086	3663	0,0273	0,7874	6711	4640	2071
L05742	1	-46,5211173	-23,5214041	2853	0,0351	0,7874	5266	3603	1663
L05764	1	-46,5738227	-23,5337115	1764	0,0567	0,7874	3163	2131	1032
L05926	2	-46,5852470	-23,5802350	4531	0,0441	1,5748	8206	5391	2815
L05950	1	-46,5543296	-23,5793590	3947	0,0253	0,7874	7538	4962	2576
L07683	1	-46,4716478	-23,4993793	1880	0,0532	0,7874	3092	2381	711
L07763	1	-46,7776614	-23,6511000	4197	0,0238	0,7874	7100	5325	1775
L08206	1	-46,7371220	-23,5927960	2484	0,0403	0,7874	4358	3007	1351
L08250	1	-46,5370743	-23,5335666	1855	0,0539	0,7874	3292	2341	951
L08345	1	-46,5147192	-23,6040731	1897	0,0527	0,7874	3330	2446	884
L08382	2	-46,3763198	-23,4939856	3628	0,0551	1,5748	6476	4624	1852
L08386	1	-46,3879010	-23,5188440	3845	0,026	0,7874	6696	5024	1672
L08387	2	-46,3754478	-23,4964448	3203	0,0624	1,5748	5688	4215	1473
L08393	1	-46,3905136	-23,4921738	2500	0,04	0,7874	4429	3299	1130
L08395	1	-46,3832792	-23,5056992	1754	0,057	0,7874	3113	2293	820
L08396	1	-46,3830556	-23,4914097	2865	0,0349	0,7874	5005	3783	1222
L08403	1	-46,3988792	-23,5093492	2345	0,0426	0,7874	4153	3085	1068
L08418	1	-46,3817906	-23,5034832	3675	0,0272	0,7874	6492	4833	1659
L08431	1	-46,4023983	-23,5435780	3363	0,0297	0,7874	5917	4490	1427
L08435	1	-46,4142302	-23,5447436	2123	0,0471	0,7874	4075	2620	1455
L08436	1	-46,4107031	-23,5355506	3955	0,0253	0,7874	7305	5186	2119
L08440	1	-46,4091642	-23,5275663	2973	0,0336	0,7874	5298	3892	1406
L08442	2	-46,3994934	-23,5325352	3824	0,0523	1,5748	7163	5062	2101
L08444	1	-46,3977921	-23,5358129	2757	0,0363	0,7874	5165	3761	1404
L08461	1	-46,4228459	-23,5390975	2171	0,0461	0,7874	3128	2231	897
L09715	1	-46,5417660	-23,5078996	2268	0,0441	0,7874	4139	2897	1242
L09717	1	-46,4987106	-23,5049643	2292	0,0436	0,7874	3848	2901	947
L09723	2	-46,5113293	-23,5018991	844	0,237	1,5748	1412	1106	306
L09754	1	-46,4761598	-23,5359998	2662	0,0376	0,7874	4728	3332	1396
L09756	1	-46,5035712	-23,5158497	3180	0,0314	0,7874	5593	4105	1488
L09761	1	-46,4834160	-23,5237351	1233	0,0811	0,7874	2151	1608	543
L09764	1	-46,4678340	-23,5355610	3575	0,028	0,7874	6685	4497	2188
L09765	1	-46,4693922	-23,5224683	3655	0,0274	0,7874	6254	4742	1512
L09771	2	-46,4943893	-23,5089738	3192	0,0627	1,5748	5877	3982	1895
L09927	2	-46,4105791	-23,5212702	3639	0,055	1,5748	6418	4656	1762
L09931	1	-46,4248518	-23,4746436	3594	0,0278	0,7874	5847	4535	1312
L09960	1	-46,4662456	-23,5033514	2103	0,0476	0,7874	3666	2754	912
L09962	2	-46,4551140	-23,5001057	2153	0,0929	1,5748	3785	2650	1135
L09966	1	-46,4707463	-23,5183632	1412	0,0708	0,7874	2465	1865	600
L09967	3	-46,4485753	-23,5009963	2271	0,1321	2,3622	3893	2812	1081
L09975	1	-46,4600054	-23,5113119	1114	0,0898	0,7874	2009	1504	505
L09977	1	-46,4632140	-23,5043519	858	0,1166	0,7874	1459	1097	362
L09979	1	-46,4533158	-23,4993370	3973	0,0252	0,7874	6808	4929	1879
L10163	2	-46,3993980	-23,5747215	2015	0,0993	1,5748	3611	2678	933
L10166	1	-46,4073307	-23,5666032	3346	0,0299	0,7874	5875	4258	1617
L10173	2	-46,4070213	-23,5656205	2817	0,071	1,5748	4782	3657	1125
L10197	1	-46,3997870	-23,5705358	1901	0,0526	0,7874	3155	2448	707
L10200	1	-46,4077080	-23,5934470	2037	0,0491	0,7874	3462	2558	904
L10204	1	-46,4437362	-23,5536130	3367	0,0297	0,7874	5872	4414	1458
L10208	1	-46,4337487	-23,5491681	3521	0,0284	0,7874	6483	4451	2032
L10209	1	-46,4412380	-23,5517239	2465	0,0406	0,7874	4185	3101	1084
L10613	1	-46,4813947	-23,5513733	2971	0,0337	0,7874	4901	3803	1098
L10718	1	-46,5859510	-23,4876316	2245	0,0445	0,7874	4064	2964	1100
L10744	2	-46,5101702	-23,6058819	5877	0,034	1,5748	10885	7744	3141
L10756	1	-46,5031776	-23,6019735	4100	0,0244	0,7874	6948	5368	1580
L10758	1	-46,5007848	-23,6042677	3731	0,0268	0,7874	6630	4687	1943
L10762	2	-46,5016183	-23,6011869	3850	0,0519	1,5748	6508	4865	1643
