cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00002	1	-46,6458082	-23,5644282	2271	0,044	0,2427	3779	2548	1231
L00018	1	-46,6419109	-23,5592168	3389	0,0295	0,2427	7001	3906	3095
L00020	1	-46,6376429	-23,5607300	2293	0,0436	0,2427	5052	2698	2354
L00023	3	-46,6498912	-23,5493645	2834	0,1059	0,7282	4909	3201	1708
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,2427	5622	4272	1350
L00038	2	-46,6844226	-23,5340373	3156	0,0634	0,4854	5271	3545	1726
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,2427	4613	3033	1580
L00046	2	-46,6555734	-23,5283610	2335	0,0857	0,4854	4656	2795	1861
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,2427	8065	5186	2879
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,2427	5602	3572	2030
L00053	4	-46,6630845	-23,5450242	5945	0,0673	0,9709	9970	6457	3513
L00055	1	-46,6566164	-23,5307137	5271	0,019	0,2427	9323	6035	3288
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,2427	4093	2814	1279
L00060	1	-46,6711550	-23,5381000	10857	0,0092	0,2427	17946	11853	6093
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,2427	4267	2744	1523
L00080	1	-46,5869070	-23,5756756	3323	0,0301	0,2427	5823	3854	1969
L00084	1	-46,5895134	-23,5593568	5301	0,0189	0,2427	8807	6387	2420
L00085	1	-46,5978907	-23,5552089	4372	0,0229	0,2427	8050	5269	2781
L00100	1	-46,5637915	-23,5715671	2872	0,0348	0,2427	5130	3619	1511
L00102	2	-46,5979424	-23,5532296	4622	0,0433	0,4854	8563	5548	3015
L00111	3	-46,6590182	-23,5634584	7550	0,0397	0,7282	13488	8273	5215
L00113	1	-46,6642690	-23,5638420	4708	0,0212	0,2427	8733	5175	3558
L00115	3	-46,6759394	-23,5867575	1860	0,1613	0,7282	3357	2042	1315
L00116	2	-46,6726051	-23,5816669	2385	0,0839	0,4854	4109	2634	1475
L00117	2	-46,6709040	-23,5923207	3151	0,0635	0,4854	5443	3456	1987
L00120	2	-46,6758302	-23,6004582	2006	0,0997	0,4854	3761	2276	1485
L00121	1	-46,6790390	-23,5798975	3855	0,0259	0,2427	7199	4264	2935
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,2427	4205	2672	1533
L00124	1	-46,6605835	-23,5566944	5697	0,0176	0,2427	10701	6297	4404
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,2427	11459	6999	4460
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,2427	6994	4384	2610
L00129	2	-46,6486232	-23,5813704	3537	0,0565	0,4854	5654	3970	1684
L00130	1	-46,6437100	-23,5775691	2213	0,0452	0,2427	3690	2443	1247
L00131	2	-46,6442337	-23,5847251	4116	0,0486	0,4854	7035	4617	2418
L00132	2	-46,6416210	-23,5785510	4598	0,0435	0,4854	7651	5166	2485
L00134	4	-46,6358455	-23,5895447	4856	0,0824	0,9709	8425	5454	2971
L00136	1	-46,6234512	-23,5608329	4167	0,024	0,2427	7421	4897	2524
L00139	2	-46,6500347	-23,5703394	1246	0,1605	0,4854	1910	1375	535
L00142	1	-46,6119113	-23,5742236	2504	0,0399	0,2427	4454	2944	1510
L00143	3	-46,6414511	-23,5858080	2718	0,1104	0,7282	4786	3093	1693
L00146	1	-46,6223857	-23,5681693	2480	0,0403	0,2427	4585	2913	1672
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,2427	5565	3493	2072
L00148	1	-46,6273889	-23,5872670	4439	0,0225	0,2427	7836	5122	2714
L00152	1	-46,6459660	-23,5746810	3017	0,0331	0,2427	4888	3361	1527
L00153	4	-46,6399206	-23,5899717	4323	0,0925	0,9709	6624	4826	1798
L00154	3	-46,6235069	-23,5745404	4329	0,0693	0,7282	7193	5134	2059
L00156	1	-46,6397771	-23,5727404	4608	0,0217	0,2427	8784	5242	3542
L00541	3	-46,7778780	-23,6885051	4697	0,0639	0,7282	8374	5781	2593
L05530	1	-46,7007739	-23,6497088	5044	0,0198	0,2427	8236	5638	2598
L05532	1	-46,7034029	-23,6447800	2886	0,0347	0,2427	4752	3201	1551
L05533	1	-46,7012118	-23,6454413	2673	0,0374	0,2427	4610	2961	1649
L05534	5	-46,6930410	-23,6638790	5787	0,0864	1,2136	9716	6724	2992
L05535	1	-46,6912424	-23,6607866	3055	0,0327	0,2427	4525	3449	1076
L05536	6	-46,6821350	-23,6631782	5321	0,1128	1,4563	8921	6173	2748
L05538	1	-46,6809074	-23,6663068	3075	0,0325	0,2427	5073	3651	1422
L05539	1	-46,7155893	-23,6513354	1889	0,0529	0,2427	3179	2190	989
L05543	3	-46,6875690	-23,6745424	2821	0,1063	0,7282	4627	3474	1153
L05545	2	-46,6998999	-23,6559182	2564	0,078	0,4854	3946	2911	1035
L05546	1	-46,6816306	-23,6713892	1359	0,0736	0,2427	2062	1643	419
L05548	4	-46,6996076	-23,6331312	1978	0,2022	0,9709	3388	2288	1100
L05549	1	-46,7057350	-23,6332760	4550	0,022	0,2427	7718	5073	2645
L05550	2	-46,6945706	-23,6304883	5120	0,0391	0,4854	8978	5840	3138
L05551	1	-46,7022860	-23,6510126	4767	0,021	0,2427	8841	5514	3327
L05563	1	-46,4331534	-23,4945484	2753	0,0363	0,2427	4924	3393	1531
L05584	1	-46,4623208	-23,5289299	3239	0,0309	0,2427	5568	4191	1377
L05596	1	-46,4536228	-23,5552304	3671	0,0272	0,2427	6672	4852	1820
L05630	1	-46,6433628	-23,5013965	1299	0,077	0,2427	2306	1568	738
L05651	1	-46,7004969	-23,5385244	1604	0,0623	0,2427	2858	1850	1008
L05657	1	-46,6883851	-23,5246954	2280	0,0439	0,2427	3964	2619	1345
L05669	1	-46,7164216	-23,5283737	1777	0,0563	0,2427	3016	2011	1005
L05691	1	-46,7186092	-23,5246136	1648	0,0607	0,2427	2675	1868	807
L05696	1	-46,6826600	-23,5737124	2813	0,0355	0,2427	4397	3021	1376
L05697	1	-46,6950038	-23,5603746	3405	0,0294	0,2427	5468	3675	1793
L05702	1	-46,7020044	-23,5462734	1456	0,0687	0,2427	1995	1533	462
L05704	1	-46,7169080	-23,5430685	2482	0,0403	0,2427	4378	2777	1601
L05706	1	-46,6827388	-23,5501422	2508	0,0399	0,2427	4043	2732	1311
L05709	1	-46,6896173	-23,5508030	2889	0,0346	0,2427	4742	3138	1604
L05714	3	-46,6896585	-23,5656255	1173	0,2558	0,7282	1972	1294	678
L05717	2	-46,6818722	-23,5560723	2822	0,0709	0,4854	4697	3062	1635
L05719	1	-46,6976578	-23,5648688	2714	0,0368	0,2427	4719	3052	1667
L05733	1	-46,5480210	-23,5212900	2116	0,0473	0,2427	4002	2723	1279
