cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,0649	8248	4503	3745
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,0649	5666	3638	2028
L00022	3	-46,6521240	-23,5458002	10350	0,029	0,1948	18525	11583	6942
L00024	1	-46,6497533	-23,5485991	1896	0,0527	0,0649	3234	2130	1104
L00030	2	-46,6716846	-23,5278546	4168	0,048	0,1299	8123	4653	3470
L00031	1	-46,6872489	-23,5323018	3785	0,0264	0,0649	5622	4272	1350
L00033	1	-46,6545420	-23,5418060	2940	0,034	0,0649	4562	3313	1249
L00034	1	-46,6605264	-23,5415277	5254	0,019	0,0649	7993	5767	2226
L00036	2	-46,6671104	-23,5303076	1611	0,1241	0,1299	3037	1845	1192
L00037	1	-46,6566164	-23,5307137	3471	0,0288	0,0649	6463	3952	2511
L00039	1	-46,6663954	-23,5361229	5419	0,0185	0,0649	8062	5901	2161
L00040	1	-46,6597606	-23,5452831	1062	0,0942	0,0649	1577	1160	417
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,0649	4613	3033	1580
L00044	2	-46,6566305	-23,5207777	1534	0,1304	0,1299	2722	1815	907
L00045	1	-46,6523017	-23,5318175	2128	0,047	0,0649	3940	2485	1455
L00047	3	-46,6419486	-23,5325337	1033	0,2904	0,1948	1992	1229	763
L00048	1	-46,6841353	-23,5370181	2501	0,04	0,0649	3771	2812	959
L00049	2	-46,6806583	-23,5307166	4578	0,0437	0,1299	8065	5186	2879
L00051	1	-46,6946005	-23,5421890	3052	0,0328	0,0649	5602	3572	2030
L00054	1	-46,6650200	-23,5361422	1083	0,0923	0,0649	1605	1172	433
L00055	3	-46,6566164	-23,5307137	5271	0,0569	0,1948	9323	6035	3288
L00057	1	-46,6510689	-23,5302066	2410	0,0415	0,0649	4093	2814	1279
L00058	2	-46,6432297	-23,5320752	3161	0,0633	0,1299	6470	3731	2739
L00060	5	-46,6711550	-23,5381000	10857	0,0461	0,3247	17946	11853	6093
L00061	2	-46,6666956	-23,5298372	3408	0,0587	0,1299	6305	3946	2359
L00062	2	-46,6375237	-23,5287430	2256	0,0887	0,1299	4421	2765	1656
L00067	1	-46,6107088	-23,5252045	1435	0,0697	0,0649	2765	1755	1010
L00068	3	-46,6432775	-23,5262231	2815	0,1066	0,1948	5403	3409	1994
L00070	3	-46,6134834	-23,5400667	2964	0,1012	0,1948	5594	3588	2006
L00074	2	-46,6370866	-23,5384772	2847	0,0702	0,1299	6133	3437	2696
L00077	3	-46,6228821	-23,5238878	3089	0,0971	0,1948	5985	3756	2229
L00084	2	-46,5895134	-23,5593568	5301	0,0377	0,1299	8807	6387	2420
L00086	2	-46,6000356	-23,5353560	2856	0,07	0,1299	5171	3468	1703
L00091	1	-46,5964833	-23,5637925	3169	0,0316	0,0649	6188	3786	2402
L00093	2	-46,5813248	-23,5619799	3706	0,054	0,1299	6970	4489	2481
L00094	3	-46,6214361	-23,5534993	2393	0,1254	0,1948	4753	2932	1821
L00095	1	-46,5726610	-23,5574173	1814	0,0551	0,0649	3331	2227	1104
L00101	1	-46,5902071	-23,5606910	4284	0,0233	0,0649	7988	5172	2816
L00102	1	-46,5979424	-23,5532296	4622	0,0216	0,0649	8563	5548	3015
L00103	1	-46,5812316	-23,5700009	4342	0,023	0,0649	7905	5265	2640
L00106	1	-46,5939719	-23,5375195	4328	0,0231	0,0649	6924	5149	1775
L00111	3	-46,6590182	-23,5634584	7550	0,0397	0,1948	13488	8273	5215
L00113	2	-46,6642690	-23,5638420	4708	0,0425	0,1299	8733	5175	3558
L00120	1	-46,6758302	-23,6004582	2006	0,0499	0,0649	3761	2276	1485
L00121	2	-46,6790390	-23,5798975	3855	0,0519	0,1299	7199	4264	2935
L00122	1	-46,6734804	-23,5826449	2473	0,0404	0,0649	4205	2672	1533
L00124	4	-46,6605835	-23,5566944	5697	0,0702	0,2597	10701	6297	4404
L00125	1	-46,6822891	-23,5834680	4924	0,0203	0,0649	9066	5408	3658
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,0649	11459	6999	4460
L00128	1	-46,6769068	-23,6001070	3888	0,0257	0,0649	6994	4384	2610
L00129	1	-46,6486232	-23,5813704	3537	0,0283	0,0649	5654	3970	1684
L00132	2	-46,6416210	-23,5785510	4598	0,0435	0,1299	7651	5166	2485
L00134	1	-46,6358455	-23,5895447	4856	0,0206	0,0649	8425	5454	2971
L00135	3	-46,6431906	-23,5719338	4487	0,0669	0,1948	7477	5015	2462
L00141	1	-46,6308086	-23,5650323	5144	0,0194	0,0649	9743	6059	3684
L00143	2	-46,6414511	-23,5858080	2718	0,0736	0,1299	4786	3093	1693
L00144	1	-46,6356180	-23,5786976	2260	0,0442	0,0649	3961	2589	1372
L00145	4	-46,6350220	-23,5881065	3012	0,1328	0,2597	5263	3410	1853
L00147	1	-46,6251868	-23,5770987	3004	0,0333	0,0649	5565	3493	2072
L00148	1	-46,6273889	-23,5872670	4439	0,0225	0,0649	7836	5122	2714
L00151	2	-46,6209441	-23,5882398	2949	0,0678	0,1299	4478	3358	1120
L00153	2	-46,6399206	-23,5899717	4323	0,0463	0,1299	6624	4826	1798
L00156	1	-46,6397771	-23,5727404	4608	0,0217	0,0649	8784	5242	3542
L00157	2	-46,6389836	-23,5697573	5176	0,0386	0,1299	8809	5934	2875
L05530	3	-46,7007739	-23,6497088	5044	0,0595	0,1948	8236	5638	2598
L05534	1	-46,6930410	-23,6638790	5787	0,0173	0,0649	9716	6724	2992
L05536	1	-46,6821350	-23,6631782	5321	0,0188	0,0649	8921	6173	2748
L05542	1	-46,7071520	-23,6499060	3093	0,0323	0,0649	5733	3640	2093
L05545	2	-46,6998999	-23,6559182	2564	0,078	0,1299	3946	2911	1035
L05548	2	-46,6996076	-23,6331312	1978	0,1011	0,1299	3388	2288	1100
L05549	2	-46,7057350	-23,6332760	4550	0,044	0,1299	7718	5073	2645
L05550	1	-46,6945706	-23,6304883	5120	0,0195	0,0649	8978	5840	3138
L05566	1	-46,4352447	-23,5020281	2851	0,0351	0,0649	4735	3521	1214
L05574	1	-46,4424219	-23,4946443	1702	0,0588	0,0649	3011	2169	842
L05611	25	-46,6300964	-23,5033502	2831	0,8831	1,6234	4847	3284	1563
L05612	2	-46,6264879	-23,4763633	1123	0,1781	0,1299	2007	1430	577
L05613	9	-46,6310064	-23,5025938	1028	0,8755	0,5844	2041	1205	836
L05614	7	-46,6407233	-23,4948591	1725	0,4058	0,4545	2839	2166	673
L05615	4	-46,6333996	-23,5019647	1282	0,312	0,2597	2094	1527	567
L05616	29	-46,6281182	-23,4912871	3378	0,8585	1,8831	5313	3930	1383
L05617	13	-46,6180480	-23,4923992	3331	0,3903	0,8442	5427	3880	1547
L05618	8	-46,6270210	-23,5057810	1824	0,4386	0,5195	3578	2176	1402
L05619	10	-46,6476795	-23,4929598	1994	0,5015	0,6494	3788	2470	1318
L05620	7	-46,6405710	-23,4868210	1451	0,4824	0,4545	2771	1812	959
L05621	48	-46,6332236	-23,4899666	5271	0,9106	3,1169	8744	6129	2615
L05622	13	-46,6256600	-23,4972860	1960	0,6633	0,8442	3358	2341	1017
L05623	16	-46,6405537	-23,5023028	2520	0,6349	1,039	4590	2978	1612
L05624	2	-46,6161131	-23,5004170	2563	0,078	0,1299	4896	3055	1841
L05625	14	-46,6261164	-23,4898514	2978	0,4701	0,9091	5488	3556	1932
L05626	6	-46,6278934	-23,4963679	2077	0,2889	0,3896	3746	2434	1312
L05627	10	-46,6249697	-23,5016655	1535	0,6515	0,6494	3087	1826	1261
L05628	9	-46,6157633	-23,4933572	2589	0,3476	0,5844	4750	3013	1737
L05629	1	-46,6242804	-23,4770119	2556	0,0391	0,0649	4643	3161	1482
L05630	6	-46,6433628	-23,5013965	1299	0,4619	0,3896	2306	1568	738
L05631	5	-46,6446670	-23,4910726	1627	0,3073	0,3247	3161	2027	1134
L05632	29	-46,6381967	-23,4939821	2961	0,9794	1,8831	5002	3517	1485
L05633	7	-46,6227676	-23,4899879	1740	0,4023	0,4545	3090	2057	1033
L05634	9	-46,6264580	-23,4818440	1908	0,4717	0,5844	3707	2335	1372
L05635	16	-46,6142540	-23,4901233	2048	0,7812	1,039	3470	2399	1071
L05636	2	-46,6317593	-23,5028361	836	0,2392	0,1299	1410	975	435
L05637	3	-46,6267268	-23,5135649	1530	0,1961	0,1948	2947	1815	1132
L05638	39	-46,6330906	-23,4915684	3666	1,0638	2,5325	6121	4251	1870
L05639	10	-46,6239120	-23,4891654	1527	0,6549	0,6494	2617	1818	799
L05645	1	-46,7037676	-23,5217140	2362	0,0423	0,0649	4257	2725	1532
L05649	1	-46,7178181	-23,5361638	1874	0,0534	0,0649	2784	2102	682
L05650	2	-46,7098479	-23,5204991	2248	0,089	0,1299	3855	2539	1316
L05652	1	-46,7154710	-23,5098656	794	0,1259	0,0649	1292	929	363
L05654	2	-46,7056393	-23,5213772	2148	0,0931	0,1299	4003	2538	1465
L05657	1	-46,6883851	-23,5246954	2280	0,0439	0,0649	3964	2619	1345
L05663	1	-46,7053463	-23,5246614	2188	0,0457	0,0649	4237	2584	1653
L05667	1	-46,6875289	-23,5240849	2857	0,035	0,0649	4734	3347	1387
L05669	1	-46,7164216	-23,5283737	1777	0,0563	0,0649	3016	2011	1005
L05670	2	-46,7041160	-23,5315757	2953	0,0677	0,1299	5089	3434	1655
L05671	1	-46,7382418	-23,4999018	2364	0,0423	0,0649	4244	2840	1404
L05672	1	-46,7311891	-23,5069529	1946	0,0514	0,0649	3336	2311	1025
L05692	1	-46,7342495	-23,5279924	4939	0,0202	0,0649	7451	5535	1916
L05693	2	-46,6769917	-23,5570934	4108	0,0487	0,1299	6768	4547	2221
L05697	1	-46,6950038	-23,5603746	3405	0,0294	0,0649	5468	3675	1793
L05698	1	-46,7044200	-23,5423500	1912	0,0523	0,0649	2816	2116	700
L05699	1	-46,7009593	-23,5471309	1742	0,0574	0,0649	2791	1881	910
L05700	5	-46,7170159	-23,5510140	4888	0,1023	0,3247	7257	5167	2090
L05701	1	-46,6827189	-23,5583923	2882	0,0347	0,0649	4777	3189	1588
L05705	1	-46,6896585	-23,5656255	3181	0,0314	0,0649	5968	3546	2422
L05707	1	-46,7072431	-23,5459153	2353	0,0425	0,0649	3966	2589	1377
L05710	3	-46,6788148	-23,5592954	3381	0,0887	0,1948	5828	3742	2086
L05711	3	-46,6940900	-23,5501725	1686	0,1779	0,1948	2686	1891	795
