cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00001	1	-46,6357754	-23,5454496	744	0,1344	0,0886	1384	845	539
L00002	1	-46,6458082	-23,5644282	2271	0,044	0,0886	3779	2548	1231
L00004	1	-46,6511260	-23,5652103	5298	0,0189	0,0886	9838	5921	3917
L00005	1	-46,6603762	-23,5406137	4082	0,0245	0,0886	8248	4503	3745
L00007	1	-46,6432717	-23,5529543	1958	0,0511	0,0886	3791	2317	1474
L00010	1	-46,6355899	-23,5623979	2996	0,0334	0,0886	5666	3638	2028
L00012	1	-46,6461964	-23,5700830	3252	0,0308	0,0886	6283	3656	2627
L00014	1	-46,6289218	-23,5548030	2700	0,037	0,0886	5182	3459	1723
L00019	1	-46,6376429	-23,5607300	2664	0,0375	0,0886	5259	3125	2134
L00022	6	-46,6521240	-23,5458002	10350	0,058	0,5314	18525	11583	6942
L00025	2	-46,6380154	-23,5642161	2151	0,093	0,1771	3803	2547	1256
L00026	1	-46,6351446	-23,5631017	1170	0,0855	0,0886	2088	1410	678
L00030	1	-46,6716846	-23,5278546	4168	0,024	0,0886	8123	4653	3470
L00035	1	-46,6800459	-23,5481021	3932	0,0254	0,0886	6405	4313	2092
L00039	5	-46,6663954	-23,5361229	5419	0,0923	0,4429	8062	5901	2161
L00041	1	-46,6798996	-23,5306990	2132	0,0469	0,0886	3296	2395	901
L00042	1	-46,6513283	-23,5415864	1556	0,0643	0,0886	2631	1843	788
L00043	1	-46,6853794	-23,5386780	2698	0,0371	0,0886	4613	3033	1580
L00048	3	-46,6841353	-23,5370181	2501	0,12	0,2657	3771	2812	959
L00049	1	-46,6806583	-23,5307166	4578	0,0218	0,0886	8065	5186	2879
L00051	2	-46,6946005	-23,5421890	3052	0,0655	0,1771	5602	3572	2030
L00058	1	-46,6432297	-23,5320752	3161	0,0316	0,0886	6470	3731	2739
L00060	2	-46,6711550	-23,5381000	10857	0,0184	0,1771	17946	11853	6093
L00063	3	-46,6343483	-23,5436627	2624	0,1143	0,2657	5154	3085	2069
L00064	1	-46,6278434	-23,5475185	2980	0,0336	0,0886	5641	3584	2057
L00065	1	-46,6385252	-23,5376549	2229	0,0449	0,0886	4267	2744	1523
L00067	1	-46,6107088	-23,5252045	1435	0,0697	0,0886	2765	1755	1010
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,0886	5785	3615	2170
L00075	1	-46,6325856	-23,5295792	4103	0,0244	0,0886	8045	4955	3090
L00077	1	-46,6228821	-23,5238878	3089	0,0324	0,0886	5985	3756	2229
L00088	2	-46,6217269	-23,5533444	1019	0,1963	0,1771	1932	1238	694
L00089	1	-46,5902871	-23,5470008	2261	0,0442	0,0886	4286	2820	1466
L00107	1	-46,6116378	-23,5511180	2148	0,0466	0,0886	4565	2585	1980
L00108	1	-46,5976041	-23,5519593	6779	0,0148	0,0886	11883	7994	3889
L00111	1	-46,6590182	-23,5634584	7550	0,0132	0,0886	13488	8273	5215
L00114	1	-46,6627773	-23,5790597	1545	0,0647	0,0886	2374	1668	706
L00117	1	-46,6709040	-23,5923207	3151	0,0317	0,0886	5443	3456	1987
L00119	1	-46,6851323	-23,5877136	2254	0,0444	0,0886	3851	2471	1380
L00123	1	-46,6731135	-23,5792999	2804	0,0357	0,0886	4967	3078	1889
L00125	1	-46,6822891	-23,5834680	4924	0,0203	0,0886	9066	5408	3658
L00126	1	-46,6724723	-23,5954720	3916	0,0255	0,0886	6669	4338	2331
L00127	1	-46,6605835	-23,5566944	6318	0,0158	0,0886	11459	6999	4460
L00136	1	-46,6234512	-23,5608329	4167	0,024	0,0886	7421	4897	2524
L00141	1	-46,6308086	-23,5650323	5144	0,0194	0,0886	9743	6059	3684
L00153	1	-46,6399206	-23,5899717	4323	0,0231	0,0886	6624	4826	1798
L05532	1	-46,7034029	-23,6447800	2886	0,0347	0,0886	4752	3201	1551
L05536	1	-46,6821350	-23,6631782	5321	0,0188	0,0886	8921	6173	2748
L05540	1	-46,7098940	-23,6536635	1724	0,058	0,0886	3235	2032	1203
L05542	1	-46,7071520	-23,6499060	3093	0,0323	0,0886	5733	3640	2093
L05556	4	-46,4403512	-23,4942325	2553	0,1567	0,3543	4433	3067	1366
L05561	2	-46,4389924	-23,5145862	3097	0,0646	0,1771	5489	4147	1342
L05565	3	-46,4195668	-23,5172129	2191	0,1369	0,2657	3749	2826	923
L05568	1	-46,4300003	-23,4998815	2971	0,0337	0,0886	5227	3654	1573
L05569	3	-46,4407439	-23,4944067	1547	0,1939	0,2657	2737	1890	847
L05570	2	-46,4345329	-23,5094734	3688	0,0542	0,1771	6309	4565	1744
L05571	1	-46,4218866	-23,5204965	2679	0,0373	0,0886	4440	3324	1116
L05575	2	-46,4211790	-23,5134650	349	0,5731	0,1771	566	440	126
L05576	1	-46,4220218	-23,5011268	1232	0,0812	0,0886	1990	1570	420
L05578	1	-46,4526050	-23,5387875	2564	0,039	0,0886	4882	3187	1695
L05583	2	-46,4325849	-23,5321585	3488	0,0573	0,1771	6128	4395	1733
L05585	1	-46,4451845	-23,5472188	2365	0,0423	0,0886	4123	3094	1029
L05586	1	-46,4459252	-23,5256810	2399	0,0417	0,0886	4163	3117	1046
L05590	1	-46,4560761	-23,5496358	3285	0,0304	0,0886	6239	4284	1955
L05591	1	-46,4544144	-23,5410443	3621	0,0276	0,0886	6839	4640	2199
L05595	3	-46,4580805	-23,5512840	2564	0,117	0,2657	4400	3342	1058
L05596	1	-46,4536228	-23,5552304	3671	0,0272	0,0886	6672	4852	1820
L05603	2	-46,4430227	-23,5314831	2610	0,0766	0,1771	4621	3404	1217
L05612	1	-46,6264879	-23,4763633	1123	0,089	0,0886	2007	1430	577
L05617	1	-46,6180480	-23,4923992	3331	0,03	0,0886	5427	3880	1547
L05624	2	-46,6161131	-23,5004170	2563	0,078	0,1771	4896	3055	1841
L05629	1	-46,6242804	-23,4770119	2556	0,0391	0,0886	4643	3161	1482
L05633	1	-46,6227676	-23,4899879	1740	0,0575	0,0886	3090	2057	1033
L05636	1	-46,6317593	-23,5028361	836	0,1196	0,0886	1410	975	435
L05645	1	-46,7037676	-23,5217140	2362	0,0423	0,0886	4257	2725	1532
L05648	1	-46,7032968	-23,5283085	4170	0,024	0,0886	7531	4847	2684
L05693	4	-46,6769917	-23,5570934	4108	0,0974	0,3543	6768	4547	2221
L05697	2	-46,6950038	-23,5603746	3405	0,0587	0,1771	5468	3675	1793
