cod_local	QT_VOTOS	longitude	latitude	LOC_VALID	%_LOC_V	%_CAND	QT_APTOS	QT_COMPARECIMENTO	QT_ABSTENCOES
L00008	1	-46,6464095	-23,5560819	3643	0,0274	0,6024	6983	4278	2705
L00060	2	-46,6711550	-23,5381000	10857	0,0184	1,2048	17946	11853	6093
L00062	2	-46,6375237	-23,5287430	2256	0,0887	1,2048	4421	2765	1656
L00068	1	-46,6432775	-23,5262231	2815	0,0355	0,6024	5403	3409	1994
L00070	1	-46,6134834	-23,5400667	2964	0,0337	0,6024	5594	3588	2006
L00071	1	-46,6341197	-23,5306628	2982	0,0335	0,6024	5785	3615	2170
L00075	3	-46,6325856	-23,5295792	4103	0,0731	1,8072	8045	4955	3090
L00078	2	-46,6212238	-23,5429654	2774	0,0721	1,2048	5496	3398	2098
L00087	1	-46,5842762	-23,5514675	2993	0,0334	0,6024	5617	3662	1955
L00134	1	-46,6358455	-23,5895447	4856	0,0206	0,6024	8425	5454	2971
L00555	1	-46,7999759	-23,6870539	3475	0,0288	0,6024	6174	4460	1714
L05545	1	-46,6998999	-23,6559182	2564	0,039	0,6024	3946	2911	1035
L05593	1	-46,4528982	-23,5182408	3494	0,0286	0,6024	6309	4695	1614
L05594	2	-46,4618318	-23,5393802	2228	0,0898	1,2048	3850	2859	991
L05596	2	-46,4536228	-23,5552304	3671	0,0545	1,2048	6672	4852	1820
L05600	1	-46,4589975	-23,5302914	3067	0,0326	0,6024	5494	3916	1578
L05602	1	-46,4402958	-23,5148095	3394	0,0295	0,6024	6298	4377	1921
L05605	1	-46,4587342	-23,5292643	947	0,1056	0,6024	1607	1196	411
L05610	1	-46,4554689	-23,5282555	6146	0,0163	0,6024	10609	7693	2916
L05619	1	-46,6476795	-23,4929598	1994	0,0502	0,6024	3788	2470	1318
L05645	1	-46,7037676	-23,5217140	2362	0,0423	0,6024	4257	2725	1532
L05648	1	-46,7032968	-23,5283085	4170	0,024	0,6024	7531	4847	2684
L05665	1	-46,7497146	-23,5121473	1089	0,0918	0,6024	1945	1334	611
L05670	3	-46,7041160	-23,5315757	2953	0,1016	1,8072	5089	3434	1655
L05681	1	-46,6949470	-23,5283220	1938	0,0516	0,6024	3100	2183	917
L05694	1	-46,6971193	-23,5441298	2311	0,0433	0,6024	3990	2579	1411
L05717	2	-46,6818722	-23,5560723	2822	0,0709	1,2048	4697	3062	1635
L05722	1	-46,5000225	-23,5253888	2828	0,0354	0,6024	4665	3627	1038
L05739	1	-46,4991515	-23,5296706	3000	0,0333	0,6024	5527	3909	1618
L05757	1	-46,5403970	-23,5459183	2015	0,0496	0,6024	3549	2496	1053
L05768	1	-46,5794166	-23,5383741	2522	0,0397	0,6024	4651	2995	1656
L05780	1	-46,5072844	-23,5706991	5535	0,0181	0,6024	10333	6962	3371
L05844	1	-46,6552440	-23,4837840	4064	0,0246	0,6024	6975	5136	1839
L05862	2	-46,6805862	-23,5028507	5531	0,0362	1,2048	9763	6800	2963
L05870	1	-46,6722354	-23,4967228	2389	0,0419	0,6024	4246	3161	1085
L05954	1	-46,5808524	-23,5927084	2296	0,0436	0,6024	3895	2825	1070
L05984	1	-46,6639945	-23,6440840	2592	0,0386	0,6024	4500	3040	1460
L06026	4	-46,6383254	-23,5955707	3315	0,1207	2,4096	5603	3692	1911
L06045	1	-46,5907336	-23,5984174	3727	0,0268	0,6024	6818	4710	2108
L06056	1	-46,6019600	-23,5909040	5133	0,0195	0,6024	9867	6305	3562
L06058	1	-46,5930326	-23,5972734	2828	0,0354	0,6024	5015	3572	1443
L07582	2	-46,6358025	-23,6609951	3615	0,0553	1,2048	6447	4637	1810
L07583	1	-46,6477955	-23,6558420	3661	0,0273	0,6024	6289	4390	1899
L07586	1	-46,6662000	-23,6526625	4676	0,0214	0,6024	7861	5605	2256
L07689	2	-46,4919582	-23,5063549	2108	0,0949	1,2048	3605	2714	891
L07703	1	-46,4731818	-23,5027056	2186	0,0457	0,6024	3519	2750	769
L07721	1	-46,7021950	-23,4842550	3320	0,0301	0,6024	6150	4149	2001
L07724	1	-46,7078711	-23,4942478	2028	0,0493	0,6024	3798	2545	1253
L07728	1	-46,6928374	-23,5037339	1919	0,0521	0,6024	3660	2388	1272
L07752	1	-46,7562863	-23,6156016	3810	0,0262	0,6024	6732	4937	1795
L07764	1	-46,7625103	-23,6349197	3815	0,0262	0,6024	6862	4883	1979
L07770	1	-46,7542153	-23,6198219	4129	0,0242	0,6024	7176	5149	2027
L08196	2	-46,7208297	-23,6076803	2840	0,0704	1,2048	4752	3330	1422
L08201	1	-46,7313899	-23,5980074	3354	0,0298	0,6024	5937	3987	1950
L08231	2	-46,5079969	-23,5544033	2026	0,0987	1,2048	3550	2546	1004
L08235	3	-46,4958682	-23,5663286	2328	0,1289	1,8072	4095	3031	1064
L08244	1	-46,4849359	-23,5443559	2408	0,0415	0,6024	4352	3219	1133
L08247	1	-46,4906529	-23,5403308	4098	0,0244	0,6024	7785	5311	2474
L08261	1	-46,5328060	-23,5351986	2423	0,0413	0,6024	4244	2978	1266
L08265	2	-46,5251630	-23,5338233	5108	0,0392	1,2048	9329	6208	3121
L08267	1	-46,5464060	-23,5700350	1922	0,052	0,6024	3132	2354	778
L08269	1	-46,5456990	-23,5729610	1641	0,0609	0,6024	2921	2045	876
